Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Patrick Peterson,ARI,CB,92,29,LSU,88,64,88,17,71,92,70,10,69,30,81,92,87,73,62,89,35,59,97,91,203,7/11/1990,23,8,62250000,55,59,90,91,40,21,47,92,35,95,82,35,94,65,52,1,54,72,37,21,35,57,4444,97,67,85,28,Right,45,16810000,35,94,32,45,35,95,87,35,10852,g3fb32qg42q63jrlr9gpo0aqh8\n
David Johnson,ARI,HB,87,27,Northern Iowa,89,25,83,42,79,89,74,10,35,72,70,92,82,73,15,72,40,25,87,15,224,12/16/1991,65,4,28880000,86,25,93,15,80,31,26,92,32,95,90,10,10,86,15,1,72,15,20,17,30,40,7190,95,86,86,20,Right,21,12160000,58,15,15,12,34,90,84,24,506,c4j96jts12ar74m8r8031r3dt4\n
Larry Fitzgerald,ARI,WR,84,36,Pittsburgh,97,26,25,48,74,92,92,6,42,81,91,86,80,75,10,93,52,30,94,14,218,8/31/1983,78,15,1000000,69,15,83,30,85,11,22,83,41,93,97,10,18,78,10,1,82,12,10,19,35,68,1111,94,72,70,18,Right,22,10000000,40,10,6,40,38,85,65,38,12344,25i2fu7jvh06tqjti51lvmef18\n
Marcus Gilbert,ARI,RT,84,31,Florida,95,6,10,87,91,10,15,6,30,5,25,75,10,78,10,15,80,39,94,30,330,2/15/1988,5,8,15130000,10,6,10,21,15,76,12,55,81,75,72,6,15,10,10,1,15,30,6,10,83,86,4369,86,29,12,11,Right,14,14180000,86,10,6,33,79,64,22,86,11567,mnmsuma8l6s2uv5gl8rl3g8i24\n
D.J. Swearinger Sr,ARI,SS,83,28,South Carolina,81,34,35,24,67,52,57,15,83,10,71,90,65,70,54,71,35,72,93,85,205,9/1/1991,10,5,7500000,45,15,73,84,20,36,15,86,35,88,88,15,77,39,63,1,15,93,10,15,35,69,6274,93,64,25,20,Right,13,0,35,83,10,60,35,90,40,35,9774,rmv6e8v4jfh48n1lbu52djlq04\n
Terrell Suggs,ARI,LOLB,83,36,Arizona St.,85,19,10,23,88,35,20,6,88,8,52,82,55,75,67,40,45,85,88,64,265,10/11/1982,5,16,500000,44,6,45,89,15,56,12,76,45,79,96,6,55,10,84,1,30,84,6,17,45,83,2886,95,65,10,26,Right,14,4500000,45,45,6,82,45,74,15,45,10615,8ddi963630ktbeo918ufi0lrkg\n
Chandler Jones,ARI,ROLB,82,29,Syracuse,86,20,10,26,83,10,15,6,85,5,49,86,35,77,70,25,45,85,84,50,265,2/27/1990,5,7,67500000,35,6,40,84,15,55,12,79,45,86,85,6,46,45,84,1,15,80,6,15,45,87,5281,95,47,10,25,Right,13,15000000,45,33,6,73,45,81,25,45,11309,fmcbfjgpha8bitddb1aopmkm9k\n
Budda Baker,ARI,FS,80,23,Washington,80,25,66,23,72,76,66,15,89,41,74,90,72,70,49,70,35,71,89,68,195,1/10/1996,36,2,3740000,36,15,81,84,51,32,27,90,35,79,83,15,76,36,40,1,47,82,10,20,35,68,8472,95,72,57,20,Right,17,3080000,35,72,10,64,35,92,72,35,1713,rqsemeptj60427oblq4vmmj0ak\n
Charles Clay,ARI,TE,80,30,Tulsa,77,35,20,47,74,80,84,6,55,74,83,89,74,75,25,83,58,40,95,20,246,2/13/1989,70,8,2900000,79,6,80,15,77,85,12,82,52,70,84,6,15,74,25,1,64,30,6,26,66,65,4351,91,78,69,26,Right,16,350000,69,10,6,45,57,81,68,65,2399,8412uuj00cdnndi4jpvklpohns\n
Jordan Hicks,ARI,MLB,80,27,Texas,81,24,10,19,79,48,23,6,82,6,70,89,34,73,57,29,45,86,78,78,236,6/27/1992,5,4,17000000,42,6,43,79,10,58,12,84,45,88,73,6,70,37,64,1,25,81,6,22,45,79,7172,89,63,22,14,Right,10,17000000,45,59,6,60,45,86,37,45,12635,bcht6imri99nitvlesfkgo09fg\n
Robert Alford,ARI,CB,77,30,SE Louisiana,77,29,73,14,59,79,45,6,84,10,74,92,77,70,35,64,35,55,86,76,186,11/1/1988,10,6,17850000,29,6,84,76,20,20,15,92,35,93,69,6,74,40,25,1,15,50,6,14,35,54,6251,92,64,65,15,Right,12,4650000,35,80,6,57,35,90,75,35,10737,iqp2drkm9g8koa3518pv2nc8eg\n
