Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Julio Jones,ATL,WR,98,30,Alabama,98,45,68,40,78,97,97,6,49,97,95,91,82,75,10,98,53,44,86,27,220,2/8/1989,92,8,65030000,77,15,90,20,98,11,22,92,38,97,95,10,19,87,10,1,98,56,10,15,38,60,4402,93,75,89,25,Right,22,16410000,50,15,6,45,36,95,88,39,2435,3ms1s6pnrsopt4cdt4hf5o5aag\n
Deion Jones,ATL,MLB,90,24,LSU,90,25,10,25,73,32,45,6,89,5,70,91,32,73,58,60,45,89,87,85,222,11/4/1994,5,3,3040000,27,6,38,88,15,45,12,90,44,85,78,6,77,26,51,1,18,84,6,19,44,85,8084,85,56,14,19,Right,10,1520000,45,51,6,69,44,88,29,43,28821,dq50i4dfuk43fqbops1lg2a1ck\n
Devonta Freeman,ATL,HB,89,27,Florida State,88,25,76,37,76,88,70,15,35,59,73,91,87,68,10,76,55,25,86,15,206,3/15/1992,51,5,28050000,85,35,94,20,66,24,25,92,35,87,81,15,15,74,10,1,69,12,30,10,31,35,6422,93,85,85,10,Right,22,15120000,48,20,20,26,35,94,88,25,10862,t078pfen8b6rnmb1ei15f3vak0\n
Alex Mack,ATL,C,89,33,California,95,17,10,91,92,55,15,6,32,5,29,79,25,76,10,15,93,26,98,12,311,11/19/1985,5,10,32500000,50,6,25,21,15,51,12,63,91,70,88,6,7,52,10,1,15,20,6,16,82,94,1950,90,55,8,19,Right,10,12500000,81,10,6,26,94,69,15,80,10863,tdn2fvrj49pj8harculmj76hdc\n
Matt Ryan,ATL,QB,89,34,Boston College,90,88,10,20,63,53,10,92,30,13,32,80,32,76,10,12,15,30,98,20,217,5/17/1985,10,11,104000000,30,95,65,15,16,2,65,72,30,55,94,90,15,45,10,1,12,12,92,25,25,30,6301,92,64,54,25,Right,94,67650000,15,10,88,25,20,69,58,15,9837,25bv5bukn8aonmfdjduagp1hrg\n
Keanu Neal,ATL,SS,88,24,Florida,84,34,76,25,76,59,43,6,91,34,70,88,63,73,55,60,20,76,90,86,216,7/26/1995,29,3,11210000,48,15,66,89,44,22,16,87,33,89,93,6,78,56,47,1,42,96,15,18,34,70,8160,91,65,46,21,Right,15,6000000,25,81,15,64,33,87,61,33,11577,a7qtpfi18bkrfqvlfuogg9luec\n
Desmond Trufant,ATL,CB,88,28,Washington,87,22,50,17,62,74,50,6,77,20,68,93,69,72,40,60,35,71,95,88,190,9/10/1990,13,6,54780000,15,6,77,84,30,21,13,92,35,92,65,6,88,25,30,1,15,42,6,25,35,57,6279,93,54,63,25,Right,10,22000000,35,89,6,55,35,96,73,35,927,u581i1p1u4odv4uiitg846o6q4\n
Grady Jarrett,ATL,DT,87,26,Clemson,90,26,10,37,89,15,15,6,85,7,30,84,10,72,67,15,45,85,84,29,305,4/28/1993,3,4,15210000,20,6,10,92,15,97,12,70,45,81,82,6,25,35,87,1,15,86,6,25,45,87,7185,88,40,10,25,Right,18,0,45,15,6,90,45,71,12,45,17676,9m7mh8ddcgkkdr7iuuim7ahi70\n
Austin Hooper,ATL,TE,85,24,Stanford,86,26,18,53,73,77,82,6,31,73,90,88,59,76,17,81,71,34,90,21,254,10/29/1994,66,3,3660000,71,15,67,22,76,81,12,82,64,86,88,10,14,80,17,1,66,27,10,19,63,68,8057,87,75,64,21,Left,15,770000,65,17,6,29,69,83,60,59,1426,248iohkbkam15580ufo1g9c4ho\n
Mohamed Sanu Sr,ATL,WR,82,30,Rutgers,91,72,77,43,75,86,85,33,57,85,92,88,76,74,10,89,58,47,93,52,210,8/22/1989,79,7,25630000,75,61,77,39,88,12,58,87,39,88,85,53,39,83,10,1,81,15,56,49,30,63,5463,93,79,77,64,Right,52,7000000,47,15,56,60,32,87,74,28,11079,tltgetn1s3hhba836a8n2hbvnp6lr23h9ltp6qa9t0vu6675dkc0\n
