Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Earl Thomas III,BAL,FS,95,30,Texas,95,30,77,24,67,79,71,10,77,20,80,91,75,70,45,79,35,79,91,98,202,5/7/1989,15,9,24000000,40,10,85,92,30,29,22,89,35,92,82,10,82,25,55,1,20,87,6,15,35,69,2947,97,67,66,20,Right,28,31000000,35,80,6,56,35,93,77,35,2062,es1b8bk336389fq8e9lg14v9us\n
Michael Pierce,BAL,DT,92,26,Samford,85,24,9,40,96,24,14,6,85,5,26,86,17,72,62,16,45,85,87,26,339,11/6/1992,3,3,3100000,52,6,23,96,13,97,12,72,46,74,84,6,18,32,82,1,15,77,6,19,44,90,8397,78,28,17,23,Right,15,0,44,13,6,95,45,68,22,45,13347,hiulh2ah42s3mmjtmgmiu1721c\n
Marshal Yanda,BAL,RG,91,34,Iowa,94,20,10,78,93,10,10,6,23,5,32,81,10,75,10,12,92,45,93,12,305,9/15/1984,5,12,7500000,25,6,10,10,10,73,12,62,93,64,99,6,12,10,10,1,12,15,6,20,90,91,3300,85,40,5,20,Right,14,12630000,89,10,6,25,90,66,10,88,9859,j53s95to0odjrj50vljn0tv130\n
Justin Tucker,BAL,K,87,29,Texas,71,26,10,12,40,10,27,20,15,17,52,83,10,73,10,68,12,13,95,12,180,11/21/1989,13,7,11550000,10,35,10,10,22,9,15,75,12,36,62,20,12,10,10,1,12,12,30,98,17,12,6131,85,35,5,98,Right,26,13600000,17,10,25,13,12,65,15,17,12533,vruk7qome2caj3l240bflbpicc\n
Mark Ingram II,BAL,HB,86,29,Alabama,94,35,45,42,82,88,68,15,35,63,72,91,81,69,10,66,46,25,86,20,215,12/21/1989,55,8,9000000,89,35,91,20,70,21,22,88,30,80,95,15,15,85,10,1,64,30,30,25,43,46,4395,92,89,89,25,Right,25,5990000,65,20,25,11,30,87,77,39,2592,2cp42e1i0e22vbhio2ii5ooek2ai91npjv0ehtnmcjt8aviae7cg\n
Brandon Williams,BAL,LE,86,30,Missouri So. State,93,14,10,20,96,15,20,6,86,3,35,78,10,73,50,15,45,88,87,29,340,2/21/1989,2,6,29780000,25,6,10,95,10,98,12,58,45,78,76,6,15,10,72,1,29,77,6,11,45,90,6160,79,55,10,17,Right,14,22730000,45,10,6,95,45,58,10,45,1375,evo4rbej2mcnfh74iqs4gja30s\n
Marlon Humphrey,BAL,CB,85,23,Alabama,84,22,62,20,74,68,52,6,66,11,68,93,61,72,42,60,35,67,89,79,197,7/8/1996,10,2,5090000,29,6,76,86,15,44,16,92,35,85,79,6,86,36,33,1,15,78,6,25,35,60,8595,94,62,56,30,Right,10,6760000,35,85,6,47,35,88,66,35,12374,ukppioc4j6q3rpkhe21q9egot8\n
Sam Koch,BAL,P,85,37,Nebraska,73,48,10,19,50,10,10,27,30,10,25,78,10,73,10,12,19,33,85,12,222,8/13/1982,10,13,14750000,16,50,10,10,10,4,18,71,19,54,65,32,12,10,10,1,12,12,46,96,17,19,1808,85,40,11,91,Right,31,4600000,17,10,39,33,19,66,21,17,2729,6ukh0512jv6fcja1sc2r2b2mc6ai91npjv0ehtnmcjt8aviae7cg\n
Ronnie Stanley,BAL,LT,85,25,Notre Dame,93,22,9,87,87,15,22,6,29,9,24,80,13,78,14,20,85,31,91,13,315,3/18/1994,6,3,20250000,27,6,22,18,19,79,12,66,80,73,81,6,11,19,18,1,22,42,6,17,81,84,8225,88,32,8,20,Right,16,13120000,87,9,6,27,86,75,17,88,12392,9ev8mj051mo90kn955h31l3p9s\n
Tony Jefferson,BAL,SS,84,27,Oklahoma,88,24,40,18,64,72,44,6,85,10,64,87,66,71,58,62,35,76,89,82,212,1/27/1992,10,6,16780000,45,6,70,93,20,23,15,85,35,82,80,6,77,50,53,1,25,85,6,19,35,63,6728,90,55,44,26,Right,18,16970000,35,72,6,55,35,81,59,35,1114,4tkmvu78nv5mh4dj3uvhglbbt0\n
