Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Micah Hyde,BUF,FS,86,28,Iowa,90,30,83,12,58,82,48,6,81,23,73,89,74,72,49,64,35,71,93,89,197,12/31/1990,18,6,22000000,33,6,84,87,33,23,14,88,35,83,69,6,81,45,36,1,25,45,6,48,35,57,6261,90,74,59,56,Right,25,8900000,35,83,6,55,35,90,74,35,2527,8qaejcnqcjjelqvjgsb9b8mkmk\n
Tre'Davious White,BUF,CB,85,24,LSU,86,36,85,18,75,81,50,16,77,25,68,93,74,71,36,69,25,68,90,83,192,1/16/1995,18,2,4610000,28,28,82,85,35,27,40,91,35,80,81,31,85,43,28,1,32,66,22,18,35,58,8775,95,65,73,22,Right,30,5480000,25,86,18,54,35,91,82,35,2442,d7g7oi111rpi0p5ero8d4q9bks\n
Cole Beasley,BUF,WR,83,30,SMU,89,35,77,21,61,85,85,15,66,86,90,89,87,68,10,83,56,39,91,25,174,4/26/1989,78,7,18300000,44,34,86,31,89,10,25,87,16,90,88,36,15,43,10,1,75,15,28,24,15,41,5685,94,79,77,28,Right,25,10700000,32,15,24,49,12,92,83,15,13109,8llhp7tnmrinb5c68bmd9vaoc4\n
Jerry Hughes,BUF,RE,83,31,TCU,89,13,10,18,76,37,25,6,88,14,40,87,35,74,88,30,45,80,90,47,254,8/13/1988,10,9,8600000,10,6,45,86,21,55,12,82,45,85,97,6,42,40,70,1,32,66,6,25,45,78,1563,84,45,32,26,Right,13,23300000,45,45,6,88,45,81,42,45,11791,5ugruhbit32pmsgvbnhcmsdkj4\n
Lorenzo Alexander,BUF,ROLB,82,36,California,93,30,10,24,83,10,38,6,84,25,57,86,10,73,65,25,45,80,90,64,245,5/31/1983,17,13,3000000,30,6,10,94,35,57,12,82,45,83,85,6,56,10,81,1,30,86,6,25,45,84,260,84,55,10,25,Right,17,550000,45,38,6,70,45,78,15,45,17593,slukbai1cvjgl8h8ub0thaickk\n
LeSean McCoy,BUF,HB,82,31,Pittsburgh,83,30,25,37,66,82,73,15,39,72,70,92,86,71,10,71,39,28,81,12,208,7/12/1988,63,10,25680000,51,35,90,12,76,25,21,89,30,89,84,15,13,65,10,1,72,20,30,21,45,35,2049,92,87,81,11,Right,22,15900000,54,20,20,25,32,92,82,40,2552,ecp5njgimv25uqkg69jsimtkpg\n
Frank Gore,BUF,HB,81,36,Miami,99,31,15,35,76,91,66,15,40,60,69,87,77,69,10,66,45,32,86,18,212,5/14/1983,52,14,1500000,83,35,83,30,67,28,20,84,28,79,97,15,14,85,10,1,67,20,30,14,44,33,1271,90,91,80,20,Right,24,500000,60,20,20,32,28,86,76,40,2401,cdt894kde7j5qk1teuc0e7olgk\n
Mitch Morse,BUF,C,81,27,Missouri,85,30,10,86,92,10,15,6,20,5,40,76,10,78,10,15,78,30,87,15,305,4/21/1992,5,4,23800000,20,6,10,15,15,60,12,68,79,76,85,6,12,30,10,1,15,20,6,25,86,87,7245,82,40,5,25,Right,14,20400000,82,10,6,20,77,67,10,78,2593,ne2438o5ui756dp13mkpugu23g\n
Jordan Poyer,BUF,SS,80,28,Oregon State,79,30,65,12,66,60,45,6,86,25,72,91,65,72,54,65,35,70,87,84,191,4/25/1991,20,6,9850000,25,6,66,76,35,21,15,87,35,79,74,6,79,15,46,1,15,68,6,25,35,57,6322,93,65,30,25,Right,19,4170000,35,80,6,62,35,88,45,35,12664,m1dpi984adubrfldsevuqs8cmk\n
John Brown,BUF,WR,79,29,Pittsburg St.,86,35,81,25,41,89,77,6,35,83,81,90,85,71,10,85,47,25,87,35,179,4/3/1990,85,5,16900000,39,15,91,20,80,82,22,94,38,91,65,10,10,47,10,1,74,12,10,30,23,45,6363,88,75,79,30,Right,24,10100000,30,15,6,35,31,88,89,20,13391,gp3dr3b6esnt9mm82809mv1or0\n
