Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Luke Kuechly,CAR,MLB,98,28,Boston College,99,25,10,28,83,46,50,6,97,5,80,89,35,75,56,45,45,96,89,83,238,4/20/1991,5,7,43210000,54,6,45,99,15,59,12,86,45,90,99,6,72,49,65,1,12,94,6,24,45,91,5303,99,70,15,22,Right,10,37230000,45,54,6,89,45,83,30,45,12388,bfrjt6h3tvuknaq5pobhkfh0do\n
Christian McCaffrey,CAR,HB,91,23,Stanford,86,44,88,47,72,84,76,25,44,75,81,92,91,71,10,77,38,36,88,17,202,6/7/1996,66,2,6570000,54,41,93,28,82,22,24,91,22,89,82,43,12,77,10,1,74,27,37,23,36,45,8655,96,89,81,29,Right,17,10680000,61,15,30,32,22,97,91,32,12390,2jumomqchthun0eurg8vs04rhg\n
Greg Olsen,CAR,TE,89,34,Miami,94,20,6,48,70,79,93,6,45,82,93,86,55,77,20,91,52,40,86,15,255,3/11/1985,76,12,11520000,67,15,75,20,84,88,12,84,51,88,84,10,12,66,20,1,88,20,10,22,65,66,2300,98,73,69,26,Right,15,15340000,66,15,6,53,46,82,66,59,12561,pcqjqm824iuv4cgb3eitr3f1eg\n
Matt Paradis,CAR,C,88,29,Boise State,94,22,10,85,90,10,10,6,29,5,25,81,10,75,15,12,82,35,85,15,300,10/12/1989,5,5,16770000,20,6,10,20,10,61,12,60,81,66,88,6,13,10,20,1,12,20,6,20,84,88,6545,80,22,9,20,Right,13,6400000,86,10,6,40,85,71,15,89,17344,rbv9bl4uh0jafhe1s9rqok7tad6lr23h9ltp6qa9t0vu6675dkc0\n
Gerald McCoy,CAR,RE,86,31,Oklahoma,88,15,10,40,92,35,10,6,84,3,32,83,10,76,71,12,45,91,87,32,300,2/25/1988,2,9,4440000,35,6,10,92,10,93,12,69,45,82,79,6,24,10,84,1,12,85,6,11,45,90,2048,90,40,12,12,Right,16,4000000,45,10,6,85,45,75,17,45,12562,vm2u4v5nrc2oipoqbgcg05m4pk\n
Kawann Short,CAR,LE,85,30,Purdue,89,16,10,41,91,25,15,6,86,7,39,85,15,75,69,15,45,87,95,48,315,2/2/1989,3,6,58500000,33,6,10,90,15,99,12,70,45,71,64,6,30,29,89,1,15,72,6,15,45,91,6069,80,40,10,15,Right,15,22000000,45,14,6,91,45,69,15,45,17543,fi363g71s70bsukjlmealdar1o\n
Cam Newton,CAR,QB,84,30,Auburn,88,93,14,25,81,95,33,93,55,12,69,88,75,77,10,49,34,44,94,30,245,5/11/1989,11,8,83970000,82,88,80,25,22,1,95,85,25,85,99,88,11,83,10,1,25,20,84,22,25,52,4439,95,70,82,24,Right,83,34500000,32,10,82,41,22,86,83,22,1752,0le9d4np418q8dfjfjlbkoipq8\n
D.J. Moore,CAR,WR,81,22,Maryland,80,43,80,20,66,89,85,15,36,81,86,93,81,71,10,88,48,30,93,24,215,4/14/1997,82,1,4970000,70,33,94,22,84,12,23,93,30,93,88,23,18,80,10,1,74,18,27,13,22,41,8995,91,71,84,18,Right,22,6200000,30,29,20,22,24,92,86,25,2051,9de75ihrdti1uor4f209v5e34s\n
Donte Jackson,CAR,CB,80,23,LSU,80,20,77,13,49,69,60,6,70,12,68,91,75,70,34,62,35,48,87,76,180,11/8/1995,10,1,3240000,17,6,79,78,15,26,17,95,35,88,67,6,81,27,23,1,12,59,6,13,35,44,8936,92,63,45,17,Right,18,1570000,35,78,6,45,35,95,56,35,28856,itfukusnsd56hu119cgj294qms\n
Taylor Moton,CAR,LT,80,25,W. Michigan,88,20,10,76,87,23,15,6,28,5,28,77,10,77,10,29,83,31,97,12,325,8/18/1994,5,2,2990000,29,18,15,10,13,72,12,66,76,75,96,12,12,14,10,1,12,36,13,21,81,80,8669,84,23,10,22,Right,7,1160000,82,10,6,34,85,65,20,84,10766,gikfk61s47lvrvb59tm6ghekjc\n
Michael Palardy,CAR,P,80,27,Tennessee,68,34,10,18,49,40,10,20,24,10,22,85,21,71,10,12,19,29,81,15,200,7/6/1992,10,4,5850000,13,30,30,28,10,5,17,81,19,49,60,20,12,29,10,1,12,17,22,89,15,18,7569,89,20,10,92,Left,14,2400000,14,10,21,27,19,58,20,13,13202,m10chie20qsjoitifrc0ous45g\n
Trai Turner,CAR,RG,80,26,LSU,88,15,10,85,88,10,10,6,21,5,45,82,10,75,10,12,82,34,92,12,315,6/14/1993,5,5,31800000,20,6,10,10,10,70,12,74,83,75,86,6,12,10,10,1,12,20,6,33,78,86,6617,80,40,6,24,Right,14,15130000,77,10,6,34,81,62,11,76,17697,l77tpg37mikhngdd6au1k5ohkc\n
James Bradberry,CAR,CB,79,26,Samford,81,21,65,12,67,67,43,6,76,18,67,92,70,73,36,61,13,60,89,78,210,8/4/1993,11,3,2730000,25,6,71,79,28,24,10,91,35,87,86,6,80,25,27,1,12,76,6,21,35,52,7905,88,62,60,29,Right,12,1230000,10,81,6,53,35,86,70,35,11307,p2rqh33cqqm89chm9fpk37iass\n
Graham Gano,CAR,K,79,32,Florida State,63,26,10,12,63,10,10,20,15,10,35,77,10,74,10,12,12,34,89,12,205,4/9/1987,10,10,10650000,10,35,10,10,10,9,14,75,12,36,60,20,12,36,10,1,12,12,30,85,17,12,1203,80,35,5,99,Right,17,6360000,17,10,25,13,12,64,14,17,2703,di6gjjc0mrljbpld5dacmp4ooo\n
Daryl Williams,CAR,RT,79,27,Oklahoma,78,25,11,77,87,10,15,6,25,5,25,74,10,78,10,12,84,39,89,12,330,8/31/1992,5,4,2300000,15,6,10,10,10,60,12,60,84,76,83,6,12,10,10,1,12,25,6,15,86,81,7378,79,40,5,28,Right,14,3000000,84,10,6,39,80,51,11,82,28491,32g844t61bhvi3tgu5k343kvd8\n
Dontari Poe,CAR,DT,78,29,Memphis,78,28,10,69,94,38,15,6,78,7,32,83,14,75,57,15,67,85,93,25,346,8/18/1990,3,7,15600000,60,23,18,81,15,95,36,73,69,80,88,6,15,27,78,1,15,87,19,17,45,94,5417,91,40,18,23,Right,31,12390000,45,10,15,72,55,65,23,45,26820,5p970h11q2lc01nmdefsqimjjc\n
Curtis Samuel,CAR,WR,78,23,Ohio State,83,27,75,23,64,84,82,6,32,79,83,93,76,71,18,81,43,26,90,28,196,8/11/1996,77,2,3380000,40,15,86,28,80,10,22,95,23,88,74,10,20,48,12,1,74,24,10,15,30,43,8716,89,74,80,25,Right,23,3080000,38,23,6,24,16,90,83,30,11215,8omrn4ci47m0ngi35au1f19i1g\n
Shaq Thompson,CAR,MLB,78,25,Washington,80,25,10,25,74,78,67,6,88,23,76,86,76,72,62,43,45,87,93,55,230,4/21/1994,15,4,10870000,71,6,82,82,33,54,17,85,45,83,78,6,48,70,53,1,35,83,6,20,45,85,7352,92,72,58,20,Right,18,1170000,45,63,6,80,45,86,72,45,27282,31jrca0k9lnb3gn7gndjqs4ig8\n
Chris Hogan,CAR,WR,77,31,Monmouth,81,42,35,29,71,78,85,23,35,80,89,89,74,73,10,84,43,40,88,18,210,10/24/1987,79,9,1150000,68,38,76,25,79,15,22,88,32,87,75,26,15,69,10,1,79,15,34,19,30,49,5238,89,78,68,15,Left,28,300000,44,17,31,57,25,88,63,32,956,ongptl1f3p8slg51tbq9pn4b9c\n
Torrey Smith,CAR,WR,77,30,Maryland,84,35,70,35,62,85,81,24,35,81,84,91,81,72,10,85,44,35,92,25,205,1/26/1989,77,8,8000000,43,26,77,25,81,11,26,89,39,92,86,22,20,66,10,1,77,12,22,20,15,55,4483,95,71,75,20,Right,20,0,43,15,24,36,32,89,77,20,12525,ii8mesfis6oj3m4o3qjv7ppcg8\n
Mario Addison,CAR,ROLB,76,31,Troy,81,36,10,15,76,42,45,6,79,30,42,85,55,75,82,42,45,79,90,49,260,9/6/1987,24,8,9940000,35,6,55,78,40,97,12,79,45,74,80,6,37,49,68,1,25,72,6,16,45,85,5008,81,55,15,37,Right,15,10630000,45,24,6,67,45,82,25,45,12614,eb07ap671lb9bub7er69jte3j0\n
Eric Reid,CAR,SS,76,27,LSU,76,25,60,22,72,56,64,15,74,25,72,91,40,73,48,65,35,67,90,79,213,12/10/1991,20,5,13860000,64,15,51,78,35,25,23,87,35,94,80,15,76,55,61,1,40,92,10,21,35,67,6269,89,64,27,20,Right,10,8100000,35,69,10,51,35,85,42,35,26639,33j8qf920i8ec9tn80nl83cpv0\n
Brian Burns,CAR,LOLB,75,21,Florida State,73,24,10,13,76,33,28,6,84,10,48,91,39,77,78,34,45,75,92,43,249,4/23/1998,5,0,5380000,28,6,42,68,15,53,12,88,45,86,87,6,33,32,54,1,17,76,6,17,45,75,9406,84,41,21,15,Right,10,7840000,45,17,6,66,45,86,34,45,13150,kl5ucth03vv046afnsq5g2acdo\n
Jarius Wright,CAR,WR,75,29,Arkansas,82,43,48,25,42,82,80,22,29,79,82,90,88,70,20,82,51,22,94,22,191,11/25/1989,80,7,5200000,33,35,86,20,78,13,26,90,19,90,85,21,11,67,20,1,61,15,34,15,20,45,5575,94,69,79,18,Right,22,2310000,45,10,34,41,10,88,84,25,11576,uh12alfsk85phn72epdtrgji716lr23h9ltp6qa9t0vu6675dkc0\n
Bruce Irvin,CAR,LOLB,74,31,West Virginia,78,25,10,24,72,35,62,6,84,29,68,88,35,75,55,51,45,80,94,55,250,11/1/1987,21,7,2500000,44,6,45,80,39,55,12,86,45,81,87,6,47,41,73,1,44,84,6,20,45,83,5256,88,65,11,26,Right,15,1500000,45,40,6,75,45,84,22,45,12748,89tblopshsqh8hvuqasgp3nhr8\n
Ross Cockrell,CAR,CB,73,28,Duke,75,36,49,16,57,60,51,6,63,14,70,92,65,72,45,60,35,54,93,74,191,8/6/1991,10,5,4000000,36,6,74,71,24,47,14,89,35,88,79,6,72,38,35,1,45,66,6,26,35,56,6381,91,65,54,26,Right,12,2600000,35,79,6,43,35,85,64,35,10463,sqobq6vg0ek8kmis9jn61k4q6c\n
Aldrick Robinson,CAR,WR,73,30,SMU,74,35,77,20,40,76,75,6,35,78,80,90,85,70,10,83,53,31,90,25,187,9/24/1988,84,8,810000,30,15,88,20,77,8,27,91,36,90,65,10,13,30,10,1,58,12,10,22,10,40,4458,88,63,76,22,Right,22,0,36,18,6,39,30,92,83,11,17728,4luv5b7bg3vb0okmbuvlomrir0\n
Ian Thomas,CAR,TE,73,23,Indiana,72,31,6,47,69,67,76,6,31,67,79,90,56,75,20,75,53,31,84,14,260,6/6/1996,60,1,2460000,68,27,77,15,71,80,18,83,50,86,85,14,12,72,20,1,65,15,22,12,57,67,9078,87,74,65,18,Right,13,760000,62,10,19,27,54,80,56,60,11433,dem21ntrla6rlf7v86trkvv8bk\n
Chris Manhertz,CAR,TE,70,27,Canisius,74,30,18,47,69,61,72,6,37,48,74,83,69,78,17,70,71,33,86,21,255,4/10/1992,43,4,1980000,63,6,66,22,53,82,19,78,70,84,79,6,14,66,17,1,62,27,6,19,71,62,8375,88,65,59,21,Right,10,320000,72,17,6,29,65,81,59,66,12575,qfn615hs59cjnqtpgm5hek3140\n
Kevon Seymour,CAR,CB,70,25,USC,70,25,45,15,62,63,29,6,62,10,60,91,67,72,31,63,18,49,82,63,185,11/30/1993,10,3,1890000,25,6,72,69,20,23,10,93,35,84,68,6,67,31,26,1,12,53,6,11,35,45,8421,86,58,50,10,Right,11,0,10,79,6,41,35,89,60,35,10613,jpqbjc1cbeeh8mevr632o2v8m0\n
Vernon Butler Jr,CAR,LE,69,25,LA. Tech,73,22,9,33,83,28,20,6,77,6,32,81,21,76,56,23,45,82,90,31,330,6/14/1994,3,3,4030000,37,6,26,75,14,92,12,66,44,81,87,6,21,32,72,1,17,84,6,19,46,83,7927,81,36,17,20,Right,11,4370000,44,22,6,69,45,64,22,44,13184,9ijnml81gu009pn0gchiqtjd40\n
