Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Khalil Mack,CHI,LOLB,99,28,Buffalo,99,32,10,28,89,55,54,6,95,5,62,89,60,75,92,52,45,94,97,59,252,2/22/1991,5,5,107050000,55,6,54,99,15,52,12,87,45,94,92,6,50,49,97,1,25,88,6,22,45,90,6504,95,60,31,24,Right,12,47800000,45,48,6,93,45,88,46,45,12636,nv16s6ig0tg1iub78k9eu5pnps\n
Eddie Jackson,CHI,FS,91,25,Alabama,93,21,83,10,63,80,73,6,87,42,78,90,65,72,41,71,38,71,82,96,201,12/10/1993,37,2,2390000,48,6,76,91,52,39,12,88,35,84,64,6,83,47,32,1,49,82,6,19,35,53,8600,89,74,57,20,Right,17,640000,35,78,6,56,35,86,72,35,12402,065naef2i8h0ddj0tl22u2lqq8\n
Kyle Fuller,CHI,CB,89,27,Virginia Tech,95,36,50,12,62,65,65,6,65,11,71,92,65,71,68,64,35,59,89,95,190,2/16/1992,4,5,36000000,36,6,66,84,21,23,10,92,35,91,87,6,85,40,54,1,40,80,6,19,35,52,6423,94,66,45,19,Right,10,20000000,35,84,6,47,35,90,55,35,13222,b2qi9hd7fo1j7kfa0tff2jotj8\n
Trey Burton,CHI,TE,87,27,Florida,84,68,55,61,64,77,80,35,51,77,88,88,81,75,10,82,77,46,95,26,235,10/29/1991,72,5,24200000,57,54,84,26,80,80,53,86,75,81,87,49,21,60,10,1,73,12,51,24,62,67,6371,90,72,81,25,Right,55,8190000,63,10,39,39,76,88,79,60,12280,ff7bdai7mki1mh96niqu2nk1i0\n
Akiem Hicks,CHI,LE,87,29,Regina,95,26,10,19,93,27,15,6,88,8,30,81,10,77,69,15,45,86,94,29,336,11/16/1989,4,7,45100000,38,6,10,96,15,96,12,64,45,81,73,6,24,35,88,1,15,80,6,25,45,89,5230,95,35,13,25,Right,14,8400000,45,15,6,91,45,68,10,45,17758,t6tsmm2smgvkl2q4e2pqpl3bv8\n
Allen Robinson,CHI,WR,86,26,Penn State,90,30,72,33,70,84,89,6,44,85,89,93,72,75,10,94,57,42,89,24,211,8/24/1993,82,5,35800000,60,15,83,26,88,12,22,90,39,92,78,10,18,65,10,1,91,15,10,30,23,53,6570,91,84,77,25,Right,20,6200000,38,25,6,40,32,89,75,17,2534,64q3vs2t123t7uu3u7srpt8mtk\n
Tarik Cohen,CHI,HB,85,24,N.C. AT,80,51,89,35,61,79,71,27,31,71,76,93,90,66,10,72,30,26,86,28,179,7/26/1995,60,2,2390000,65,42,95,17,75,29,28,92,25,77,79,39,20,63,10,1,66,24,36,22,26,33,8511,88,78,80,20,Right,21,640000,51,20,31,22,22,97,92,22,2594,htccdfhkd2hr8a7223l0vdp0mk\n
Eddie Goldman,CHI,DT,85,25,Florida State,88,21,10,36,90,10,15,6,84,7,25,75,10,76,57,15,45,92,85,28,320,1/6/1994,3,4,27850000,25,6,10,90,15,91,12,64,45,74,84,6,21,10,80,1,15,84,6,18,45,86,7136,82,40,10,24,Right,10,12200000,45,16,6,84,45,64,11,45,12595,odn5foo2lk6srnip1pbkmsef8c\n
Charles Leno Jr,CHI,LT,83,27,Boise State,91,10,10,84,86,10,52,6,29,23,25,79,10,75,30,45,89,35,90,9,305,10/9/1991,15,5,33900000,25,6,10,26,33,72,12,64,86,72,75,6,12,10,30,1,35,20,6,15,86,83,6489,84,24,14,11,Right,15,4910000,83,10,6,25,90,64,24,81,11565,5h0grbpp5lmlktar29chd9sdos\n
Taylor Gabriel,CHI,WR,82,28,Abilene Chr.,88,35,82,26,58,85,82,25,24,83,89,95,83,68,10,85,51,25,87,22,167,2/17/1991,81,5,24000000,33,35,90,17,85,18,23,94,31,94,55,42,19,42,10,1,73,15,31,24,14,46,7123,88,73,75,22,Right,20,4000000,32,15,31,32,26,92,82,11,11453,hja4r9svft82n1ent5c63cpap4\n
Prince Amukamara,CHI,CB,81,30,Nebraska,84,30,55,14,70,74,65,6,76,10,65,90,80,72,66,66,35,60,88,83,202,6/6/1989,3,8,24000000,35,6,84,88,20,20,15,90,35,91,70,6,78,30,46,1,35,65,6,15,35,54,4319,92,66,65,22,Left,12,3000000,35,80,6,53,35,91,75,35,13091,63f5a5tuqrlgihesiqpc18pfqk\n
Roquan Smith,CHI,MLB,81,22,Georgia,77,25,10,22,80,31,33,10,86,12,62,91,31,73,62,29,45,84,93,79,236,4/8/1997,11,1,6960000,39,10,42,77,13,58,12,89,45,81,95,13,69,35,70,1,22,87,8,22,45,86,9061,94,54,36,14,Right,10,11520000,45,56,6,74,45,88,33,45,995,v271grg97oalmot0g1a4tj7ric\n
