Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Geno Atkins,CIN,DT,91,31,Georgia,98,25,10,38,90,15,15,6,89,7,25,84,10,73,78,15,45,84,85,25,300,3/28/1988,3,9,60250000,30,6,10,95,15,97,12,78,45,75,80,6,15,40,93,1,15,85,6,20,45,89,316,90,40,10,20,Right,16,14500000,45,15,6,89,45,71,12,45,20565,le1go2bk6rqmm23r7f1olg7l30\n
A.J. Green,CIN,WR,90,31,Georgia,90,41,67,25,72,93,96,6,40,90,90,89,85,76,10,97,51,35,90,30,210,7/31/1988,90,8,54380000,67,20,89,25,92,18,27,90,37,96,86,15,23,72,10,1,88,15,15,15,20,45,4372,96,74,88,19,Right,23,15800000,28,15,15,40,35,92,83,17,10806,gp855e3qqlq847d2g0i76i8bg4\n
Tyler Eifert,CIN,TE,88,28,Notre Dame,84,40,10,50,71,84,88,6,39,79,87,87,66,78,30,89,73,35,76,27,255,9/8/1990,75,6,1830000,75,15,70,22,82,85,17,83,72,91,83,10,11,68,20,1,81,25,10,21,65,65,5786,95,78,71,22,Right,15,1200000,66,25,6,50,64,83,57,59,11551,196rj5li394hjm1j9eak82mjjg\n
Joe Mixon,CIN,HB,88,23,Oklahoma,89,38,80,45,75,90,71,28,38,58,71,93,82,73,14,75,57,37,93,20,218,7/24/1996,52,2,3350000,76,36,91,15,65,28,22,91,36,84,84,36,10,84,11,1,52,38,32,16,31,43,9241,94,92,86,24,Right,17,2120000,43,12,28,34,35,92,84,26,2661,k5rf0508pnsbsevbub7bqnb7cs\n
William Jackson,CIN,CB,84,26,Houston,86,31,56,13,59,73,50,6,73,16,72,93,69,72,27,66,16,51,88,80,196,10/27/1992,11,3,14390000,26,6,81,83,26,22,17,93,33,92,76,6,84,29,26,1,27,74,6,17,33,50,8067,91,68,72,18,Right,17,5240000,10,80,6,56,34,88,82,34,17663,2s4tb1hu806strf5k3ti9n57cc\n
Tyler Boyd,CIN,WR,83,24,Pittsburgh,91,52,72,29,63,85,86,15,37,85,94,92,74,74,11,87,51,24,87,24,203,11/15/1994,80,3,2860000,38,43,79,21,86,83,22,89,36,88,76,25,16,40,11,1,80,15,38,22,21,49,7903,91,78,73,23,Right,22,1380000,48,16,33,39,29,87,76,19,2029,n4g74tld73conli0856ehbp0f4\n
Carlos Dunlap,CIN,LE,82,30,Florida,90,10,10,14,79,10,26,6,84,8,43,86,10,78,84,28,45,82,86,52,280,2/28/1989,4,9,37000000,35,6,10,90,15,96,12,82,45,84,65,6,39,10,58,1,20,72,6,10,45,84,1007,89,41,17,8,Right,14,10500000,45,20,6,80,45,82,27,45,13108,vib117co366sajf92lvc4p8svo\n
Jessie Bates III,CIN,FS,81,22,Wake Forest,80,25,78,20,58,74,63,10,85,15,74,90,69,73,37,67,35,72,90,82,200,2/26/1997,10,1,3260000,41,10,78,78,20,30,10,89,35,85,79,10,76,36,25,1,13,69,10,12,35,57,8815,93,69,48,18,Right,23,1680000,35,60,10,43,35,89,67,35,10866,u2fbeaj5mab2innuijfadip47s\n
Carl Lawson,CIN,RE,81,24,Auburn,79,12,10,11,88,37,17,6,79,8,31,89,26,74,87,24,45,81,81,44,261,6/29/1995,4,2,2420000,36,6,35,76,15,58,12,83,45,80,74,6,38,27,82,1,25,76,6,12,45,81,8633,88,27,31,14,Right,12,640000,45,30,6,63,45,82,40,45,2597,u9t5v2jcjmiulfi8j50gvb8e5s\n
Andy Dalton,CIN,QB,80,31,TCU,84,88,10,10,54,63,52,84,23,20,60,81,52,74,10,58,14,15,96,12,220,10/29/1987,10,8,83890000,23,88,57,10,30,14,51,75,14,66,94,84,12,28,10,1,25,12,88,19,13,14,4356,91,64,47,12,Right,83,13770000,13,10,85,12,14,74,48,13,13089,uoso7jhmhlo09opr6s2ucvb554\n
