Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Odell Beckham Jr,CLE,WR,96,26,LSU,93,59,79,22,53,98,91,12,39,96,96,94,89,71,10,99,55,40,85,22,198,11/5/1992,94,5,59960000,43,51,98,22,96,13,23,94,38,96,94,13,18,78,10,1,92,15,48,53,25,49,6340,95,73,85,75,Right,30,22500000,51,45,45,45,32,98,94,25,10757,6pnskodjro5hk0fermu3pv07b8\n
Myles Garrett,CLE,RE,91,23,Texas AM,92,20,10,17,96,39,21,6,88,8,52,90,40,76,86,25,45,81,87,48,272,12/29/1995,4,2,10160000,36,6,35,90,15,95,12,84,45,94,83,6,49,45,93,1,35,81,6,20,45,87,8560,94,55,34,20,Right,16,20240000,45,44,6,88,45,83,34,45,2528,5bqim2qi9vb62a6c30r717c2ac\n
Kareem Hunt,CLE,HB,90,24,Toledo,84,27,55,45,81,94,67,26,34,61,71,92,79,71,10,64,39,31,88,29,216,8/6/1995,55,1,1020000,89,24,93,16,68,27,21,90,29,92,86,30,13,86,10,1,52,24,20,16,28,43,8597,87,98,94,24,Right,18,0,57,20,17,29,24,92,83,23,2115,sojkb7ln4644mpf3hkq8tf4dng\n
Denzel Ward,CLE,CB,88,22,Ohio State,83,31,67,17,61,66,48,6,72,26,67,95,66,71,33,63,35,50,88,84,190,4/28/1997,20,1,9880000,19,15,80,81,30,21,18,95,35,92,86,6,90,28,26,1,26,69,10,13,35,51,9100,96,66,60,18,Right,15,19280000,35,89,8,50,35,95,74,35,12935,21kug24cc475eqscnfrr2jv8h4\n
Joel Bitonio,CLE,LG,87,27,Nevada,86,16,10,80,86,25,15,6,19,5,28,85,10,76,10,15,80,21,92,20,305,10/11/1991,5,5,53660000,28,6,10,28,15,75,12,73,77,79,91,6,12,10,10,1,15,25,6,21,90,85,6346,88,40,12,24,Right,16,570000,91,10,6,10,82,74,19,88,2275,oiodc15794a811k5318vh20emuai91npjv0ehtnmcjt8aviae7cg\n
Damarious Randall,CLE,FS,86,27,Arizona St.,85,21,65,13,69,81,50,6,87,12,73,91,77,71,54,64,35,70,91,87,196,8/29/1992,10,4,10580000,49,6,84,82,15,23,19,90,35,88,74,6,79,50,40,1,25,64,6,19,35,53,7289,92,64,69,17,Right,12,0,35,80,6,60,35,91,79,35,29981,hplhcta6m7un1ihtmfs6pcu4s4\n
Nick Chubb,CLE,HB,85,23,Georgia,86,26,35,37,85,87,61,15,35,46,62,91,74,71,12,63,37,29,86,16,227,12/27/1995,39,1,3940000,89,25,85,18,52,24,28,90,34,91,83,17,12,84,18,1,48,35,20,12,39,35,8846,86,92,90,17,Right,15,3440000,50,13,15,29,30,83,76,25,13114,1mq201p85hmflva4gokdcstdog\n
Jarvis Landry,CLE,WR,84,26,LSU,86,61,89,39,66,93,88,26,55,85,91,91,83,71,10,91,62,47,90,15,196,11/28/1992,81,5,67800000,77,48,92,29,87,80,26,89,29,88,90,32,10,69,10,1,85,64,42,17,25,59,6484,94,73,86,16,Left,33,7700000,40,10,46,45,25,92,87,20,13268,opadb9tn93u99fhkuvf5oppiic\n
Sheldon Richardson,CLE,DT,84,28,Missouri,88,28,10,40,88,42,34,6,83,3,42,84,25,75,72,38,45,91,89,55,294,11/29/1990,2,6,23000000,66,6,30,84,10,98,12,71,45,78,74,6,23,55,88,1,20,86,6,23,45,90,6040,93,70,10,25,Right,10,14010000,45,25,6,74,45,73,25,45,2033,ae05besdqd44jctv2587jt7mu0\n
Baker Mayfield,CLE,QB,83,24,Oklahoma,80,93,10,22,70,84,23,88,33,17,61,86,48,73,10,55,25,32,91,12,218,4/14/1995,13,1,10840000,67,89,70,15,28,6,85,82,15,72,96,89,10,60,10,1,15,25,83,16,12,32,8982,94,67,70,20,Right,89,21840000,16,10,88,28,10,84,79,10,20518,7kq3csrtcpj7n58iejraorhmlk\n
