Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Zack Martin,DAL,RG,96,28,Notre Dame,93,29,10,94,93,10,15,6,48,5,32,81,10,76,10,15,97,28,96,11,310,11/20/1990,5,5,73340000,24,6,10,31,15,70,12,70,97,73,96,6,9,10,10,1,15,20,6,14,95,92,6511,93,40,5,9,Right,14,20000000,94,10,6,27,95,65,10,92,17711,lao2lqlb7ph4d1872j6fgc8k3p6lr23h9ltp6qa9t0vu6675dkc0\n
Ezekiel Elliott,DAL,HB,94,24,Ohio State,98,27,63,66,81,98,70,29,48,61,75,91,89,72,21,68,47,59,97,19,225,7/22/1995,55,3,17700000,84,30,94,20,68,21,20,90,34,94,96,29,14,93,16,1,57,42,22,20,38,64,7993,94,88,91,21,Right,23,16360000,59,16,20,32,33,95,85,33,12603,uvda8rs0muiqfln38h4m9uksl0\n
Travis Frederick,DAL,C,94,28,Wisconsin,96,26,10,93,93,15,15,6,15,5,45,79,10,76,10,12,95,33,98,12,318,3/18/1991,5,6,39700000,25,6,10,10,10,72,12,55,93,74,98,6,12,10,10,1,12,20,6,22,93,95,5806,95,39,5,22,Right,10,21010000,91,10,6,10,96,66,10,87,13186,qlc98852sgl7d3bt8uk29ll21ap57hgld1hb0p3cms2t4id7sfi0\n
Tyron Smith,DAL,LT,94,28,USC,93,35,11,89,96,10,48,6,39,25,56,84,10,77,10,37,92,45,84,12,320,12/12/1990,17,8,68880000,10,6,10,10,35,77,12,73,89,74,94,6,12,10,10,1,15,20,6,21,95,92,4484,88,55,11,25,Right,14,25950000,92,10,6,40,94,78,21,93,17828,kf23geb5o7cu51vrrdjl00l2ss\n
Byron Jones,DAL,CB,91,26,Connecticut,91,44,65,16,71,54,40,6,72,17,63,94,74,72,44,61,35,64,90,94,205,9/26/1992,12,4,10370000,35,6,76,90,27,31,15,92,35,98,83,6,87,39,35,1,41,60,6,21,35,61,7196,91,59,50,24,Right,17,4520000,35,93,6,49,35,96,65,35,11067,j8gf730p051n5f2o1pueotplu8\n
Amari Cooper,DAL,WR,89,25,Alabama,91,45,77,35,68,90,87,6,39,90,91,90,87,73,10,89,53,25,84,25,210,6/17/1994,88,4,14624000,64,25,92,20,89,19,28,92,36,89,82,15,15,71,10,1,90,15,15,21,20,54,7060,91,72,87,25,Right,20,0,35,18,10,35,33,96,91,20,2056,5p3mul3ofbovqvc3bndgl01etg\n
DeMarcus Lawrence,DAL,LE,89,27,Boise State,94,25,10,13,86,31,24,6,88,8,33,88,32,75,95,25,45,82,85,50,265,4/28/1992,4,5,58000000,44,6,35,89,15,90,12,80,45,83,97,6,39,38,89,1,20,84,6,19,45,83,6487,86,42,10,19,Right,14,47000000,45,44,6,88,45,82,20,45,2629,p22qeag64lmo8qot0t1mb98b3o\n
Leighton Vander Esch,DAL,ROLB,86,23,Boise State,82,33,10,22,78,47,41,6,91,10,61,91,39,76,52,36,45,87,87,73,256,2/8/1996,7,1,5160000,49,6,55,84,15,55,12,86,45,92,93,6,68,37,63,1,16,81,6,15,45,82,9092,89,56,32,19,Right,14,6680000,45,46,6,82,45,89,40,45,2278,kmch4bfdhdjpobbpegnlvuehmk\n
Jaylon Smith,DAL,MLB,85,24,Notre Dame,87,25,10,22,73,47,28,6,90,5,53,91,32,74,73,33,45,83,85,81,240,6/14/1995,5,3,3580000,32,6,47,85,15,54,12,87,44,86,85,6,73,39,65,1,22,93,6,19,44,82,8218,86,45,23,19,Right,10,2920000,45,52,6,76,44,86,38,43,20353,vibgd68c1mrph1i1cerg2scbm4\n
Chris Jones,DAL,P,84,30,Carson-Newman,71,37,10,14,35,42,15,20,10,15,24,82,10,72,10,15,15,46,92,27,205,7/21/1989,15,8,7700000,13,30,27,19,15,6,25,80,14,55,66,20,16,18,10,1,15,62,30,94,11,14,5282,74,35,18,93,Left,22,2750000,14,10,25,10,14,64,28,11,2039,h26f9b9ebknd66h7240fbbcigs\n
