Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Von Miller,DEN,LOLB,97,30,Texas AM,99,19,10,29,84,40,20,6,96,5,50,89,45,75,90,40,45,93,96,57,250,3/26/1989,5,8,54000000,40,6,53,99,15,58,12,87,45,83,88,6,46,35,95,1,35,89,6,15,45,89,4432,92,65,20,21,Right,13,29020000,45,62,6,94,45,90,35,45,12350,5jap7adnodfdrjspcj8fs1tfpk\n
Chris Harris Jr,DEN,CB,90,30,Kansas,92,35,67,17,58,55,48,6,85,23,79,89,60,70,35,66,35,62,92,88,199,6/18/1989,16,8,500000,19,6,64,95,33,25,10,90,35,90,86,6,93,33,32,1,30,60,6,25,35,57,5589,95,60,60,25,Right,15,11550000,35,87,6,64,35,96,70,35,13111,q5673v0pv6ihm9nd8qfm835iv8\n
Emmanuel Sanders,DEN,WR,88,32,SMU,93,35,83,20,43,90,88,6,35,89,92,92,86,71,10,90,57,25,87,25,180,3/17/1987,89,9,27550000,30,15,89,20,91,10,22,89,36,92,78,10,13,35,10,1,84,12,10,30,10,40,2632,95,69,84,30,Right,22,12060000,26,18,6,35,33,93,88,11,12359,voi0fjcsafr2krpj8s9v60h8r8\n
Kareem Jackson,DEN,CB,86,31,Alabama,88,22,44,12,60,70,39,5,88,15,77,89,70,70,39,64,30,70,90,89,185,4/10/1988,11,8,12000000,20,5,80,96,25,22,10,88,35,89,67,5,83,10,50,1,10,79,5,10,35,52,1611,91,50,34,10,Right,10,21000000,30,84,5,65,35,85,37,35,12361,5g8g9d7bb89a1toskp9g4sve6g\n
Phillip Lindsay,DEN,HB,86,25,Colorado,88,26,79,32,60,89,55,15,22,51,64,90,78,68,10,53,38,34,86,31,190,7/24/1994,43,1,1710000,70,15,88,28,58,30,22,93,29,85,75,15,15,68,10,1,48,21,10,14,25,30,9339,89,93,80,17,Right,17,0,57,30,10,35,27,90,86,20,17733,6rk3i3360rp1o9t59f3lu1ec6c\n
Bryce Callahan,DEN,CB,81,27,Rice,84,36,65,15,67,65,45,6,81,20,66,92,73,69,33,67,35,58,87,80,188,10/23/1991,13,4,14500000,27,6,78,86,30,29,12,93,35,96,81,6,81,33,34,1,40,45,6,21,35,45,7667,87,61,62,24,Right,12,6400000,35,70,6,63,35,87,72,35,17684,8fcdp9sh74sdjfvtkis47gi4l0\n
Bradley Chubb,DEN,ROLB,80,23,N.C. State,77,20,10,17,91,39,30,6,86,8,48,87,33,76,83,28,45,82,96,47,269,6/24/1996,4,1,9360000,31,6,38,78,15,55,12,84,45,86,92,6,42,42,78,1,13,87,6,15,45,89,8845,84,53,36,18,Right,16,17920000,45,28,6,85,45,78,27,45,2491,4s5v6kuiies1l9vv2cv3qg0rbg\n
Ron Leary,DEN,LG,80,30,Memphis,88,35,11,89,87,10,48,6,39,25,52,76,10,75,10,37,85,42,86,12,320,4/29/1989,17,7,32040000,25,6,10,10,35,65,12,62,81,77,75,6,12,10,10,1,15,20,6,21,79,88,5307,78,50,6,25,Left,13,3820000,77,10,6,40,86,55,11,75,17859,iil19dld4e6533gcfblbd71i6o\n
Justin Simmons,DEN,FS,80,25,Boston College,78,26,48,10,66,58,47,15,87,12,73,91,60,74,36,64,18,74,88,71,202,11/19/1993,10,3,3650000,53,15,68,82,22,31,12,88,34,93,79,15,74,44,32,1,22,79,10,19,34,55,8214,96,62,47,20,Right,22,690000,13,63,10,67,33,96,62,33,498,p2srkuhm34a5jke4kdafonueh7jf3e48phj2gabj23l5fb8vl7b0\n
Derek Wolfe,DEN,LE,80,29,Cincinnati,84,20,10,17,89,15,10,6,85,3,34,83,10,77,55,15,45,86,89,29,285,2/24/1990,2,7,28000000,41,6,10,86,10,95,12,74,45,80,87,6,22,25,78,1,12,72,6,10,45,87,5572,91,40,10,10,Right,14,8720000,45,15,6,82,45,72,20,45,10671,o9c2h1lvnt0asienh0slpcdm2o\n
