Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Damon Harrison Sr,DET,DT,95,30,William Penn,93,30,10,44,94,25,10,6,92,3,37,76,25,75,67,15,45,94,91,42,353,11/29/1988,2,7,23500000,39,6,35,99,10,98,27,62,45,73,96,6,35,35,81,1,12,78,6,20,45,95,5855,80,33,15,20,Right,18,500000,45,25,6,98,45,64,20,45,12578,vq80a1nkep4mjf5q0rot6dsk9k\n
Darius Slay Jr,DET,CB,89,28,Mississippi St.,93,36,72,16,59,81,55,6,78,30,73,92,81,72,49,65,35,63,92,93,190,1/1/1991,23,6,34810000,39,6,84,84,40,23,17,93,35,88,67,6,87,43,40,1,40,74,6,21,35,56,6273,94,64,72,25,Right,12,15950000,35,86,6,57,35,92,80,35,17682,7nc7k28ijtg02b8luhlii18ksk\n
Trey Flowers,DET,RE,87,26,Arkansas,91,35,10,20,87,20,10,6,87,10,32,88,25,74,77,15,45,86,94,29,265,8/16/1993,10,4,41010000,48,6,25,89,10,90,12,77,45,85,88,6,25,52,91,1,12,76,6,30,45,90,7117,85,42,15,30,Right,14,48990000,45,25,6,85,45,77,25,45,1128,efalm9k5ss2tvvrs5om8tu3mm3fo8ff22njl5m109c17n4v821o0\n
Marvin Jones Jr,DET,WR,86,29,California,91,35,72,29,71,86,88,10,10,88,87,91,83,74,10,95,53,32,89,15,198,3/12/1990,90,7,25790000,53,25,86,15,81,11,22,90,39,91,88,15,20,65,10,1,84,12,20,24,25,49,5288,92,81,81,25,Right,20,11300000,46,20,15,35,37,89,77,23,2456,f4v51vnje0d7vnopbuhn25me0k\n
Kenny Golladay,DET,WR,83,25,N. Illinois,90,36,74,29,73,83,89,31,38,83,90,90,75,76,10,91,50,30,88,29,213,11/3/1993,81,2,2490000,68,29,79,25,85,19,22,90,25,88,85,33,20,85,10,1,83,46,24,21,25,49,8568,89,75,77,24,Right,20,720000,39,25,20,33,18,88,72,25,2832,2dblf22qpd3ue43aiq2rsqd05g\n
Danny Amendola,DET,WR,81,33,Texas Tech,87,43,87,20,52,88,86,21,35,84,91,89,78,71,10,86,46,25,81,20,190,11/2/1985,78,11,500000,44,36,84,19,87,12,36,84,36,76,88,10,14,55,10,1,81,15,33,24,12,40,283,97,71,82,28,Right,38,4000000,24,15,32,35,31,86,86,12,13424,a6mmt75pf1pesci2paodigbplg\n
Kerryon Johnson,DET,HB,81,22,Auburn,83,37,77,35,82,84,67,28,34,61,71,89,81,71,12,64,35,32,85,18,206,6/30/1997,54,1,3700000,86,30,85,17,64,33,30,88,32,93,83,33,13,89,11,1,50,30,24,15,38,45,8948,92,90,86,19,Right,24,2800000,59,15,17,26,27,85,77,33,12473,0lj600fm408nfs1dvjgkgahbk8\n
C.J. Anderson,DET,HB,80,28,California,88,25,69,46,78,85,67,15,37,48,64,90,75,68,10,62,54,35,87,31,225,2/2/1991,40,6,990000,86,35,85,17,55,26,21,89,42,80,82,15,15,79,10,1,50,20,30,11,47,44,6694,86,91,84,10,Right,15,450000,44,20,20,22,40,88,77,47,2560,4k29hpav4f152qfegkansf34is\n
Da'Shawn Hand,DET,LE,79,23,Alabama,83,22,10,20,92,26,20,6,83,8,27,84,23,75,64,18,45,83,87,28,297,11/14/1995,4,1,2460000,34,6,29,85,15,93,12,78,45,77,85,6,20,32,77,1,13,79,6,16,45,86,8910,78,28,17,33,Right,14,680000,45,20,6,82,45,58,24,45,13115,9cg2pe2fn9tdn13rad56gqr4eh6lr23h9ltp6qa9t0vu6675dkc0\n
Frank Ragnow,DET,LG,79,23,Arkansas,73,17,10,85,92,12,17,6,29,10,23,82,10,77,10,14,83,29,89,11,308,5/17/1996,5,1,5140000,22,6,10,21,15,77,12,73,84,80,95,6,10,10,10,1,15,30,6,16,80,85,9031,92,29,16,19,Right,12,6640000,79,10,6,27,81,58,13,77,12560,8d7h40ate4hqu91tf68m3253ms\n
Matthew Stafford,DET,QB,79,31,Georgia,80,94,10,17,67,72,15,86,29,14,26,78,39,75,10,15,22,28,91,22,220,2/7/1988,12,10,99000000,51,86,60,17,15,9,80,74,17,58,97,82,10,37,10,1,15,12,82,25,24,27,6302,96,63,51,28,Right,82,58000000,25,10,84,28,19,74,53,22,17600,v66uevdih5j6r8cv86ep6jt3p16lr23h9ltp6qa9t0vu6675dkc0\n
Jesse James,DET,TE,78,25,Penn State,80,20,10,49,78,78,79,6,20,70,85,85,64,79,20,78,63,40,92,15,261,6/4/1994,65,4,12550000,69,15,56,15,72,83,12,83,63,87,65,10,12,62,20,1,74,15,10,20,65,64,7184,91,79,56,22,Right,13,8620000,66,10,6,40,59,72,53,60,2082,ifumsot68c1frgimsk8m3gkb2s\n
Jermaine Kearse,DET,WR,78,29,Washington,80,35,44,21,60,83,84,6,35,79,86,93,75,73,10,86,57,32,96,26,209,2/6/1990,80,7,1000000,57,15,78,26,78,13,22,90,37,90,85,10,15,62,10,1,78,12,10,22,20,41,5293,92,75,78,20,Right,27,350000,57,10,6,44,31,85,75,19,12434,82ccefnmkkcl58mbbofgdvqv4s\n
Rashaan Melvin,DET,CB,78,29,N. Illinois,78,17,54,17,56,47,45,6,82,10,62,90,65,74,35,60,35,60,86,76,194,10/2/1989,10,6,1430000,10,6,71,79,20,29,10,90,35,90,69,6,78,20,25,1,15,62,6,22,35,47,6720,90,59,40,18,Right,12,700000,35,86,6,58,35,88,50,35,12930,rb9sfefcr4s7998q01teevvlf88h4tqkded6qv5dogtjsem1vdcg\n
Matt Prater,DET,K,78,35,UCF,65,45,10,15,43,10,10,20,25,10,35,78,10,70,10,12,20,20,85,25,201,8/10/1984,10,12,11150000,10,38,10,15,10,5,12,72,15,40,50,20,10,10,10,1,12,12,32,86,15,15,2449,75,40,5,94,Right,24,4580000,20,10,26,10,15,46,12,15,13436,7t8or04imcpfj26lapn2459t48\n
Justin Coleman,DET,CB,77,26,Tennessee,82,32,73,15,75,66,29,6,83,14,64,91,72,71,39,61,35,55,89,80,190,3/27/1993,10,4,20450000,33,6,75,84,24,27,13,88,35,88,77,6,75,30,31,1,15,39,6,18,35,45,7434,90,58,53,19,Right,12,15560000,35,66,6,59,35,93,63,30,12605,0r9rk4r7571ffs4rh7c8mqbfrg\n
Quandre Diggs,DET,SS,77,26,Texas,84,48,75,12,70,65,48,29,75,20,66,87,63,69,33,65,35,65,92,79,200,1/22/1993,13,4,15710000,24,31,71,81,30,28,41,87,35,85,80,32,77,30,25,1,35,77,29,25,35,52,7084,90,64,56,25,Right,34,4830000,35,78,28,55,35,84,66,35,2544,aam9ueu2el9it8jil6gj6ealio\n
T.J. Hockenson,DET,TE,77,22,Iowa,73,28,10,54,76,75,79,10,56,68,83,87,59,77,46,80,64,46,91,37,251,7/3/1997,63,0,2000000,65,20,65,34,72,88,17,82,61,89,91,10,27,73,37,1,70,51,15,34,56,66,9503,87,75,65,38,Right,15,17820000,60,26,10,47,63,84,60,53,11923,qo0atkis460a6butcrgbuo0a14\n
Theo Riddick,DET,HB,77,28,Notre Dame,76,33,86,45,59,76,76,15,38,74,72,90,80,69,10,79,45,28,89,20,201,5/4/1991,67,6,8250000,53,44,91,20,77,25,21,87,35,81,85,18,15,71,10,1,75,20,38,25,45,43,6041,88,82,80,27,Right,15,4260000,69,25,25,19,30,93,85,40,13152,5i5djt68qqp9j6q12j70agqb096lr23h9ltp6qa9t0vu6675dkc0\n
A'Shawn Robinson,DET,DT,77,24,Alabama,81,23,9,36,86,21,34,6,82,5,42,80,17,76,61,37,45,85,92,26,322,3/21/1995,3,3,3220000,33,6,23,84,13,91,12,66,46,79,90,6,18,25,77,1,15,82,6,17,44,86,8197,80,39,13,17,Right,17,2000000,44,13,6,77,45,63,18,45,12700,ap33ic8mvreu11vlj9lble3bus\n
Rick Wagner,DET,RT,77,29,Wisconsin,83,17,10,87,87,15,33,6,35,5,54,76,10,78,10,35,79,35,84,18,315,10/21/1989,5,6,33000000,24,6,10,16,15,71,12,65,80,78,88,6,15,10,10,1,15,34,6,20,80,89,6139,86,55,5,20,Right,15,14500000,79,10,6,30,74,58,11,77,28816,rc4ifiap914ss9po0eb2ih26ss\n
Taylor Decker,DET,LT,76,25,Ohio State,87,22,9,85,90,12,15,6,29,5,32,79,12,79,14,15,68,34,91,14,311,8/23/1994,5,3,15150000,20,6,11,19,16,68,12,65,70,72,90,6,11,15,15,1,16,70,6,19,80,84,7974,88,28,6,18,Right,15,6160000,80,10,6,26,65,61,14,78,12722,gu0rq9monq791rlslcs6b6pudk\n
Tavon Wilson Sr,DET,SS,76,29,Illinois,81,30,35,17,59,60,50,15,77,20,65,87,66,72,59,55,35,71,87,72,212,3/19/1990,15,7,4000000,47,15,70,84,30,32,15,86,35,82,87,15,74,38,46,1,20,69,10,15,35,62,6173,92,66,40,20,Right,16,1810000,35,75,10,61,35,85,55,35,11211,an588bhtj6k488dvrcpdk06570\n
Sam Martin,DET,P,75,29,Appalach. St.,57,41,10,15,46,15,10,15,35,10,45,81,10,73,10,12,25,24,92,25,211,2/27/1990,10,6,11390000,10,15,10,15,10,6,17,74,15,65,65,18,10,10,10,1,12,12,15,79,15,15,6649,85,48,10,96,Right,13,3120000,20,10,15,10,15,58,20,15,12743,vt5nrqcuhpp8c9ce4itdm1dkg4\n
Graham Glasgow,DET,C,74,27,Michigan,77,24,9,76,88,18,14,6,31,5,20,81,11,78,13,14,78,29,89,14,308,8/19/1992,5,3,3710000,28,6,17,19,13,60,12,68,81,70,89,6,12,15,12,1,15,31,6,20,78,78,8019,87,27,8,20,Right,15,640000,76,8,6,26,77,67,14,73,12526,elk8goa08q59l8gopf5np4b6js\n
Devon Kennard,DET,LOLB,74,28,USC,76,15,10,27,75,15,33,6,81,5,61,89,33,76,62,35,45,86,86,63,256,6/24/1991,5,5,11710000,45,6,32,79,15,42,12,83,45,75,84,6,51,30,70,1,25,77,6,24,45,87,6479,88,55,10,27,Right,18,5550000,45,50,6,69,45,77,25,45,13061,lhgokavd7n2nia5pcv9phct7e4\n
Christian Jones,DET,ROLB,73,28,Florida State,76,15,10,23,73,35,40,6,82,5,61,86,33,75,59,45,45,83,94,56,244,2/18/1991,5,5,4100000,45,6,43,78,15,52,12,81,45,83,83,6,49,33,49,1,25,83,6,12,45,79,6473,86,59,10,14,Right,16,2260000,45,60,6,72,45,84,15,45,20554,84mgj50bcgss2q5acspd9eljfo\n
Jarrad Davis,DET,MLB,72,23,Florida,75,17,10,26,83,34,43,6,84,18,53,90,26,73,55,46,45,79,80,51,238,11/16/1995,10,2,4850000,32,6,37,77,28,40,12,85,45,91,78,6,45,42,64,1,26,87,6,20,45,86,8524,91,48,10,21,Right,10,6120000,45,42,6,75,45,80,25,45,2849,95alv4lokp2oouvegus7tj3m74\n
Mike Ford,DET,CB,72,24,SE Missouri St.,69,29,60,15,58,68,56,6,74,36,70,92,68,72,45,63,35,50,85,68,194,8/4/1995,29,1,1050000,32,6,75,71,46,38,15,90,35,93,76,6,72,35,40,1,44,57,6,15,35,45,9774,88,62,55,21,Right,15,0,35,76,6,51,35,94,72,35,13166,pi516gd8bc4lvo8fsu9c38ttok\n
Michael Roberts,DET,TE,72,25,Toledo,75,26,20,50,71,74,77,10,32,62,80,84,61,77,10,79,59,31,90,18,265,5/7/1994,56,2,2380000,67,10,69,10,66,80,12,77,58,76,83,10,12,70,10,1,62,34,10,25,61,63,8703,87,77,52,25,Right,10,600000,62,25,10,36,55,77,52,59,13203,nt0r1esabmt0s32fk2ugj573tc\n
Tracy Walker,DET,FS,72,24,UL Lafayette,75,23,45,15,60,56,52,15,73,10,71,91,64,73,33,50,35,70,90,70,206,2/1/1995,10,1,2630000,27,15,64,72,20,47,14,89,35,80,82,15,74,32,27,1,20,75,10,11,35,55,9097,89,68,23,15,Right,14,880000,35,66,10,48,35,83,43,35,20581,6nmrr0je9lilgj3um78okc4oks\n
