Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
David Bakhtiari,GB,LT,97,27,Colorado,99,22,10,88,91,10,15,6,28,5,40,80,10,76,10,12,82,40,89,10,310,9/30/1991,5,6,31670000,25,6,10,15,15,69,12,68,79,66,69,6,10,15,10,1,15,25,6,20,96,90,5671,85,22,5,20,Right,13,18110000,97,10,6,20,84,69,10,98,12341,2l87arfbcoub3fot4abg36nt2s\n
Davante Adams,GB,WR,92,26,Fresno State,96,30,45,25,63,89,94,6,44,92,93,92,81,73,10,91,49,42,93,24,215,12/24/1992,88,5,39210000,63,15,88,26,93,17,22,89,20,93,74,10,18,75,10,1,96,15,10,30,13,45,6328,91,76,80,25,Right,20,20300000,38,25,6,52,12,90,81,17,12436,4b7hu5ie00j5cv5seisgluh90o\n
Kenny Clark,GB,DT,90,23,UCLA,92,23,9,36,95,27,22,6,84,5,24,83,17,75,67,24,45,86,91,38,314,10/4/1995,3,3,13760000,35,6,24,93,13,97,12,70,46,76,92,6,33,27,86,1,15,82,6,17,44,86,7947,83,34,14,17,Right,18,5050000,44,13,6,94,45,65,19,45,17549,conh2mih7up6bidrmhs7kcibs0\n
Aaron Rodgers,GB,QB,90,35,California,91,94,10,10,58,78,15,89,24,14,47,82,55,74,10,15,18,19,90,19,225,12/2/1983,12,14,115500000,30,96,53,25,15,12,88,78,18,70,98,92,13,20,10,1,15,12,87,18,12,18,6299,98,63,66,15,Right,87,60500000,12,10,91,19,18,82,65,12,17797,j123r4vg1njeqine7c2rqj99cc\n
Adrian Amos Jr,GB,SS,87,26,Penn State,85,30,35,18,72,59,52,15,89,10,63,92,55,72,47,60,35,73,92,89,214,4/29/1993,10,4,24000000,40,15,64,87,20,31,15,93,35,86,66,15,80,44,42,1,15,85,10,25,35,63,6996,88,65,39,25,Right,17,12000000,35,78,10,66,35,85,54,35,14311,kid071jpunenlivhogsa0v57q0\n
Mike Daniels,GB,RE,87,30,Iowa,89,29,12,21,94,10,25,6,86,3,35,83,10,72,84,25,45,90,84,29,310,5/5/1989,2,7,28560000,25,6,10,93,10,76,12,75,45,84,91,6,22,29,73,1,12,72,6,21,45,91,5130,91,52,10,26,Right,14,13680000,45,10,6,89,45,74,11,45,11904,rog87r45msa9qc1rltnockjc3s\n
Bryan Bulaga,GB,RT,85,30,Iowa,96,10,10,86,88,10,15,6,33,5,15,77,10,77,10,15,75,25,82,12,314,3/21/1989,5,9,24500000,10,6,10,15,15,75,12,62,75,69,86,6,11,10,10,1,15,33,6,11,88,87,602,90,39,20,11,Right,15,9250000,87,10,6,25,70,68,30,85,27968,4bbv521vj3beh9ecj3nf4ijdo0\n
Jaire Alexander,GB,CB,83,22,Louisville,84,26,81,13,60,71,56,6,73,15,69,93,76,70,36,63,35,53,87,79,196,2/9/1997,13,1,5210000,25,6,85,80,20,23,22,93,35,84,64,6,82,26,24,1,14,58,6,13,35,57,8797,95,62,64,22,Right,13,6840000,35,85,6,54,35,94,74,35,12724,33ieoof3kqrjd7cihh1s37ok54\n
Jimmy Graham,GB,TE,83,32,Miami,85,32,10,47,73,80,82,10,22,72,89,87,72,79,25,87,57,30,93,15,265,11/24/1986,68,9,18250000,72,30,76,20,75,80,30,82,48,92,72,20,17,80,30,1,78,25,25,12,61,62,1286,89,74,64,22,Right,23,12010000,62,25,20,40,56,84,62,55,20430,bod9ntlhj282grdc12kkj2fh14\n
Za'Darius Smith,GB,LOLB,83,26,Kentucky,89,19,10,12,83,19,15,6,86,8,46,85,15,76,67,15,45,82,88,57,275,9/8/1992,5,4,46000000,29,6,20,88,15,55,12,81,45,78,87,6,46,35,86,1,15,83,6,21,45,72,7335,84,45,10,15,Right,14,20000000,45,20,6,65,45,71,15,45,10951,m09urejfc1r3nu72qp5mbh2g6p6lr23h9ltp6qa9t0vu6675dkc0\n
