Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
DeAndre Hopkins,HOU,WR,99,27,Clemson,99,35,72,29,78,94,99,15,30,95,99,93,83,73,32,99,53,42,96,35,215,6/6/1992,91,6,81420000,55,15,91,28,96,10,22,92,37,99,90,15,32,79,30,1,99,35,10,20,27,49,5873,98,75,86,20,Right,23,7500000,44,40,10,45,35,92,79,25,11932,c934k9c6rnj4b219baju4nh2d0\n
J.J. Watt,HOU,LE,97,30,Wisconsin,99,20,10,24,97,55,70,6,94,43,78,83,33,77,93,71,45,97,83,29,288,3/22/1989,37,8,87970000,60,6,35,98,54,99,12,78,45,87,98,6,23,49,94,1,62,87,6,10,45,94,4499,95,67,22,10,Right,14,16750000,45,15,6,90,45,85,32,45,14930,3g5pfg9c8ch40knv4hqs7okij0\n
Jadeveon Clowney,HOU,ROLB,92,26,South Carolina,95,35,10,28,84,55,40,6,95,5,49,90,50,77,81,44,45,86,85,59,255,2/14/1993,5,5,15970000,54,6,54,97,15,90,12,87,45,89,79,6,51,60,89,1,15,86,6,20,45,93,6380,89,59,27,21,Right,17,0,45,35,6,89,45,87,42,45,12739,g4rtqsnvkcssclhn6pvbcdsphc\n
Lamar Miller,HOU,HB,85,28,Miami,86,35,74,41,68,85,63,15,33,60,70,91,81,70,10,63,35,40,87,25,220,4/25/1991,52,7,21950000,74,35,89,12,67,26,26,92,23,85,75,15,15,73,10,1,65,20,25,15,35,39,5363,88,90,85,19,Right,16,4000000,65,20,15,35,19,92,82,31,13232,1mq557ai7r9f66ni4v3ao7en8k\n
Justin Reid,HOU,FS,84,22,Stanford,80,26,55,20,66,57,63,15,84,10,69,91,61,73,46,61,35,77,94,85,202,2/15/1997,10,1,3020000,31,15,71,81,20,20,13,92,35,87,85,15,78,47,39,1,22,76,10,13,35,66,9035,91,63,24,18,Right,16,1040000,35,71,10,61,35,91,43,35,17272,h32pa4ghc569vnvue752u6ems4\n
Johnathan Joseph,HOU,CB,83,35,South Carolina,90,27,64,16,61,60,40,6,66,20,74,88,73,71,41,60,35,56,86,82,185,4/16/1984,13,13,9800000,25,6,85,88,30,24,10,89,35,89,68,6,86,15,20,1,15,43,6,11,35,56,1742,96,60,32,10,Right,14,0,35,81,6,42,35,86,42,35,2123,sau5fmslg7gnclhmrgl6kgaj44\n
Benardrick McKinney,HOU,MLB,83,26,Mississippi St.,88,25,10,26,77,29,31,6,90,5,55,87,25,76,49,25,45,88,94,62,260,11/19/1992,5,4,47410000,50,6,30,91,15,55,12,84,45,90,92,6,51,47,60,1,12,89,6,20,45,86,7239,84,54,10,20,Right,10,6500000,45,42,6,84,45,80,25,45,12559,ufgmlh6vnc1euepr1o0cmn14uc\n
Whitney Mercilus,HOU,LOLB,83,29,Illinois,88,20,10,25,78,22,15,6,84,5,45,89,49,76,65,25,45,85,95,64,258,7/21/1990,5,7,22180000,35,6,44,85,15,59,12,81,45,83,72,6,54,45,84,1,15,85,6,15,45,85,5361,86,49,10,25,Right,17,6250000,45,30,6,78,45,80,25,45,17628,idm4bt7p8fg7l9esn2hg4j05a4\n
Will Fuller V,HOU,WR,82,25,Notre Dame,85,35,75,25,57,84,82,6,23,83,87,93,77,72,11,84,53,28,84,24,185,4/16/1994,85,3,14730000,52,15,85,21,81,15,24,95,39,86,78,10,16,48,11,1,77,15,10,22,11,45,8014,90,78,76,23,Right,23,5590000,37,16,6,21,32,87,81,15,2002,28kftj8o2iac2ea4jnnobepgvg\n
Tashaun Gipson Sr,HOU,SS,82,29,Wyoming,82,21,65,11,71,66,54,6,84,13,82,88,55,71,63,60,35,73,94,86,212,8/7/1990,10,7,11250000,52,6,59,80,15,39,10,85,35,85,81,6,76,44,48,1,25,72,6,19,35,56,6702,92,66,42,20,Right,24,11300000,35,76,6,59,35,86,57,35,2482,sdgpmf827g1cpj4eddjtrumeq8\n
