Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Andrew Luck,IND,QB,92,29,Stanford,96,89,10,10,74,85,44,91,24,45,57,86,64,76,10,53,21,21,85,21,240,9/12/1989,35,7,107130000,55,96,68,25,55,12,81,83,16,86,97,93,15,29,10,1,26,12,91,28,15,15,6295,97,59,67,25,Right,88,32530000,22,10,92,19,17,84,69,16,12843,t0q4v9s6ctgtjap6dn9j4n4n9o\n
T.Y. Hilton,IND,WR,91,29,FIU,96,22,85,23,46,94,86,6,37,91,93,91,86,70,10,87,49,20,89,22,183,11/14/1989,91,7,56540000,31,15,93,22,92,13,24,93,37,86,84,10,12,56,10,1,83,15,10,14,14,43,5235,93,70,87,15,Right,23,10130000,33,15,6,35,30,95,96,10,20336,trggjhg5ss4956kfuu9vifj1ho\n
Justin Houston,IND,RE,87,30,Georgia,90,36,10,26,85,10,15,6,86,5,46,87,25,75,76,20,45,87,88,65,258,1/21/1989,5,8,5000000,40,6,25,92,15,99,12,82,45,77,80,6,55,10,87,1,25,89,6,16,45,86,4390,91,40,10,37,Right,14,18000000,45,24,6,84,45,83,15,45,12346,h7p3aqvgrsaqsl31einhumk5l8\n
Quenton Nelson,IND,LG,87,23,Notre Dame,82,27,10,88,97,16,10,6,36,10,19,78,10,77,10,12,86,34,97,10,329,3/19/1996,10,1,8440000,33,6,12,18,10,56,12,65,88,67,91,6,9,10,10,1,12,28,6,15,86,92,9002,91,27,11,21,Right,15,15440000,84,10,6,27,85,68,11,82,2372,jnfr45vbqu6be3egqf5700intc\n
Eric Ebron,IND,TE,86,26,North Carolina,89,43,15,53,73,83,86,26,69,76,86,89,75,76,67,88,53,54,90,24,253,4/10/1993,71,5,13000000,73,31,82,29,78,85,24,87,51,85,86,31,10,77,55,1,75,12,24,19,62,68,6400,87,77,77,24,Right,25,500000,63,10,19,57,50,85,75,58,17681,vfov96bcrm1o0u251ddk3tomn4\n
Jack Doyle,IND,TE,85,29,W. Kentucky,88,22,10,53,79,74,83,6,40,75,91,82,55,78,20,84,79,45,85,14,262,5/5/1990,68,6,19300000,70,15,62,15,79,84,12,77,77,73,75,10,12,67,20,1,73,15,10,22,57,68,6746,82,70,47,21,Right,15,0,58,10,6,40,71,73,42,55,12702,6f8q677etor8sb9eq5hmhbop18\n
Anthony Castonzo,IND,LT,84,31,Boston College,90,16,10,90,88,10,30,6,35,10,35,78,10,79,30,25,88,42,87,12,311,8/9/1988,6,8,37250000,10,6,10,30,20,74,12,62,92,73,81,6,12,10,40,1,35,35,6,11,79,87,4348,86,35,10,21,Right,16,14000000,78,10,6,40,82,74,20,78,13098,4qqn34j29bu08soen9oq4fk554\n
Darius Leonard,IND,LOLB,84,24,S.C. State,86,19,10,24,74,48,46,6,89,5,61,86,46,74,70,41,45,90,93,64,221,7/27/1995,5,1,3900000,36,6,56,89,15,53,12,85,45,90,89,6,60,35,59,1,15,80,6,15,45,75,8971,91,58,36,21,Right,13,3360000,45,43,6,83,45,82,42,45,20489,jqvgmmpauq5pjfqk2230fuoom0\n
Ryan Kelly,IND,C,83,26,Alabama,86,24,9,83,86,26,19,6,31,5,29,81,16,76,13,15,81,32,90,14,309,5/30/1993,5,3,15010000,29,6,20,19,13,78,12,71,82,77,90,6,12,24,12,1,15,38,6,20,88,85,8094,87,25,7,20,Right,12,5800000,85,8,6,26,80,71,17,83,12667,6icb18hkonq1q5gbucqvco5n9c\n
Malik Hooker,IND,FS,82,23,Ohio State,87,26,48,14,76,73,59,15,70,16,75,91,60,73,38,71,18,71,85,81,212,4/2/1996,11,2,5300000,46,15,69,83,26,29,13,89,34,91,77,15,73,47,34,1,22,79,10,19,34,59,8592,92,68,48,20,Right,18,7320000,13,61,10,51,33,88,63,33,11827,01f9p8imv75uj3tdl3g9enqcq4\n
Marlon Mack,IND,HB,82,23,USF,87,31,60,48,72,85,69,17,32,62,66,93,78,72,10,67,32,28,86,12,210,3/7/1996,54,2,2420000,62,28,89,26,69,25,20,89,20,85,81,29,12,80,10,1,47,18,23,22,28,46,8647,88,87,85,25,Right,16,400000,47,15,19,26,20,92,79,23,18009,12rauu1682b3knb2rjnn12kfok\n
Jabaal Sheard,IND,LE,82,30,Pittsburgh,84,20,6,22,80,37,20,6,90,5,46,87,22,75,70,22,45,83,89,42,265,5/10/1989,5,8,25500000,27,6,36,87,10,93,12,81,45,81,97,6,38,41,83,1,12,78,6,15,45,82,4472,85,35,20,20,Right,12,0,45,20,6,88,45,74,35,45,20358,10jmc9kd6opt7amjlr6ffn1dgc\n
Braden Smith,IND,RT,81,23,Auburn,85,22,15,80,93,17,10,6,27,5,19,80,10,78,10,12,81,55,91,17,315,3/25/1996,5,1,3880000,29,6,10,22,10,72,12,66,83,81,93,6,10,15,20,1,15,62,6,14,84,81,9060,90,29,8,14,Left,15,3280000,82,10,6,20,77,62,10,80,13105,6bt0rp2p93p5oivsrvrklvpmu4\n
Pierre Desir,IND,CB,80,28,Lindenwood,79,35,56,11,60,74,67,6,76,15,76,93,65,73,42,75,35,71,91,81,198,9/8/1990,10,5,14000000,33,6,66,84,25,35,16,88,35,90,69,6,76,35,32,1,30,52,6,20,35,51,6966,87,64,56,20,Right,17,8500000,35,79,6,54,35,89,66,35,13468,rc6od1nlodgdv0fck18bthfh216lr23h9ltp6qa9t0vu6675dkc0\n
Devin Funchess,IND,WR,80,25,Michigan,86,35,25,35,74,78,85,6,35,83,86,90,75,76,10,88,49,35,88,25,225,5/21/1994,79,4,3000000,72,15,82,25,82,17,22,88,35,91,85,10,15,67,10,1,87,15,10,15,35,55,7122,89,78,78,18,Right,24,7000000,50,15,6,48,29,84,71,36,12627,0r28bfk5ql53t7atdquhubc8po\n
Kenny Moore II,IND,CB,79,24,Valdosta St.,82,17,72,18,60,48,53,6,75,28,60,91,71,69,56,63,25,59,88,82,190,8/23/1995,21,2,1680000,53,6,75,87,38,23,11,89,35,94,77,6,78,48,43,1,40,56,6,24,35,61,9244,89,53,51,21,Right,10,0,25,73,6,58,35,90,61,35,12445,ag1hdd8tdn6sb6g3ntta8rbqv8\n
Clayton Geathers,IND,SS,78,27,UCF,79,30,40,17,74,53,45,15,85,10,53,90,60,74,60,60,35,78,89,65,220,12/27/1991,10,4,1750000,52,15,54,82,20,26,15,87,35,87,86,15,68,53,44,1,15,88,10,19,35,62,7130,85,64,26,25,Right,10,1250000,35,62,10,64,35,79,41,35,13135,gp3npe5fjekro924qld6nh44b8\n
Adam Vinatieri,IND,K,78,46,S. Dakota St.,66,29,10,13,40,10,15,20,19,15,50,58,10,72,10,15,18,32,90,16,212,12/28/1972,15,23,1880000,10,35,10,27,15,4,15,56,18,29,60,20,14,10,10,1,15,12,30,85,18,18,3052,97,40,15,93,Right,31,2000000,22,10,25,32,18,57,25,16,17854,kru71le2u9vdsd66me1f3caumk\n
Nyheim Hines,IND,HB,77,22,N.C. State,72,25,79,26,62,78,74,15,33,63,72,93,86,69,10,69,26,27,88,18,198,11/12/1996,59,1,2460000,45,20,89,16,68,21,20,93,20,85,79,16,11,75,5,1,53,15,15,13,28,27,8925,88,83,69,19,Right,16,720000,63,10,10,20,17,90,82,31,20395,18d5btoe9prkdl45ro0i07v63o\n
Spencer Ware,IND,HB,77,27,LSU,85,40,55,61,73,84,68,33,35,55,70,90,81,70,30,60,61,35,86,25,229,11/23/1991,47,6,1090000,88,40,84,35,62,40,19,87,46,86,84,32,18,84,26,1,59,45,35,31,35,59,6141,89,88,79,32,Right,15,150000,64,15,30,35,42,86,77,31,20348,g3spjj1kf3oqrvetasdh0fg6oo\n
Denico Autry,IND,DT,76,29,Mississippi St.,88,14,10,18,82,19,15,6,82,8,35,82,10,77,63,15,45,84,88,29,273,7/15/1990,4,5,17800000,25,6,10,83,15,96,12,71,45,75,80,6,24,35,78,1,15,73,6,11,45,78,7005,74,45,10,17,Right,16,0,45,10,6,70,45,70,11,45,12711,eg7l7m94fea8g4s7b65pb50qt4\n
Margus Hunt,IND,DT,75,32,SMU,74,63,10,14,86,46,46,6,84,8,60,87,45,80,62,45,45,73,85,29,295,7/14/1987,4,6,4570000,75,45,49,77,15,92,31,84,45,84,88,34,25,65,80,1,15,77,40,19,45,80,5880,79,50,20,22,Right,26,4500000,45,35,35,78,45,77,30,45,13435,2gf5ct5s1m4aa940plsks0inak\n
Kemoko Turay,IND,RE,75,24,Rutgers,73,20,10,22,69,48,42,6,82,15,51,88,47,77,78,39,45,77,85,53,253,7/11/1995,10,1,3340000,32,6,53,70,20,57,12,84,45,87,77,6,48,38,63,1,12,79,6,12,45,82,9089,86,48,31,12,Right,16,1880000,45,35,6,65,45,83,41,45,13224,caj1l1n6ftan7neuohha6rse48\n
Matthias Farley,IND,SS,74,27,Notre Dame,75,26,63,10,72,61,51,6,88,10,64,87,60,71,56,60,35,71,90,68,210,7/15/1992,10,3,3100000,55,6,62,76,15,41,18,89,35,82,85,6,73,57,52,1,15,72,6,19,35,55,8320,88,58,29,23,Right,13,0,35,64,6,62,35,83,44,35,1796,qj79a1t0bf3qnsb31ob19mbrhg\n
