Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Jalen Ramsey,JAX,CB,96,24,Florida State,97,27,80,18,69,72,55,16,76,24,72,93,69,73,41,64,21,72,86,96,208,10/24/1994,12,3,21860000,42,33,78,92,36,20,34,92,33,94,86,24,97,45,35,1,27,81,26,17,33,58,8185,91,71,68,18,Right,17,15200000,10,98,21,50,34,90,78,34,12576,cp87moa7ouc6o6k7vhtn98htkk\n
Calais Campbell,JAX,LE,92,33,Miami,96,35,10,19,92,20,10,6,89,3,41,83,15,80,89,15,45,92,97,27,300,9/1/1986,2,11,51000000,41,6,15,93,10,93,12,73,45,85,80,6,20,45,84,1,12,85,6,30,45,89,655,92,46,16,30,Right,14,9000000,45,35,6,93,45,80,26,45,20369,d7p96588iguqhorefj83q4hn84\n
A.J. Bouye,JAX,CB,88,28,UCF,91,27,65,14,66,74,54,6,78,10,71,94,74,72,40,62,35,58,83,89,191,8/16/1991,10,6,57500000,35,6,77,90,20,21,17,89,35,91,72,6,86,39,37,1,25,48,6,11,35,54,6917,91,65,57,10,Right,10,10000000,35,92,6,58,35,91,67,35,17598,fjtqq6m3beeiarqhviv6574ubg\n
Telvin Smith,JAX,ROLB,88,28,Florida State,91,25,15,27,64,58,60,6,94,12,73,89,52,75,58,62,45,88,90,78,215,4/11/1991,7,5,33690000,56,6,62,86,22,50,12,87,45,78,74,6,73,45,49,1,12,86,6,20,45,87,6591,87,64,31,20,Right,15,12100000,45,57,6,87,45,88,46,45,12426,hs5d7hov08jn4egl8821o7q49o\n
Brandon Linder,JAX,C,86,27,Miami,86,20,10,86,89,24,10,6,30,5,35,78,16,78,10,12,88,33,92,12,315,1/25/1992,5,5,53500000,27,6,28,10,10,65,12,61,89,66,88,6,12,33,10,1,12,12,6,12,90,86,6970,79,35,8,12,Right,10,130000,87,10,6,33,84,60,18,85,17774,o05arhqlst71j2i66jt1agck5o\n
Andrew Norwell,JAX,LG,85,27,Ohio State,92,22,10,62,87,10,15,6,58,5,40,74,10,78,35,15,81,45,91,25,325,10/25/1991,5,5,51500000,21,6,10,40,15,68,12,62,83,72,85,6,15,10,45,1,15,55,6,22,88,85,7256,82,40,6,18,Right,15,15000000,86,10,6,54,80,49,11,85,2452,adkqm75e7fb81uuokb5tv9fjpc\n
Yannick Ngakoue,JAX,RE,84,24,Maryland,86,22,9,19,80,29,17,6,83,6,41,88,25,74,89,19,44,81,89,49,246,3/31/1995,3,3,3840000,26,6,27,82,13,91,12,83,44,82,86,6,46,32,78,1,17,81,6,19,45,79,8162,83,44,20,21,Right,18,850000,44,23,6,59,45,84,30,44,20435,gasl2i25ja52j34rp9v09hiqf0\n
Myles Jack,JAX,MLB,83,23,UCLA,86,22,65,25,74,75,59,18,83,54,68,90,62,73,62,57,45,83,86,82,244,9/3/1995,48,3,3530000,74,26,73,83,64,44,46,87,44,91,86,27,74,79,51,1,50,83,22,19,43,85,8066,96,76,54,21,Right,38,2810000,45,53,20,71,44,88,69,44,2608,ofand4n588uc458gmaui01kuek\n
Leonard Fournette,JAX,HB,81,24,LSU,82,46,25,45,84,79,56,24,39,48,69,90,82,72,35,54,53,41,82,20,228,1/18/1995,40,2,9270000,90,35,85,25,55,27,19,92,43,71,78,31,11,84,35,1,51,50,29,20,38,43,8556,89,92,82,18,Right,15,17880000,49,15,25,40,38,84,75,32,17561,3nmt5gha1e9hdjcesv81epl94c\n
Marcell Dareus,JAX,DT,80,29,Alabama,79,25,10,39,94,39,15,6,83,7,35,83,10,75,52,15,45,89,89,34,331,3/13/1990,3,8,22340000,40,6,10,83,15,99,12,72,45,69,92,6,25,55,74,1,15,87,6,20,45,89,4939,76,40,10,20,Right,16,5750000,45,15,6,72,45,67,12,45,17713,ia2rtbvk9626mgb6jakcohgs8k\n
