Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Patrick Mahomes,KC,QB,97,23,Texas Tech,92,96,10,10,69,79,32,87,37,17,37,87,69,75,10,30,10,26,94,19,230,9/17/1995,15,2,6340000,48,94,72,22,27,15,88,81,10,74,84,97,17,53,10,1,22,18,93,10,10,10,8648,96,59,76,20,Right,97,10080000,10,10,94,24,10,88,80,10,17818,shi2skj69c8mjij4lkrcj1lc10\n
Travis Kelce,KC,TE,96,29,Cincinnati,99,64,6,59,79,90,92,29,42,86,93,88,70,77,20,92,65,45,88,14,260,10/5/1989,78,6,36050000,78,60,83,15,88,87,42,85,63,91,89,47,12,82,20,1,85,15,55,32,63,74,5920,91,68,76,35,Right,33,11100000,64,10,49,40,64,87,71,62,17871,51unr68st9137u1e5iku1kbh8c\n
Tyreek Hill,KC,WR,94,25,West Alabama,85,36,95,20,64,95,90,12,33,88,90,99,85,70,10,88,59,27,88,20,185,3/1/1994,96,3,3830000,38,27,97,26,90,10,28,99,17,93,66,18,10,43,10,1,91,25,22,15,19,40,8052,88,80,85,13,Left,20,110000,33,30,17,21,12,98,98,19,17753,8vrpl4niaeb6j6oe3k2rpq0tbk\n
Mitchell Schwartz,KC,RT,93,30,California,94,11,10,81,88,10,15,6,30,5,27,75,10,77,10,15,82,35,98,13,320,6/8/1989,5,7,25560000,21,6,10,28,15,71,12,59,77,73,91,6,12,10,10,1,15,20,6,12,96,85,5467,88,40,5,15,Right,16,7440000,95,10,6,25,84,63,10,94,10865,c2h9o5muobkt3dscgqlvjtrmk0\n
Chris Jones,KC,DT,89,25,Mississippi St.,95,23,9,19,91,27,14,6,89,6,29,85,21,78,83,16,44,86,90,29,310,7/3/1994,3,3,3280000,33,6,31,92,13,95,12,71,46,72,86,6,23,29,92,1,15,81,6,17,44,89,8082,81,29,10,17,Right,16,2950000,44,13,6,83,45,74,18,45,17857,s359mic463rgrncro07cqisms4\n
Kendall Fuller,KC,CB,87,24,Virginia Tech,86,27,60,10,67,70,58,6,80,16,68,92,63,71,37,61,17,69,84,86,198,2/13/1995,11,3,2700000,28,6,78,91,26,23,17,90,33,87,80,6,90,29,30,1,27,58,6,17,33,50,8013,88,63,57,18,Right,12,0,10,80,6,61,34,90,67,34,17933,98o41hauoukkohd6ri6o1eir50\n
Tyrann Mathieu,KC,SS,87,27,LSU,86,35,84,15,61,88,55,19,82,25,81,92,85,69,69,66,35,74,84,83,185,5/13/1992,20,6,15800000,35,26,90,83,35,32,33,90,35,86,85,27,85,55,41,1,25,84,20,22,35,60,5964,92,68,77,25,Right,25,26190000,35,87,17,59,35,92,86,35,12655,lhivjjk6fb7ophv64u6vr4hmkc\n
Frank Clark,KC,RE,83,26,Michigan,90,27,10,19,88,32,21,6,84,8,37,90,20,75,81,30,45,70,86,47,265,6/14/1993,4,4,60500000,35,6,26,85,15,55,12,84,45,87,72,6,34,32,88,1,25,82,6,19,45,89,7046,75,55,16,22,Right,16,43800000,45,10,6,63,45,80,22,45,13251,doil4vd3fa6m9mi430t0voaens\n
Sammy Watkins,KC,WR,82,26,Clemson,88,40,81,20,67,92,83,10,35,85,87,91,88,73,20,87,47,25,82,24,211,6/14/1993,83,5,26490000,59,20,91,15,83,14,22,91,37,87,86,10,15,73,15,1,82,15,20,24,18,40,6630,95,74,84,24,Right,24,21510000,33,15,15,40,31,88,87,17,2618,e81rh7b90vjvavoukfgfg7i8is\n
Dustin Colquitt,KC,P,81,37,Tennessee,70,40,10,16,40,10,15,20,32,15,23,79,10,75,10,15,16,29,95,17,210,5/6/1982,15,14,5420000,10,30,10,24,15,2,15,68,16,25,75,20,10,10,10,1,15,12,30,92,17,16,790,90,40,5,89,Left,23,2090000,17,10,25,29,16,55,15,17,12810,ipat2p5qhji1ng2afmtirgvbeg\n
