Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Antonio Brown,LV,WR,98,31,Central Michigan,99,64,91,33,55,97,98,20,24,94,99,93,88,70,10,98,54,25,95,19,181,7/10/1988,93,9,20500000,51,62,93,29,95,84,44,92,36,89,84,68,16,81,10,1,93,15,20,18,12,56,535,97,79,87,30,Left,39,29620000,34,15,15,40,33,98,97,12,12696,bp8d5chsqi89ben0a7c81v5n5g\n
Rodney Hudson,LV,C,93,30,Florida State,87,12,10,92,90,10,15,6,35,5,34,79,10,74,30,15,84,45,92,14,300,7/12/1989,5,8,9170000,20,6,10,15,15,61,12,61,86,65,97,6,12,10,30,1,15,20,6,15,96,91,4391,85,40,25,11,Right,16,7890000,94,10,6,41,81,60,35,92,12646,0b713ngs2qk9d0pd3k95u88dv0\n
Lamarcus Joyner,LV,FS,85,28,Florida State,84,29,72,16,56,80,60,6,83,10,71,92,75,68,57,64,35,74,93,89,191,11/27/1990,10,5,25950000,40,6,82,88,20,29,14,88,35,89,75,6,81,52,41,1,15,82,6,14,35,61,6478,91,64,61,15,Right,25,16500000,35,83,6,58,35,86,74,35,20354,jd4vt8sib70fb527fjgsi8b90c\n
Tyrell Williams,LV,WR,83,27,Western Oregon,86,34,54,33,70,84,92,18,42,84,84,93,75,76,10,88,49,42,85,35,205,2/12/1992,84,4,34800000,56,26,84,25,81,16,22,92,39,93,77,29,20,63,10,1,79,15,21,21,25,59,7852,89,72,77,24,Right,20,9600000,45,25,27,40,32,95,72,25,20498,st3cjto2eqjjcgq7jfcjrpu6is\n
Derek Carr,LV,QB,80,28,Fresno State,82,91,10,10,56,66,15,86,34,14,33,87,60,75,10,15,12,18,92,15,215,3/28/1991,12,5,113160000,35,88,65,17,15,4,41,82,12,86,90,83,12,39,10,1,15,12,84,21,15,12,6374,91,60,63,22,Right,84,14480000,15,10,86,18,12,81,63,15,20466,fin4pcuqot5rdmldvq52f45r34\n
Gareon Conley,LV,CB,79,24,Ohio State,81,27,45,12,73,64,52,6,72,16,67,91,68,72,35,62,35,59,86,75,195,6/29/1995,11,2,13170000,28,6,76,82,26,21,13,91,35,88,80,6,78,48,27,1,31,52,6,14,35,52,8514,91,61,53,15,Right,13,5760000,35,82,6,49,35,90,63,35,12623,hojon51i3q32p446cfc4uuon7c\n
Isaiah Crowell,LV,HB,79,26,Alabama St.,84,32,70,42,75,84,62,15,44,51,64,91,78,71,10,53,45,40,88,13,225,1/8/1993,43,5,950000,83,35,90,21,58,22,19,88,35,88,75,15,15,75,10,1,59,12,30,22,26,40,6389,85,88,79,20,Left,16,300000,48,10,20,39,35,87,78,22,12812,s1heaia8msc9d9kh84fokomndk\n
Trent Brown,LV,RT,78,26,Florida,88,25,10,79,92,15,12,6,12,5,35,75,10,80,10,12,76,40,85,15,380,4/13/1993,5,4,30250000,35,6,10,15,12,77,12,63,79,75,76,6,12,25,10,1,12,20,6,20,82,81,7422,80,32,5,20,Right,15,35500000,81,10,6,31,74,58,10,79,20397,q6rhgk7t27gl1shk16847upp8g\n
Maurice Hurst,LV,DT,78,24,Michigan,72,12,17,30,94,22,26,6,80,15,28,83,18,74,82,23,45,83,83,29,291,5/9/1995,13,1,2460000,35,6,27,74,18,73,12,73,45,76,90,6,25,34,67,1,23,82,6,12,45,86,8931,86,31,23,14,Right,10,320000,45,23,6,80,45,67,18,45,20261,vu9uh5mj84o4m3jt15v823sjkg\n
Karl Joseph,LV,SS,78,25,West Virginia,75,27,60,23,76,54,48,15,81,10,73,90,57,70,58,60,16,74,84,73,205,9/8/1993,10,3,5040000,31,15,61,79,20,42,15,87,33,88,86,15,68,47,52,1,23,92,10,18,34,68,8087,87,79,40,21,Right,18,6810000,25,69,10,63,33,87,55,33,2872,8c2savob264mf6qko81raduhbg\n
Doug Martin,LV,HB,78,30,Boise State,90,39,65,54,79,86,59,10,62,53,62,87,74,69,30,58,45,54,86,45,223,1/13/1989,45,7,740000,86,35,83,32,60,22,18,87,26,86,91,10,35,82,25,1,58,70,30,33,42,52,5334,93,88,79,35,Right,17,0,68,20,15,49,20,88,74,35,2148,gls3rnv2ahol05gdt1pc3rfhi0\n
Ryan Grant,LV,WR,77,28,Tulane,81,35,39,26,54,81,80,6,35,84,84,91,73,72,10,84,64,32,87,26,204,12/19/1990,80,5,1150000,38,15,78,26,83,19,22,88,34,86,69,10,15,56,10,1,73,12,10,22,20,46,6434,91,76,74,20,Right,23,100000,40,10,6,44,29,92,72,19,13362,vbu81alfsl159tfaj11750ctds\n
