Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Philip Rivers,LAC,QB,94,37,N.C. State,98,87,10,10,62,45,10,98,34,10,22,70,41,77,10,12,13,22,98,31,228,12/8/1981,10,15,67500000,20,98,49,26,10,17,44,65,13,45,99,82,13,31,10,1,12,12,94,12,12,13,6298,95,63,31,15,Right,96,33170000,12,10,93,22,13,59,29,12,2616,ic3bls5g3a3li5i2o2epqa2fmk\n
Melvin Gordon III,LAC,HB,92,26,Wisconsin,95,35,69,36,74,91,64,10,49,57,69,90,83,73,16,61,38,42,89,20,215,4/13/1993,49,4,7500000,78,10,96,20,64,25,20,92,27,85,78,5,10,91,12,1,55,40,10,21,35,34,7140,89,93,90,22,Left,20,1500000,59,15,10,40,28,92,88,31,17638,mmbrekms50ph69gr22766as18c\n
Keenan Allen,LAC,WR,89,27,California,93,35,75,45,69,95,95,15,35,89,95,91,81,74,10,90,59,34,83,26,211,4/27/1992,85,6,40160000,71,31,88,26,91,13,22,87,25,91,83,25,15,74,10,1,95,15,25,20,39,65,5654,94,79,81,22,Right,20,10670000,45,10,15,35,19,92,77,34,2607,3ufpu0u5atac1d16mr763j69hg\n
Casey Hayward Jr,LAC,CB,89,29,Vanderbilt,90,30,35,13,69,73,59,6,70,12,78,91,66,71,44,65,35,61,87,90,192,9/9/1989,10,8,30500000,25,6,73,89,15,26,17,89,35,86,64,6,92,41,37,1,12,51,6,24,35,53,5224,95,55,60,22,Right,18,8830000,35,90,6,55,35,92,67,35,12673,18l8q88d781mnuf1tnk1qmcidk\n
Joey Bosa,LAC,LE,88,24,Ohio State,93,28,9,20,87,39,26,6,83,6,47,87,28,77,97,29,45,79,89,35,280,7/11/1995,3,3,23220000,36,6,33,91,13,97,12,80,44,78,85,6,24,43,89,1,17,81,6,19,45,90,7902,84,43,22,26,Right,14,17000000,45,22,6,71,45,87,32,44,2886,7nk2n304gl3s619g2hvgcvqcic\n
Melvin Ingram III,LAC,RE,88,30,South Carolina,91,31,10,17,83,51,45,6,87,3,64,87,39,74,94,35,45,83,88,49,247,4/26/1989,2,7,53500000,55,6,46,89,10,54,12,81,45,85,84,6,47,29,81,1,12,82,6,17,45,87,5255,87,59,33,15,Right,17,10520000,45,10,6,80,45,85,43,45,10841,25rsg8c25f4rc91hncjtjf2lhg\n
Hunter Henry,LAC,TE,86,24,Arkansas,85,28,18,58,75,78,83,6,43,76,86,89,54,77,17,86,77,42,89,21,250,12/7/1994,71,3,3240000,77,15,69,22,80,86,15,84,76,82,93,10,14,66,17,1,71,27,10,19,59,73,8046,91,75,55,21,Right,10,3140000,60,17,6,46,72,80,54,58,17656,v1k8k656akngk5rnd1d8bs8ugh6lr23h9ltp6qa9t0vu6675dkc0\n
Desmond King II,LAC,CB,86,24,Iowa,89,21,86,13,72,77,75,6,83,12,76,90,67,70,33,76,35,58,94,92,200,12/14/1994,10,2,2420000,28,6,83,94,22,20,10,88,35,83,81,6,88,44,24,1,18,67,6,21,35,53,8620,97,74,60,29,Right,12,280000,35,81,6,60,35,94,70,35,17659,8d9t6fovds57dl1fp8uqbujl356lr23h9ltp6qa9t0vu6675dkc0\n
Derwin James,LAC,SS,86,23,Florida State,83,34,78,20,77,73,56,15,83,22,70,92,67,74,60,61,35,77,89,81,215,8/3/1996,17,1,5300000,46,18,77,85,27,33,24,90,35,93,87,22,83,47,66,1,24,91,13,15,35,73,8943,94,72,59,19,Left,10,7090000,35,82,10,65,35,89,66,35,12952,emd6ka8a67dpjauqkr47ost08k\n
Austin Ekeler,LAC,HB,82,24,Western State Colorado,84,28,68,49,64,80,68,15,40,68,73,92,83,70,10,71,38,32,88,20,200,5/17/1995,55,2,1680000,69,27,87,12,70,30,26,92,32,82,75,18,15,66,10,1,54,20,20,15,26,47,9179,90,83,84,22,Right,17,0,59,20,16,11,30,92,84,22,10739,4gl3pl9k9o2shu3hflvh6d09q4\n
Mike Pouncey,LAC,C,82,30,Florida,86,12,10,90,88,15,15,6,29,5,35,78,10,77,10,15,85,40,83,12,298,7/24/1989,5,8,12500000,35,6,10,10,15,53,12,66,80,59,82,6,12,20,10,1,15,20,6,10,77,93,4449,82,32,15,15,Right,15,2500000,79,10,6,24,86,69,25,81,20693,62bk278ftomosb2rb6ebte07rk\n
Mike Williams,LAC,WR,81,24,Clemson,84,26,20,38,75,87,88,6,34,83,88,87,79,76,10,93,48,37,84,14,220,10/4/1994,79,2,7250000,73,15,80,28,82,81,25,89,37,83,83,10,18,82,10,1,84,26,10,26,30,58,8780,96,76,83,24,Right,20,12520000,54,12,6,38,31,84,78,30,2627,jholcngtm8v721ss574nv01luk\n
Travis Benjamin,LAC,WR,79,29,Miami,80,30,92,23,38,89,82,10,19,82,81,91,83,70,20,84,50,20,81,20,175,12/29/1989,84,7,5500000,37,10,94,15,78,12,27,92,32,90,62,10,15,39,15,1,74,12,10,15,13,43,5044,92,74,75,20,Right,20,4250000,26,13,10,35,29,94,88,15,12938,fofpjipg20u09a8kr6dhp75b40\n
Thomas Davis Sr,LAC,ROLB,79,36,Georgia,88,17,10,27,72,35,30,6,86,8,72,83,48,73,55,64,45,88,82,69,235,3/22/1983,5,14,5750000,45,6,62,85,15,58,12,82,45,84,99,6,62,49,64,1,25,91,6,20,45,90,913,94,65,32,21,Right,13,4750000,45,55,6,71,45,85,41,45,13336,1cg9r11f8fnf895u9b0vc5c000\n
Uchenna Nwosu,LAC,LOLB,78,22,USC,76,18,10,20,72,41,46,6,81,5,61,88,42,74,83,43,45,81,92,57,251,12/28/1996,5,1,3490000,33,6,52,73,15,42,15,84,45,78,82,6,47,33,69,1,35,83,6,13,45,72,9008,88,47,30,17,Right,13,2270000,45,37,6,75,45,83,43,45,17726,2u24kit1p6eso9i15o3u93vgr8\n
Trevor Williams,LAC,CB,78,25,Penn State,84,22,68,15,62,73,62,6,81,45,67,90,74,71,42,67,28,59,89,77,191,9/15/1993,38,3,2030000,35,6,78,82,55,24,16,91,35,87,74,6,79,40,33,1,51,52,6,22,35,45,8458,90,53,66,18,Right,17,0,20,73,6,57,35,89,76,35,13483,t56ff2mb1uive9g3bcc0elcaug\n
Adrian Phillips,LAC,SS,77,27,Texas,82,20,50,15,63,49,42,15,70,13,56,90,55,71,50,60,35,71,92,78,210,3/28/1992,10,5,750000,25,15,65,80,15,31,10,87,35,85,75,15,73,35,45,1,12,70,10,15,35,60,7783,87,62,40,25,Right,17,1250000,35,76,10,48,35,85,55,35,12964,j44dalnq24eqq8u3jr3apqqcg4\n
Virgil Green,LAC,TE,76,31,Nevada,71,24,7,55,72,75,78,6,48,65,76,88,76,77,10,75,67,40,88,16,255,8/3/1988,60,8,6200000,66,15,78,13,70,88,16,84,60,87,65,10,11,64,10,1,61,25,10,12,61,71,4374,84,72,76,19,Right,15,2400000,69,25,6,48,67,82,74,69,2774,odbvrn1bo63r8p17lar56a5ha8\n
Russell Okung,LAC,LT,76,30,Oklahoma St.,84,26,14,82,88,10,15,6,25,5,20,77,10,77,10,15,78,28,80,12,310,10/7/1988,5,9,43000000,10,6,10,10,15,76,12,62,73,73,88,6,12,10,10,1,15,20,6,12,77,81,2294,88,40,15,23,Right,11,10000000,81,10,6,24,79,61,25,81,2547,u0adidh56o033bsfjl4g61lc9c\n
Jatavis Brown,LAC,LOLB,75,25,Akron,79,25,10,26,84,35,33,6,80,6,59,89,32,71,59,45,29,82,88,67,221,2/18/1994,5,3,3660000,30,6,38,81,15,57,12,88,44,86,86,6,59,39,49,1,18,84,6,19,44,86,7917,88,44,18,19,Right,13,200000,21,50,6,62,44,84,33,43,17836,i4qeoggg0qtltgrtupgrajoc7o\n
Denzel Perryman,LAC,MLB,74,26,Miami,78,25,10,22,85,35,15,6,80,5,52,88,25,71,51,15,45,82,83,69,240,12/5/1992,5,4,6400000,45,6,30,81,15,52,12,82,45,83,88,6,57,52,58,1,12,89,6,20,45,82,7276,84,65,10,20,Right,17,5660000,45,48,6,67,45,79,20,45,20703,q61evn120n6vg6dqc4o4ral7a4\n
Jerry Tillery,LAC,DT,74,22,Notre Dame,73,19,10,45,87,24,21,6,82,3,30,84,15,78,68,18,51,80,85,28,295,10/8/1996,2,0,4840000,20,6,25,68,10,99,12,75,51,78,81,6,22,32,78,1,12,83,6,24,50,86,9657,82,35,19,27,Right,10,6320000,52,10,6,76,47,75,15,53,2375,t79et43hefu9v163odjt59334g\n
Justin Jackson,LAC,HB,73,23,Northwestern,73,30,60,26,62,79,54,15,39,56,64,90,78,72,10,51,29,41,91,17,199,4/22/1996,51,1,2460000,75,29,86,15,61,22,20,89,23,91,88,29,11,73,10,1,56,23,23,14,27,29,8939,86,82,72,19,Right,19,0,48,17,19,26,27,90,79,24,20457,p6vm4ql80vrn3l04esvqhn7sqs\n
Forrest Lamp,LAC,RG,73,25,W. Kentucky,60,30,10,87,91,40,37,6,41,24,53,84,16,76,10,41,77,30,92,15,310,2/20/1994,16,2,3400000,33,6,26,15,34,77,12,72,78,69,92,6,12,30,10,1,28,38,6,25,74,86,8627,86,50,18,25,Right,10,3300000,74,10,6,33,72,70,28,73,2134,lv4b6g5idbese50hq5p0n1dh0k\n
Brandon Mebane,LAC,DT,73,34,California,86,25,10,37,91,10,10,6,77,3,30,79,10,73,48,12,45,86,87,15,311,1/15/1985,2,12,5300000,10,6,10,89,10,92,12,61,45,55,90,6,12,10,67,1,20,71,6,20,45,87,2097,80,40,17,24,Right,18,5250000,45,10,6,62,45,57,22,45,12448,9uf0mamfvpf2ehmosdkh979u4s\n
Michael Davis,LAC,CB,72,24,BYU,73,26,45,18,63,63,60,6,67,12,62,89,69,74,51,62,25,60,88,70,196,1/6/1995,10,2,1680000,40,6,73,70,22,43,11,92,35,73,86,6,74,44,45,1,16,64,6,10,35,48,9172,87,58,61,10,Right,17,0,25,77,6,51,35,85,71,35,12379,9t2s7ppft4a894k6a06n47jsmc\n
Jaylen Watkins,LAC,SS,72,27,Florida,70,30,50,10,76,69,50,6,79,10,60,92,69,71,53,64,35,64,88,70,194,11/27/1991,10,5,620000,39,6,74,73,20,27,29,90,35,80,77,6,72,30,47,1,35,66,6,31,35,55,6629,92,65,59,32,Right,10,90000,35,77,6,58,35,81,74,35,2521,1etdvrnmfi6evdk9pfgclp8k3o\n
Nasir Adderley,LAC,FS,71,22,Delaware,68,27,75,10,65,65,55,6,70,19,72,90,62,72,30,67,30,72,86,74,206,5/31/1997,14,0,3270000,53,6,71,62,27,32,20,88,33,90,83,6,66,34,24,1,21,73,6,17,33,58,9360,88,63,47,18,Right,10,1440000,30,70,6,52,34,88,60,34,13858,idnpos1i8jskl2mdlsk5ao776g\n
Michael Badgley,LAC,K,71,24,Miami,53,25,10,12,36,10,10,20,31,10,35,83,10,70,10,12,12,29,89,12,183,7/28/1995,10,1,1710000,10,35,10,10,10,4,15,74,12,65,60,20,12,10,10,1,12,12,30,78,17,12,8810,84,33,5,96,Right,14,0,17,10,25,13,12,60,15,17,20531,1jhet4aob4plpvmpei85306ff8\n
Tyrod Taylor,LAC,QB,71,30,Virginia Tech,72,87,15,25,58,91,56,77,35,25,65,90,78,73,10,54,20,37,89,25,217,8/3/1989,15,8,5500000,42,83,83,20,35,5,82,88,15,87,84,83,18,61,10,1,33,12,77,17,18,35,4490,94,66,76,19,Right,78,5500000,23,15,79,25,15,92,78,20,12601,36u8li86dcfvcrath6n9s20478\n
Vince Mayle,LAC,TE,70,28,Wash. St.,57,35,60,40,69,73,80,15,35,58,78,85,79,74,10,77,62,35,91,25,247,6/12/1991,54,4,650000,72,25,74,25,60,83,18,83,61,85,69,20,18,72,10,1,79,15,25,25,50,55,7230,87,72,60,33,Right,10,0,50,35,15,40,59,86,62,46,13168,bru59dmjleqbkelt5i8n7bj7u4\n
Derek Watt,LAC,FB,70,26,Wisconsin,77,27,32,72,74,74,56,10,48,51,69,86,62,74,35,51,60,42,90,20,234,11/7/1992,43,3,2340000,77,20,70,20,61,34,12,81,50,83,93,10,15,74,30,1,50,45,15,19,46,60,8255,87,77,41,19,Right,15,120000,65,20,10,33,45,75,56,41,2174,n9gbkpvjv82bb2ehbihuabfk3s\n
Dylan Cantrell,LAC,WR,69,25,Texas Tech,51,19,35,40,65,71,80,6,24,71,82,91,60,75,10,88,49,40,86,19,226,6/29/1994,73,1,1050000,70,15,70,18,77,84,19,86,33,94,87,12,17,66,10,1,68,15,10,15,29,55,8835,92,76,75,19,Right,16,0,35,15,6,21,31,93,62,27,10869,2m3cjgd1ssg7kkb3d39tjdfr1l6lr23h9ltp6qa9t0vu6675dkc0\n
Drue Tranquill,LAC,MLB,69,24,Notre Dame,70,22,10,21,77,55,33,6,80,24,55,89,44,74,60,35,45,79,81,69,234,8/15/1995,14,0,2540000,25,6,56,65,31,49,12,87,45,89,93,6,62,42,53,1,12,81,6,20,45,77,9659,85,63,47,16,Right,15,640000,45,56,6,71,45,85,56,45,13021,bvv4jejg9r20uq82gqd1tnh3e0\n
Kyzir White,LAC,ROLB,69,23,West Virginia,64,23,35,18,67,54,55,5,78,26,65,91,53,74,59,58,45,80,88,72,218,3/24/1996,20,1,2460000,34,5,63,62,34,44,17,83,45,85,83,5,67,40,50,1,27,87,5,17,45,70,9112,88,60,48,18,Right,17,640000,45,55,5,61,45,84,59,45,17897,5b4q6kq80pb34rkmpkglrvoehs\n
Michael Schofield III,LAC,RG,68,28,Michigan,74,17,10,74,85,15,25,6,31,20,45,82,10,78,10,25,73,35,94,12,301,11/15/1990,12,4,3500000,15,6,10,10,30,75,12,71,70,66,61,6,12,10,10,1,32,15,6,21,73,76,6579,85,29,5,20,Right,10,1500000,73,10,6,25,75,63,10,71,12428,v7qqm5sa4l5rsjvntl3nb768e0\n
Sean Culkin,LAC,TE,67,26,Missouri,57,25,11,58,75,54,73,6,38,57,73,87,51,77,12,70,62,33,88,24,255,6/11/1993,52,2,1680000,72,15,58,14,62,80,11,82,61,85,88,10,10,69,20,1,66,38,10,19,63,73,9168,84,66,51,15,Right,10,0,64,10,6,42,56,77,49,58,12811,8b7rtkl2j4iah6ol7j9m6fob2g\n
Isaac Rochell,LAC,LE,67,24,Notre Dame,60,24,10,16,88,25,19,9,77,7,36,83,17,76,54,15,45,80,94,34,280,4/22/1995,3,2,650000,36,17,23,57,14,98,12,76,45,77,95,9,23,32,69,1,12,82,12,21,45,86,8707,90,28,18,22,Right,10,0,45,26,9,61,45,69,28,45,17823,vm4jds7a3gn26boiu7sdm5vrjc\n
Damion Square,LAC,DT,67,30,Alabama,75,19,10,33,84,10,10,6,78,3,35,80,10,74,53,12,45,78,87,35,293,2/6/1989,2,6,1000000,24,6,10,77,10,71,12,63,45,68,75,6,23,10,72,1,12,77,6,11,45,83,6090,77,40,10,15,Right,10,0,45,10,6,64,45,58,11,45,20629,5u1gj2i45pru78btcd8ule2s9s\n
