Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Aaron Donald,LAR,RE,99,28,Pittsburgh,99,20,10,23,99,49,23,6,98,9,42,90,25,73,96,47,45,93,98,29,280,5/23/1991,5,5,101892000,32,6,28,99,16,99,12,83,45,78,93,6,25,30,99,1,12,85,6,21,45,93,6394,93,48,17,25,Right,15,40000000,45,10,6,97,45,86,20,45,12091,fgnd29ogft3o8uhevd4iudrr04\n
Todd Gurley II,LAR,HB,97,25,Georgia,91,34,77,46,75,99,62,15,44,55,68,92,85,73,14,65,44,41,85,20,227,8/3/1994,47,4,49400000,84,35,95,15,61,30,23,92,36,89,89,25,10,91,11,1,55,45,35,15,37,44,7155,96,94,96,19,Left,26,23080000,64,12,35,42,35,95,92,32,12617,fk49bbseactsr9ub2r5glim9b8\n
Andrew Whitworth,LAR,LT,93,37,LSU,95,35,13,91,92,10,10,6,40,5,24,73,10,79,20,12,90,37,90,12,330,12/12/1981,5,13,21770000,40,6,10,10,10,77,12,62,88,65,88,6,15,10,20,1,12,12,6,28,93,93,3164,90,40,9,20,Left,15,13240000,94,10,6,37,91,59,19,96,12718,e780jk4oso4fjl3nrsl0v94gi4\n
Brandin Cooks,LAR,WR,87,25,Oregon State,90,34,82,20,54,92,86,6,34,87,93,92,74,70,10,87,50,25,92,25,183,9/25/1993,88,5,65460000,41,15,78,24,90,12,22,95,37,86,74,10,18,44,10,1,81,15,10,20,20,40,6386,93,74,74,21,Right,20,24000000,32,10,6,32,31,95,84,19,17716,vae04jta59k7fet0o09vaol4i96lr23h9ltp6qa9t0vu6675dkc0\n
Aqib Talib,LAR,CB,87,33,Kansas,85,40,67,18,70,87,62,6,77,45,81,91,80,73,57,80,35,59,87,87,205,2/13/1986,38,11,19000000,40,6,88,87,55,21,17,87,35,96,85,6,91,30,47,1,55,67,6,25,35,58,2903,94,74,67,25,Right,16,0,35,91,6,62,35,91,77,35,2200,sgs64tkg6pd786an98d74aa27g\n
Robert Woods,LAR,WR,87,27,USC,94,34,78,33,60,87,89,15,41,89,95,88,78,72,10,89,61,39,94,21,193,4/10/1992,87,6,30000000,53,28,85,22,88,17,22,91,36,89,79,22,18,58,10,1,83,15,24,22,30,53,6180,93,79,78,25,Right,20,5020000,45,40,20,40,33,88,77,29,13275,dng52r9ppqg7al9brtf3sm3d7c\n
Johnny Hekker,LAR,P,86,29,Oregon State,72,67,10,16,56,15,18,29,35,15,39,80,10,77,10,43,29,25,94,15,241,2/8/1990,15,7,16354715,15,63,10,20,15,6,27,69,16,72,68,40,15,10,10,1,15,21,53,97,15,22,5860,84,40,15,97,Right,38,3350000,25,10,43,17,16,65,25,13,13161,90742im950cm891uahjb2tb3k4\n
John Johnson III,LAR,SS,85,23,Boston College,83,26,73,18,69,66,62,6,84,15,73,90,70,72,45,66,35,77,93,87,209,12/19/1995,10,2,2510000,54,6,73,86,25,43,16,85,35,88,81,6,82,51,34,1,20,85,6,19,35,63,8606,92,66,46,24,Right,10,760000,35,71,6,60,35,93,61,35,20612,j9t2911rcpoqa3gjnh01grn65g\n
Michael Brockers,LAR,LE,84,28,LSU,86,20,10,18,89,15,15,6,87,8,27,81,12,77,52,15,45,88,95,20,302,12/21/1990,4,7,36400000,25,6,15,91,15,90,12,64,45,73,76,6,15,27,75,1,15,83,6,16,45,88,5071,85,40,10,15,Right,14,3000000,45,16,6,90,45,72,10,45,20655,3o9nn82pv9v3g2pidodg7sofk0\n
Nickell Robey-Coleman,LAR,CB,84,27,USC,88,25,72,13,51,75,55,15,80,10,74,91,74,68,41,73,35,61,87,86,178,1/17/1992,10,6,12930000,21,15,81,92,20,23,10,89,35,95,84,15,82,25,30,1,20,46,10,20,35,53,6686,90,58,67,20,Right,10,2750000,35,78,10,58,35,90,77,35,2511,g1jlj2p92394bluigopsro5628\n
