Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Kenny Stills,MIA,WR,84,27,Oklahoma,92,30,77,28,60,79,83,20,35,86,88,92,75,73,10,86,43,29,92,22,202,4/22/1992,87,6,24920000,46,25,79,24,83,10,26,92,37,86,78,15,11,39,10,1,83,12,20,20,27,48,6100,90,77,82,19,Right,22,7080000,43,10,15,34,31,85,83,29,13840,qrf0uemsh8otosaabk2230s4p96lr23h9ltp6qa9t0vu6675dkc0\n
Laremy Tunsil,MIA,LT,84,25,Ole Miss,92,22,9,85,91,18,22,6,29,9,26,78,13,77,14,20,79,35,92,13,316,8/2/1994,6,3,15550000,32,6,17,18,19,78,12,65,77,77,92,6,11,26,18,1,22,26,6,17,87,84,8241,89,31,12,20,Right,14,7270000,85,9,6,27,80,77,22,84,20575,bmg9ib9v4q2pppq870u5jkf0uc\n
Xavien Howard,MIA,CB,83,26,Baylor,83,27,56,15,65,66,51,6,81,16,74,92,69,73,36,68,14,59,90,85,192,7/4/1993,11,3,50320000,26,6,76,86,26,25,13,92,33,90,88,6,80,29,32,1,27,53,6,17,33,45,8061,90,64,63,18,Right,16,26880000,10,83,6,61,34,88,73,34,13131,qrc09a6ghdf4jdld14c9iccehs\n
Reshad Jones,MIA,SS,83,31,Georgia,81,47,35,24,75,71,50,17,83,25,79,89,61,73,59,71,35,75,87,82,214,2/25/1988,20,9,37080000,45,28,69,85,35,20,15,86,35,90,70,22,74,46,72,1,12,90,23,25,35,69,1733,93,60,41,25,Right,23,18980000,35,80,19,71,35,84,61,35,12818,12vtri0ajg0spseoab99l4i404\n
Minkah Fitzpatrick,MIA,FS,80,22,Alabama,82,15,68,18,64,67,59,6,79,23,69,93,64,73,50,62,35,60,94,79,201,11/17/1996,18,1,6410000,39,6,72,87,28,29,18,90,35,82,88,6,79,36,38,1,29,78,6,13,35,58,8887,93,66,57,15,Right,16,10040000,35,75,6,55,35,92,64,35,2578,7cfi7i7v24i8de51eem2qf0rt4\n
Kenyan Drake,MIA,HB,79,25,Alabama,80,26,84,52,65,81,61,17,38,61,68,89,83,73,12,60,31,33,84,19,216,1/26/1994,53,3,3810000,64,26,90,20,65,32,20,91,20,83,74,22,14,78,11,1,52,21,27,20,42,54,7984,87,86,78,21,Right,11,810000,44,16,20,26,16,90,80,38,11484,r58ad92mmvi04jvnk4d9a16kic\n
DeVante Parker,MIA,WR,79,26,Louisville,81,28,45,22,71,81,86,10,40,81,86,91,76,75,10,89,54,36,87,20,212,1/20/1993,79,4,5500000,66,30,81,20,81,11,22,91,36,90,84,20,10,67,10,1,82,12,25,12,20,42,7266,88,75,76,19,Right,24,4340000,39,10,20,35,30,88,66,19,13835,bip02rlf005mgtqg2n2u6usuug\n
Albert Wilson,MIA,WR,79,27,Georgia State,89,41,77,28,55,88,82,16,42,80,87,91,83,69,10,80,59,25,91,17,186,7/12/1992,74,5,19940000,48,32,89,24,83,15,25,91,19,88,68,31,12,50,10,1,76,15,28,18,13,48,6643,88,78,80,21,Right,20,4060000,24,15,22,35,11,89,84,13,13138,fasamq2u1pdc14v4a9rv894cn8\n
Matt Haack,MIA,P,77,25,Arizona St.,62,58,10,17,52,25,10,18,23,10,33,86,17,72,10,12,20,28,94,19,205,7/25/1994,10,2,1680000,18,33,26,16,10,2,21,85,18,60,68,44,14,13,10,1,12,18,26,80,19,23,9193,83,46,14,96,Left,13,0,20,12,24,24,18,61,24,17,13274,qs036ens35anvlivtub8l6l0io\n
Dwayne Allen,MIA,TE,76,29,Clemson,76,35,25,61,82,71,80,6,39,62,82,84,64,75,20,83,66,33,87,15,265,2/24/1990,59,7,5250000,76,15,65,13,69,89,18,75,65,83,76,10,12,74,20,1,65,25,10,32,57,76,5019,90,74,48,33,Right,11,1250000,58,25,6,40,61,73,46,53,12983,us8qqs8gb973v03qlmgtjkg1fs\n
