Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Harrison Smith,MIN,SS,94,30,Notre Dame,90,25,10,23,73,60,59,10,93,13,82,91,61,74,50,69,35,84,95,93,214,2/2/1989,10,7,46030000,61,10,54,93,15,22,10,87,35,85,76,10,80,35,66,1,12,93,10,20,35,68,5485,91,66,39,25,Right,23,10600000,35,79,10,73,35,92,54,35,11834,otvnbllub57sv7cp97235mkbgc\n
Adam Thielen,MIN,WR,94,29,Minnesota State,97,51,67,25,67,92,91,29,29,93,96,93,82,74,10,96,50,32,90,16,200,8/22/1990,89,6,63000000,51,46,85,25,94,19,22,90,36,91,79,33,10,63,10,1,94,15,37,35,25,45,6913,96,73,79,34,Right,29,15810000,35,15,32,32,33,93,79,20,13904,pb5g6k4q6dde629v4finm94l20\n
Stefon Diggs,MIN,WR,93,25,Maryland,95,35,85,29,62,92,91,6,35,92,97,93,87,72,10,95,51,27,87,25,191,11/29/1993,89,4,58410000,42,15,97,20,93,14,27,91,36,89,66,10,15,64,10,1,89,12,10,30,20,49,7085,90,76,85,30,Right,20,15560000,39,15,6,35,33,93,90,22,13319,fr0tnen9t9ksek5shas1ni11hk\n
Danielle Hunter,MIN,LE,86,24,LSU,91,15,10,14,81,35,10,6,87,3,36,90,55,77,87,12,45,83,90,42,252,10/29/1994,2,4,58910000,44,6,40,87,10,99,12,88,45,88,81,6,25,28,74,1,12,74,6,11,45,84,7179,86,46,24,15,Right,12,15660000,45,10,6,84,45,85,34,45,13146,mufrujhu030pn5970cpgi5d938\n
Linval Joseph,MIN,DT,86,30,East Carolina,82,20,10,41,98,10,15,6,82,7,24,79,20,76,50,15,45,85,87,27,329,10/10/1988,3,9,55900000,25,6,18,89,15,98,12,75,45,72,76,6,20,10,77,1,15,60,6,16,45,92,1743,88,40,10,15,Right,15,7800000,45,16,6,89,45,63,10,45,13848,nh3ijl19cqg85gu99441c7sg8o\n
Xavier Rhodes,MIN,CB,86,29,Florida State,89,35,40,19,72,70,58,6,83,15,71,90,60,73,64,72,35,58,88,82,218,6/19/1990,10,6,65630000,50,6,72,86,25,29,15,91,35,96,84,6,85,45,55,1,45,70,6,22,35,59,6270,92,65,55,19,Right,13,12500000,35,93,6,60,35,87,65,35,17837,dnvgjupl7lm4ek5eia1t8pvorh06q8r5bfto4fvgh12437pmbo30\n
Dalvin Cook,MIN,HB,85,24,Florida State,76,40,65,35,74,87,63,27,38,61,68,92,86,70,20,60,39,28,84,12,210,8/10/1995,55,2,3590000,75,38,90,14,68,33,22,91,30,75,81,32,13,81,20,1,53,29,32,21,33,33,8516,90,87,90,17,Right,17,2760000,67,20,25,25,32,94,87,28,12803,2t7j03s62f9mes65lvtmanqu3g\n
Everson Griffen,MIN,RE,85,31,USC,85,16,10,16,87,27,15,6,87,8,32,86,35,75,78,20,45,86,88,32,273,12/22/1987,4,9,67330000,23,6,27,87,15,97,12,83,45,72,65,6,25,32,87,1,20,80,6,14,45,86,1316,84,32,26,15,Right,17,4600000,45,20,6,82,45,79,36,45,17849,74krb64mhqoat8d3le4ur64mb0\n
Kyle Rudolph,MIN,TE,85,29,Notre Dame,91,30,25,48,75,81,85,6,37,78,96,84,75,78,20,90,56,45,87,15,265,11/9/1989,71,8,31240000,79,15,72,15,81,82,10,77,55,84,90,10,12,83,25,1,83,20,10,32,56,63,4464,90,80,50,32,Right,15,7520000,57,10,6,41,50,80,49,55,12599,an56bn306fah4frci1a4pg9vq4\n
Anthony Barr,MIN,LOLB,82,27,UCLA,85,35,10,24,76,70,49,6,85,25,67,88,66,77,53,45,45,86,85,71,255,3/18/1992,17,5,52100000,67,6,65,88,35,55,12,87,45,84,78,6,62,65,60,1,12,86,6,30,45,88,6338,89,70,40,30,Right,16,15400000,45,35,6,77,45,89,55,45,20564,ppqhdi1uqehsmhvlbiii2937pg\n
Kirk Cousins,MIN,QB,81,31,Michigan St.,86,86,10,10,52,58,15,94,37,15,22,83,45,75,10,15,14,38,88,12,202,8/19/1988,13,7,4500000,28,90,52,10,15,8,35,77,14,76,90,81,12,31,12,1,15,27,86,19,13,14,5117,94,57,49,12,Right,89,79500000,13,10,86,12,14,70,47,13,12474,r7gaebanjg7gqnb9ja6cp6qr696lr23h9ltp6qa9t0vu6675dkc0\n
Eric Kendricks,MIN,MLB,78,27,UCLA,86,24,10,22,76,49,48,6,83,5,69,90,35,72,60,47,45,81,83,71,232,2/29/1992,5,4,38360000,43,6,44,89,15,54,12,85,45,88,74,6,60,35,50,1,25,85,6,14,45,82,7200,92,60,27,19,Right,10,13250000,45,55,6,71,45,82,42,45,13028,v2e095b8fhc230gaoukec1e3rk\n
Trae Waynes,MIN,CB,78,27,Michigan St.,76,25,39,16,67,64,66,6,84,15,71,92,67,72,40,73,35,51,88,72,190,7/25/1992,10,4,9070000,10,6,71,79,25,26,15,94,35,88,82,6,77,35,48,1,35,40,6,14,35,46,7371,93,54,55,15,Right,11,0,35,80,6,61,35,86,65,35,20382,rsjvcd1bfo823t0vogmeamimu0\n
Irv Smith Jr,MIN,TE,75,21,Alabama,64,23,40,60,71,75,77,10,36,69,81,85,67,74,10,78,62,34,93,14,242,8/9/1998,65,0,3310000,71,20,69,16,71,84,20,85,59,79,87,10,12,73,10,1,69,22,15,12,53,69,9633,89,76,67,18,Right,17,2480000,56,12,10,34,63,75,63,57,20510,t1f5m3hpkrt5h7rencn11dqcn6ai91npjv0ehtnmcjt8aviae7cg\n
