Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Tom Brady,NE,QB,96,42,Michigan,99,91,10,24,64,51,15,99,30,14,39,66,35,76,10,30,25,33,99,19,225,8/3/1977,12,19,22000000,20,99,52,20,15,12,63,60,15,47,96,83,11,27,10,1,12,12,98,17,14,34,494,99,66,31,18,Right,90,55000000,19,10,89,33,10,70,37,19,2892,aibuqo8vh1hq03967eji4h7ua4\n
Stephon Gilmore,NE,CB,94,28,South Carolina,95,22,70,16,62,66,58,6,73,11,76,94,45,73,44,70,35,61,94,90,202,9/19/1990,10,7,33550000,22,6,75,93,15,24,17,91,35,90,72,6,96,30,60,1,15,68,6,25,35,56,5184,96,62,67,30,Right,10,31450000,35,95,6,54,35,94,77,35,20460,napl5r4325ifkeaebrfbb5mb48\n
Julian Edelman,NE,WR,89,33,Kent State,96,70,87,20,68,94,87,57,58,91,88,91,79,70,20,88,58,41,88,48,200,5/22/1986,83,10,6000000,63,55,91,26,97,11,63,86,40,84,85,78,43,75,20,1,86,20,53,17,10,40,1022,95,76,85,18,Right,54,13910000,30,40,50,45,37,91,89,14,13009,2kepkd86ororcfrl1c99tufrtk\n
Devin McCourty,NE,FS,89,32,Rutgers,88,30,74,22,62,65,45,6,86,13,81,90,75,70,45,61,35,74,95,92,195,8/13/1987,10,9,28760000,28,6,77,90,15,32,14,90,35,92,77,6,85,25,35,1,12,67,6,24,35,67,2043,97,50,62,22,Right,23,18760000,35,85,6,64,35,90,74,35,20345,c8cdl76kc10b283gniehee14j8\n
Shaq Mason,NE,RG,88,26,Georgia Tech,89,30,10,89,87,10,15,6,30,5,40,82,10,73,10,15,89,39,91,15,310,8/28/1993,5,4,34910000,25,6,10,15,15,69,12,73,92,82,81,6,12,30,10,1,15,24,6,25,87,88,7225,82,45,5,25,Right,13,12110000,84,10,6,20,85,66,10,82,13363,1uc4fcrcrgotrk0pb0pvcl87o4\n
James White,NE,HB,86,27,Wisconsin,85,29,76,41,68,83,75,15,35,70,79,92,88,70,10,67,44,32,88,15,205,2/3/1992,61,5,8340000,62,35,92,20,77,28,25,89,30,80,69,15,15,67,10,1,77,12,30,19,38,39,6638,88,91,84,15,Right,17,4100000,63,20,20,26,35,90,87,34,13320,rvd072ekj8p81325itus6oioug\n
Michael Bennett,NE,LE,85,33,Texas AM,89,10,10,21,91,21,10,6,88,3,39,84,30,76,74,20,45,86,92,35,274,11/13/1985,2,10,12750000,33,6,40,82,10,77,12,73,45,68,78,6,25,10,87,1,12,77,6,20,45,91,4553,89,40,17,30,Right,14,4000000,45,35,6,85,45,76,27,45,20469,28jasff44prqmdnlo3pinjqsr6ai91npjv0ehtnmcjt8aviae7cg\n
Jason McCourty,NE,CB,85,32,Rutgers,87,30,45,17,64,55,55,6,81,11,74,93,59,71,44,65,35,69,92,81,195,8/13/1987,10,10,4500000,27,6,66,83,15,30,17,92,35,87,55,6,84,29,40,1,12,62,6,24,35,57,2044,87,43,57,22,Right,12,5500000,35,84,6,56,35,89,67,35,13153,f0qeoqdnl2jpnbaaajs5lvrjkc\n
David Andrews,NE,C,84,27,Georgia,92,22,10,82,86,10,10,6,29,5,25,84,10,75,15,12,90,38,87,15,300,7/10/1992,5,4,8020000,26,6,10,20,10,60,12,68,90,74,88,6,13,10,20,1,12,37,6,20,80,84,7649,88,22,9,20,Right,12,2310000,84,10,6,40,87,58,15,86,13010,4aj6fdebgk8uh6g6bld4c1uflc\n
Sony Michel,NE,HB,84,24,Georgia,86,27,71,31,75,84,65,14,40,60,67,92,77,71,10,66,33,35,87,16,215,2/17/1995,51,1,4530000,83,25,90,12,65,26,24,90,33,76,82,17,12,83,10,1,60,27,20,19,46,36,8991,89,91,79,11,Right,16,5080000,58,18,15,30,30,93,84,40,12316,ld8b1llk7mq5gb4dmmnuvrdplo\n
Joe Thuney,NE,LG,84,26,N.C. State,87,25,10,82,88,18,15,6,35,5,26,84,10,77,10,15,82,29,94,12,305,11/18/1992,5,3,3640000,31,6,14,10,15,62,12,74,79,72,92,6,12,19,10,1,15,48,6,11,84,81,8235,84,33,8,11,Right,16,870000,87,10,6,33,84,71,15,87,12427,j3kq0np7tnavl1t7bkgk4fpe0l6lr23h9ltp6qa9t0vu6675dkc0\n
