Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Michael Thomas,NO,WR,95,26,Ohio State,98,24,25,25,75,89,95,6,19,94,98,92,79,75,11,94,52,27,90,18,212,3/3/1993,89,3,3200000,58,15,89,16,95,13,23,89,38,90,82,10,16,81,11,1,92,15,10,22,15,45,8231,98,75,82,23,Right,22,1920000,40,16,6,22,31,91,78,14,20426,bjdt93vsi2u2obrt17vt6kda8s\n
Drew Brees,NO,QB,92,40,Purdue,97,85,10,16,53,51,15,96,25,15,38,72,43,71,10,15,21,26,98,21,209,1/15/1979,13,18,15200000,20,99,68,32,15,9,39,68,16,75,96,84,17,25,10,1,15,12,95,16,20,26,6292,95,64,34,21,Right,93,31500000,25,10,90,26,16,68,31,20,20371,fm2i343l4vhc5m48uspr2jhvlg\n
Cameron Jordan,NO,LE,91,30,California,97,30,10,22,91,26,15,6,89,8,36,85,25,76,71,15,45,89,97,40,287,7/10/1989,4,8,36990000,10,6,30,97,15,94,12,78,45,76,85,6,30,25,92,1,20,84,6,29,45,92,4404,91,40,14,33,Right,14,25250000,45,20,6,92,45,80,24,45,2591,7ofs2o9ogo7nrs6jt6jfud6488\n
Alvin Kamara,NO,HB,90,24,Tennessee,87,38,83,41,73,91,78,26,34,76,77,94,84,70,48,76,41,29,85,24,215,7/25/1995,68,2,2900000,87,32,92,18,83,41,24,89,29,92,78,33,18,88,31,1,78,33,28,16,27,39,8617,88,93,92,21,Right,15,960000,64,17,23,29,28,93,87,23,9814,q7uksoo65ij92q708kkf6orans\n
Terron Armstead,NO,LT,88,28,Arkansas P.B.,92,30,10,90,89,30,69,6,24,34,65,86,25,77,10,55,86,37,82,20,304,7/23/1991,26,6,46130000,35,6,35,17,44,72,12,81,85,84,86,6,15,33,10,1,45,20,6,25,85,85,5661,92,62,15,25,Right,16,20700000,91,10,6,25,88,70,25,92,12953,jntqk93mcqafjk5bbtfpr3qii8\n
Jared Cook,NO,TE,87,32,South Carolina,92,25,11,48,71,82,84,6,35,79,89,90,79,77,10,86,52,44,84,24,254,4/7/1987,73,10,7500000,68,15,78,21,82,87,12,85,48,91,77,10,10,81,10,1,78,12,10,19,56,63,806,91,73,74,15,Right,15,5500000,59,10,6,43,51,80,72,58,17581,bkm3gv5t96lb9trv0it3pn04dk\n
Marshon Lattimore,NO,CB,87,23,Ohio State,82,22,70,15,72,74,60,6,73,24,72,94,73,72,44,72,35,68,84,84,192,5/20/1996,17,2,6050000,23,6,80,80,34,23,17,93,35,91,71,6,89,33,32,1,20,69,6,25,35,55,8632,89,61,67,30,Right,10,9320000,35,86,6,52,35,91,77,35,20535,rujfu6u1srq3biijptuojuc6kg\n
Ryan Ramczyk,NO,RT,86,25,Wisconsin,92,16,10,89,90,17,30,6,42,15,39,67,13,78,30,25,88,38,89,12,314,4/22/1994,7,2,4290000,26,6,26,28,25,71,12,63,87,76,94,6,12,28,40,1,32,40,6,23,89,88,8694,92,43,11,21,Right,14,4610000,88,10,6,37,90,73,21,87,2853,0mtb8dc4koqf7p9a8a8vd4vtvg\n
Demario Davis,NO,ROLB,85,30,Arkansas St.,86,25,10,24,85,20,15,6,88,5,58,89,15,74,60,15,45,84,91,71,248,1/11/1989,5,7,14150000,45,6,25,90,15,56,12,86,45,87,72,6,66,45,52,1,12,86,6,20,45,84,5132,85,62,25,26,Right,16,9850000,45,40,6,80,45,81,40,45,13805,5nvvko5cg1d55t2dr19e3dnobs\n
Thomas Morstead,NO,P,84,33,SMU,69,35,10,14,58,10,10,20,30,10,30,76,10,76,11,12,22,14,95,15,235,3/7/1986,10,10,14520000,10,30,10,19,10,6,16,72,15,49,75,20,12,10,11,1,12,22,30,95,15,20,2184,90,35,9,94,Right,17,5930000,19,10,25,14,15,61,19,13,20735,llr9444no93bg9srvn7fuoso6k\n
Sheldon Rankins,NO,DT,83,25,Louisville,91,23,9,35,89,26,28,6,84,5,43,83,17,74,79,26,45,85,90,39,305,4/2/1994,3,3,12980000,33,6,25,86,13,98,12,71,46,83,91,6,28,25,84,1,15,80,6,17,44,85,8186,83,40,13,17,Right,13,7510000,44,13,6,73,45,78,18,45,20740,j6u4totj42odjf1rqhckqb1hk4\n
Marcus Williams,NO,FS,83,22,Utah,83,25,59,12,70,66,62,6,84,14,79,90,63,73,41,68,35,76,90,79,195,9/8/1996,10,2,3570000,42,6,76,86,24,43,14,89,35,97,82,6,75,45,33,1,18,79,6,20,35,57,8779,93,75,49,20,Right,18,2680000,35,65,6,62,35,87,64,35,20699,b1m8cnshle3kl13tfjlbdrluhk\n
Patrick Robinson,NO,CB,82,31,Florida State,83,22,45,12,61,58,62,6,77,45,65,91,55,71,35,65,35,65,87,87,191,9/7/1987,38,9,14700000,15,6,76,88,55,21,17,87,35,87,69,6,80,22,46,1,15,49,6,16,35,52,2561,91,65,57,25,Right,15,5300000,35,85,6,62,35,87,67,35,12821,ce3cen0poknebik23akeg0n0go\n
Ted Ginn Jr,NO,WR,80,34,Ohio State,80,41,85,20,45,96,78,6,44,84,85,92,88,71,10,83,54,35,89,20,180,4/12/1985,87,12,8000000,40,15,93,26,82,19,22,92,36,87,50,10,10,32,10,1,74,25,10,15,19,40,1246,95,76,83,13,Right,24,3000000,25,30,6,39,31,93,90,19,2700,1bdqrm9fcqm3onipi2209lonus\n
Larry Warford,NO,RG,80,28,Kentucky,86,25,10,75,90,15,15,6,37,10,32,76,10,75,10,12,74,31,88,26,317,6/18/1991,10,6,25400000,25,6,10,28,10,67,12,56,77,56,87,6,20,10,25,1,12,20,6,20,83,85,6142,87,45,5,26,Right,10,8600000,82,10,6,21,76,57,10,81,13278,otpbr49ljrh7qr1k99fkmstag0\n
Cameron Meredith,NO,WR,79,26,Illinois St.,74,29,20,29,65,83,84,6,30,82,88,92,76,75,10,86,54,35,86,22,207,9/21/1992,81,4,2250000,58,15,81,30,83,81,22,89,36,90,85,10,19,65,10,1,80,15,10,18,30,49,7761,88,67,76,18,Right,15,4600000,45,15,6,40,30,91,76,25,12994,n34l7uvhv791bt1kptnpkhkkih6lr23h9ltp6qa9t0vu6675dkc0\n
Latavius Murray,NO,HB,79,28,UCF,81,40,77,53,72,84,63,33,35,47,66,92,82,75,30,56,55,39,81,25,230,2/21/1991,39,6,7800000,88,35,85,35,54,28,19,90,46,86,78,32,18,87,30,1,55,45,33,22,43,50,6853,86,89,82,20,Right,17,6600000,60,15,30,35,45,88,75,38,20476,8bsoa6ip85rl1vaco5j7sijfik\n
Josh Hill,NO,TE,78,29,Idaho State,82,40,30,50,74,68,78,15,46,71,81,86,65,77,10,82,60,35,89,20,250,5/21/1990,63,6,7680000,68,19,64,20,73,89,15,83,59,87,67,16,15,66,10,1,76,15,17,20,58,65,6665,81,69,55,20,Right,15,4010000,59,15,14,44,61,83,54,56,2658,10mdko0kbm1qu5ekfo56b7dphg\n
David Onyemata,NO,DT,78,26,Manitoba,81,13,10,28,89,13,10,6,81,3,35,85,11,76,64,12,45,80,89,33,300,11/13/1992,2,3,3660000,26,6,17,79,10,93,12,70,45,83,85,6,22,29,83,1,12,81,6,12,45,78,8169,81,30,10,29,Right,17,560000,44,10,6,71,45,72,12,45,2816,o5r9ba63bks0n8dqa7jcaujp8k\n
Wil Lutz,NO,K,77,25,Georgia State,59,40,10,16,42,10,15,15,29,15,18,80,10,71,10,15,16,26,82,17,184,7/7/1994,15,3,12000000,10,33,10,17,15,3,15,72,16,57,70,15,11,10,10,1,15,13,15,88,17,16,8374,79,40,5,97,Right,16,8250000,17,10,15,24,16,62,15,17,20162,qknjqufsdda1lce2dpel85sgeg\n
Eli Apple,NO,CB,76,24,Ohio State,76,27,65,11,61,66,44,6,77,16,69,92,64,73,25,62,15,57,90,70,199,8/9/1995,11,3,4350000,26,6,72,75,26,25,10,92,33,87,84,6,76,37,24,1,27,47,6,17,33,51,7883,90,63,50,18,Right,11,0,10,75,6,49,34,88,60,34,13731,89et637hht29r23marbgkcj9k0\n
Vonn Bell,NO,SS,76,24,Ohio State,78,26,48,18,67,57,48,6,70,12,72,90,62,71,58,61,16,76,88,76,205,12/12/1994,10,3,2880000,45,6,67,84,22,24,17,88,34,82,81,6,75,41,43,1,22,77,6,19,34,63,7891,89,69,47,20,Right,16,1080000,25,61,6,52,33,85,62,33,20501,qbrjcj2s825d61vi7nhjs7feumt4d64f24h8ilrhegvppgd83t0g\n
Ken Crawley,NO,CB,75,26,Colorado,79,29,63,18,56,62,54,6,71,14,53,92,67,73,37,62,25,58,90,70,180,2/8/1993,10,3,2030000,43,6,72,78,24,20,10,91,35,86,79,6,73,42,28,1,22,62,6,26,35,48,8308,92,56,59,26,Right,10,0,25,77,6,49,35,89,69,35,13283,5siohmvqbraojmq3vqki937sn8\n
P.J. Williams,NO,CB,75,26,Florida State,70,39,60,11,66,71,55,6,85,20,63,95,72,72,54,62,35,71,90,68,196,6/1/1993,13,4,850000,25,6,74,73,30,26,12,90,35,91,85,6,71,35,61,1,30,74,6,20,35,51,7385,88,61,52,20,Right,17,1400000,35,80,6,59,35,83,62,35,20428,sib2ubt9kt5c5k13dcnh7jdp58\n
