Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Saquon Barkley,NYG,HB,91,22,Penn State,79,37,81,34,81,79,70,18,36,67,78,93,94,71,25,76,36,28,93,13,233,2/9/1997,61,1,10430000,83,34,95,21,74,26,31,92,35,93,92,36,15,85,17,1,68,17,30,14,38,37,8813,97,95,97,19,Right,18,20760000,51,10,23,24,31,96,90,33,20516,bm4ho9s4m2nch40ej7qsk4cun4\n
Kevin Zeitler,NYG,RG,89,29,Wisconsin,81,12,10,88,91,10,15,6,21,5,15,78,10,76,10,15,75,25,91,15,315,3/8/1990,5,7,28500000,20,6,10,13,15,70,12,59,79,79,96,6,13,10,10,1,15,20,6,16,93,88,5582,88,40,6,18,Right,14,3500000,92,10,6,15,73,60,11,91,12906,r5tmfuu0qaq2arbov8183tjatk\n
Golden Tate III,NYG,WR,85,31,Notre Dame,89,39,89,29,62,93,88,18,49,86,88,91,86,70,10,88,57,19,89,22,197,8/2/1988,82,9,15500000,65,33,94,25,89,15,24,90,36,91,89,32,18,74,10,1,83,15,25,19,12,49,2909,95,76,88,19,Left,22,22000000,24,15,20,35,30,96,95,12,12437,68js4hj87vpdnmo3r8n7ku5q90\n
Evan Engram,NYG,TE,84,24,Ole Miss,82,28,59,50,66,84,75,18,37,76,82,91,66,75,28,86,59,42,88,31,240,9/2/1994,75,2,4790000,76,23,74,26,77,88,14,90,58,88,76,27,24,73,20,1,74,28,18,16,65,69,8545,86,79,76,22,Right,11,5920000,63,22,14,32,55,89,78,58,13844,3m2jgh0rs6htc8kt73jek3u54s\n
Jabrill Peppers,NYG,SS,84,23,Michigan,84,33,86,18,73,83,63,27,77,41,75,93,83,71,44,66,35,78,87,78,213,10/4/1995,36,2,2680000,42,30,91,86,51,21,35,90,35,86,86,37,79,52,37,1,48,88,26,18,35,63,8684,95,67,77,22,Right,29,4860000,35,69,22,56,35,89,84,35,13695,ektnp2mqrqcj08glrjholqg9a4\n
Aldrick Rosas,NYG,K,84,24,Southern Oregon,72,36,10,17,30,16,10,24,28,10,27,80,10,75,10,12,20,28,83,20,221,12/30/1994,10,3,650000,12,33,10,13,10,2,18,68,15,59,65,26,10,10,10,1,12,19,26,93,15,17,9279,86,31,8,95,Right,14,0,20,10,21,13,15,68,18,15,20582,k1sh3uoetik12okekl2r2ve4i8\n
Sterling Shepard,NYG,WR,81,26,Oklahoma,87,27,75,26,68,85,84,18,41,84,87,91,76,70,11,85,62,33,90,24,201,2/10/1993,82,3,32000000,41,22,85,21,86,87,26,90,39,92,86,21,16,49,11,1,79,15,20,22,11,46,8213,91,75,80,23,Right,27,10890000,41,16,17,24,32,93,83,15,13326,l9k49dck4efqc38pcdols61bb4\n
Janoris Jenkins,NYG,CB,80,30,N. Alabama,80,12,75,15,53,77,52,6,72,15,74,92,75,70,54,84,30,61,89,78,190,10/29/1988,10,7,47850000,30,6,85,81,25,20,20,89,30,85,90,6,82,33,32,1,20,50,6,10,30,45,5269,94,54,72,12,Right,12,15000000,35,83,6,52,30,93,83,25,13900,07qp371ijbs8g1lh3s7emc61uk\n
Dalvin Tomlinson,NYG,LE,80,25,Alabama,87,23,14,32,88,33,22,6,84,5,34,79,16,75,60,24,45,87,88,29,317,2/28/1994,3,2,3110000,37,6,28,89,13,94,12,66,46,68,87,6,22,39,76,1,15,81,6,17,44,82,8753,85,27,19,17,Right,16,1480000,45,15,6,83,45,61,24,45,13204,lmosdhpno1ietrv62gdeb7m19s\n
Antoine Bethea,NYG,FS,77,35,Howard,82,12,65,20,69,36,40,15,79,20,68,86,48,71,70,64,35,73,89,78,206,7/27/1984,15,13,3250000,39,15,51,80,30,41,10,85,35,86,75,15,74,28,43,1,32,80,10,14,35,65,430,90,65,15,14,Right,20,3250000,35,67,10,62,35,82,30,35,1751,e50ihu72uru3cl3bd6dpk31ncg\n
