Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Le'Veon Bell,NYJ,HB,92,27,Michigan St.,85,40,25,52,77,96,77,22,45,74,75,92,92,73,39,72,50,55,86,20,225,2/18/1992,65,6,27500000,90,40,95,25,81,26,24,89,45,92,81,35,11,94,32,1,73,45,32,22,48,50,5688,94,88,91,20,Right,25,25000000,64,15,30,54,42,95,86,42,2114,v3mmmmuv2io1umiqso20uhpofg\n
Jamal Adams,NYJ,SS,90,23,LSU,85,25,35,26,78,55,52,15,90,25,72,90,55,73,41,62,35,80,94,90,213,10/17/1995,20,2,7940000,45,15,65,91,35,33,20,91,35,78,84,15,86,40,54,1,12,95,10,25,35,75,8463,93,60,25,25,Right,17,14320000,35,63,10,67,35,87,40,35,17787,9qkltfvad8aablttft9r9ta7cs\n
C.J. Mosley,NYJ,MLB,87,27,Alabama,91,25,10,28,75,57,57,6,88,5,73,89,40,74,57,60,45,93,86,76,250,6/19/1992,5,5,43000000,38,6,46,93,15,57,12,85,45,86,87,6,66,45,63,1,25,89,6,20,45,88,6648,97,66,32,20,Left,10,42000000,45,49,6,75,45,88,47,45,13418,ucm6gopvhme8opnoeq0j4s7jkc\n
Avery Williamson,NYJ,MLB,85,27,Kentucky,89,30,10,19,78,35,39,6,92,6,63,89,30,73,55,35,45,88,92,63,246,3/9/1992,5,5,16500000,49,6,22,92,10,54,12,84,45,78,76,6,57,40,63,1,20,83,6,20,45,79,6642,91,45,10,20,Right,13,6000000,45,60,6,87,45,80,25,45,13273,4b0asn2nlnt7870fgajsntrbqo\n
Leonard Williams,NYJ,LE,84,25,USC,89,35,10,18,90,38,29,6,84,8,37,83,35,77,66,25,45,88,85,29,302,6/20/1994,4,4,14200000,49,6,44,88,15,92,12,73,45,77,85,6,23,50,86,1,15,81,6,17,45,88,7381,85,55,15,18,Right,14,0,45,20,6,83,45,73,25,45,20729,hk19lvaqegfot0g5vs3dbhjpv4\n
Robby Anderson,NYJ,WR,82,26,Temple,88,29,65,23,59,83,82,6,38,83,89,90,77,75,10,88,43,21,85,25,190,5/9/1993,86,3,3100000,46,15,84,25,82,11,22,94,37,86,78,10,20,59,10,1,82,12,10,11,24,43,7880,89,75,76,11,Right,20,0,35,10,6,26,31,84,75,22,13149,b2igfec9i2o3ameb275672mi9k\n
Kelechi Osemele,NYJ,LG,82,30,Iowa State,87,29,10,91,93,10,10,6,35,5,19,75,10,77,10,12,73,32,88,10,330,6/24/1989,5,7,21900000,35,6,10,18,10,70,12,62,75,71,75,6,9,10,10,1,12,22,6,32,85,90,5399,90,40,6,21,Right,15,0,83,10,6,22,71,60,11,81,13423,ef3opcetgppi3cpmnoqu8nubcc\n
Brian Winters,NYJ,RG,82,28,Kent State,89,20,10,85,85,10,10,6,30,5,25,79,10,76,10,12,84,39,87,12,320,7/16/1991,5,6,29000000,22,6,10,10,10,67,12,64,78,76,87,6,12,10,10,1,12,12,6,12,80,85,6178,88,35,11,12,Right,14,0,81,10,6,33,86,64,11,84,12868,ohha7kihtugvf9b9lt1su7ad5d6lr23h9ltp6qa9t0vu6675dkc0\n
Trumaine Johnson,NYJ,CB,81,29,Montana,86,14,65,13,69,65,49,6,77,12,77,87,60,74,57,76,35,69,87,85,213,1/1/1990,10,7,52500000,45,6,75,85,22,22,16,87,35,87,63,6,80,35,43,1,20,74,6,16,35,53,5278,94,63,56,14,Right,12,20000000,35,82,6,50,35,88,66,35,13696,5ir9efij31bhsveadqtn8h0gds\n
Quinnen Williams,NYJ,DT,80,21,Alabama,74,23,9,39,89,26,22,6,84,8,34,86,24,75,70,21,45,83,91,30,303,12/20/1997,5,0,10160000,41,6,29,77,13,95,12,78,46,75,90,6,18,34,76,1,15,84,6,17,44,88,9679,77,39,16,17,Right,12,21600000,44,14,6,81,45,82,28,45,12904,9sitnmaskvm8pij6ugasvqg9ms\n
Henry Anderson,NYJ,RE,79,28,Stanford,81,19,10,17,86,33,21,6,81,3,44,82,10,78,60,24,45,84,82,29,301,8/3/1991,2,4,9200000,44,6,10,84,10,96,12,73,45,74,85,6,25,25,85,1,15,76,6,25,45,87,6999,74,45,10,17,Right,14,15990000,45,12,6,73,45,72,15,45,13425,fcegb90t435kicv607j3t9kqlc\n
Jamison Crowder,NYJ,WR,79,26,Duke,80,35,86,25,58,87,84,6,35,81,85,92,87,69,10,80,41,25,88,25,177,6/17/1993,78,4,11500000,37,15,92,20,83,82,26,91,14,88,80,10,10,48,10,1,76,12,10,30,23,45,7066,92,66,83,30,Right,20,16780000,30,15,6,35,11,95,86,20,13777,n65t5ll7llhiau3ciig66u71ic\n
Quincy Enunwa,NYJ,WR,79,27,Nebraska,85,24,35,34,69,84,82,6,49,83,83,91,74,74,10,85,63,47,93,18,225,5/31/1992,80,5,27310000,71,15,79,22,85,81,22,89,39,88,82,10,18,72,10,1,80,15,10,20,23,54,6406,89,74,81,21,Right,23,9000000,41,15,6,47,32,89,80,15,13052,e36focbtmlv8hcf0kjdrhjvui4\n
Steve McLendon,NYJ,DT,79,33,Troy,83,35,10,35,86,10,15,6,80,7,33,78,10,75,52,15,45,89,90,20,310,1/3/1986,3,10,500000,10,6,10,84,15,99,12,62,45,67,80,6,15,10,74,1,15,72,6,25,45,85,4781,84,40,10,20,Right,17,2000000,45,10,6,82,45,68,10,45,13141,0fghstc6l1g9ipqvjjqqcgssjp6lr23h9ltp6qa9t0vu6675dkc0\n
Marcus Maye,NYJ,FS,78,26,Florida,77,25,48,24,77,62,46,15,79,18,69,90,61,72,47,64,35,77,87,76,207,3/9/1993,13,2,3650000,48,15,68,79,28,20,10,90,35,81,77,15,71,48,31,1,18,87,10,25,35,69,8654,88,65,42,25,Right,15,2920000,35,66,10,52,35,86,57,35,20396,284dvf9nmfeptcrveoh8hteauc\n
Brian Poole,NYJ,CB,77,26,Florida,83,18,30,20,68,52,45,6,75,15,69,92,64,69,62,60,35,63,86,76,213,10/20/1992,10,3,1000000,45,6,65,85,25,34,10,89,35,74,78,6,75,49,67,1,34,78,6,22,35,60,8177,90,62,45,17,Right,16,1000000,35,79,6,58,35,86,55,35,13509,d08hgnlvkbvpinuipjd44n91co\n
