Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Fletcher Cox,PHI,DT,96,28,Mississippi St.,98,19,10,41,95,25,15,6,87,7,32,86,30,76,75,15,45,93,93,38,310,12/13/1990,3,7,53840000,42,6,25,94,15,91,12,79,45,73,76,6,24,35,96,1,15,80,6,21,45,91,5119,89,35,10,25,Right,15,57570000,45,10,6,86,45,79,15,45,13344,35li410ginohq2rmitncg1i478\n
Jason Kelce,PHI,C,94,31,Cincinnati,98,22,10,94,85,10,15,6,58,5,40,83,10,75,35,15,98,57,90,32,295,11/5/1987,5,8,9930000,10,6,10,40,15,62,12,74,95,72,65,6,25,10,45,1,15,55,6,22,83,89,4406,86,40,14,18,Right,12,7330000,88,10,6,55,98,75,24,90,13508,6dj1evk2pvs6kvqu00crf9aj4g\n
Zach Ertz,PHI,TE,93,28,Stanford,98,42,35,57,73,87,90,6,36,88,97,87,73,77,10,93,54,36,86,18,250,11/10/1990,79,6,19260000,69,15,77,17,92,86,25,83,50,81,84,10,19,73,10,1,89,12,10,22,64,72,5790,93,80,70,22,Right,15,23430000,65,10,6,44,53,82,64,60,12490,khuchqd0en832kt5ni3acf9t54\n
Malcolm Jenkins,PHI,SS,92,31,Ohio State,93,21,25,15,67,75,56,6,84,40,78,91,75,72,55,67,35,76,97,94,204,12/20/1987,35,10,25620000,40,6,82,96,50,27,15,86,35,90,92,6,81,26,56,1,30,81,6,19,35,60,1641,97,58,35,22,Right,14,16860000,35,80,6,65,35,90,50,35,2769,cl356t9im6o51qpd44sarjdqvo\n
Brandon Brooks,PHI,RG,90,30,Miami Univ.,84,9,10,73,96,10,10,6,21,5,35,83,10,77,10,12,85,40,87,12,335,8/19/1989,5,7,16290000,30,6,10,10,10,79,12,72,84,82,78,6,12,10,10,1,12,25,6,20,91,90,5713,81,30,5,22,Right,13,15120000,90,10,6,30,87,69,10,89,20678,0ad3ipl7197juiau404os7oerg\n
Brandon Graham,PHI,RE,89,31,Michigan,91,12,10,23,86,52,15,6,91,8,26,85,34,74,85,20,45,91,93,29,265,4/3/1988,4,9,15000000,37,6,47,91,15,55,12,78,45,77,79,6,22,48,91,1,25,88,6,12,45,93,1280,84,22,26,14,Right,14,18260000,45,20,6,87,45,82,36,45,20589,knsg2gar053ncdtifrfncs3ip8\n
Lane Johnson,PHI,RT,89,29,Oklahoma,93,65,10,90,88,60,65,39,55,33,62,87,50,78,60,64,89,60,92,20,317,5/8/1990,25,6,17950000,65,59,54,29,43,65,34,80,89,83,89,52,12,55,53,1,45,60,54,22,91,91,5902,90,67,30,25,Right,32,17490000,89,10,50,56,88,77,40,89,12779,f9do10bukg30me9ffainaootvk\n
Alshon Jeffery,PHI,WR,87,29,South Carolina,88,40,20,37,79,89,93,25,30,87,89,86,83,75,10,97,58,35,87,22,218,2/14/1990,83,7,38250000,65,34,77,30,87,17,30,89,37,92,97,30,19,84,10,1,90,15,29,18,30,57,5267,90,81,74,18,Left,28,12420000,45,15,25,54,34,88,64,25,17856,vsod5ga6gco1d4hqgv0k4bvppg\n
Jason Peters,PHI,LT,87,37,Arkansas,90,10,10,89,95,10,10,6,39,5,58,73,10,76,10,12,87,48,86,12,328,1/22/1982,5,15,3170000,10,6,10,25,10,71,12,67,87,70,91,6,18,10,10,1,12,24,6,6,90,89,2389,88,40,9,13,Right,15,5500000,88,10,6,43,89,62,17,86,2873,0hee6l7ts05g0j595uggbbadu0\n
DeSean Jackson,PHI,WR,85,32,California,84,38,88,25,47,91,82,25,35,85,90,92,89,70,10,86,50,22,84,35,175,12/1/1986,90,11,12200000,42,34,92,20,82,10,28,93,24,87,72,30,15,45,10,1,76,12,29,30,23,45,1603,97,70,76,30,Left,25,10820000,30,15,25,35,15,95,85,20,13408,ml3b7vtbfi5lhdli0ijpdd8qcg\n
