Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Richard Sherman,SF,CB,93,31,Stanford,99,12,51,19,79,86,64,6,79,29,81,89,75,75,55,81,35,66,96,97,195,3/30/1988,22,8,23750000,51,6,77,97,39,25,14,88,35,98,94,6,89,50,35,1,48,72,6,10,35,59,4475,99,66,64,12,Right,12,3150000,35,96,6,53,35,95,74,35,13832,p04pj4cl5vbulh18duksujsq08\n
George Kittle,SF,TE,90,25,Iowa,90,30,10,61,80,83,82,10,36,78,91,89,62,76,18,85,78,34,88,24,247,10/9/1993,73,2,2420000,78,20,77,35,81,85,18,88,76,91,95,10,15,75,20,1,79,38,15,22,55,74,8622,89,79,73,19,Right,14,280000,57,20,10,31,71,84,69,51,13465,f73uv1kj75i9o01e8ae6aa9uv4\n
Joe Staley,SF,LT,90,35,Central Michigan,91,18,10,88,92,10,40,6,31,34,62,82,10,77,10,30,94,25,90,12,295,8/30/1984,26,12,26100000,10,6,10,10,44,74,12,74,95,78,86,6,12,10,10,1,47,15,6,22,84,88,2837,94,61,15,20,Right,15,9950000,89,10,6,25,92,74,25,90,12584,50a5s0ffn65n2unvvhjlpu300g\n
DeForest Buckner,SF,DT,87,25,Oregon,91,22,11,38,86,38,18,6,87,6,40,83,23,79,91,21,45,86,91,42,300,3/17/1994,3,3,19140000,45,6,28,88,14,99,12,73,44,80,88,6,33,33,81,1,17,87,6,19,46,88,7920,92,44,13,20,Right,17,11440000,46,22,6,84,45,84,28,44,12988,cn2l3ndov8ufd2qt36opf7mqm8\n
Robbie Gould,SF,K,85,36,Penn State,75,29,10,15,25,10,10,20,21,10,15,64,10,72,10,12,20,23,90,14,190,12/6/1982,10,14,4970000,10,35,10,19,10,9,17,58,16,27,65,20,11,10,10,1,12,12,30,92,16,20,1275,75,40,17,94,Right,27,0,16,10,25,23,16,52,27,16,12949,cegfijjvaevjpik6bg95o53fro\n
Kyle Juszczyk,SF,FB,85,28,Harvard,83,35,45,92,79,83,77,10,48,66,73,87,72,73,35,77,70,45,93,20,240,4/23/1991,58,6,15600000,85,20,76,20,76,44,33,81,61,89,87,10,15,81,30,1,72,45,15,19,42,69,6869,89,76,64,19,Right,25,5400000,63,20,10,33,58,84,68,38,13532,ck5j1sa8dag0endactvi3p811o\n
Dee Ford,SF,LE,84,28,Auburn,88,25,10,17,84,32,15,6,84,5,45,86,60,74,88,20,45,80,86,64,252,3/19/1991,5,5,65750000,28,6,40,83,15,55,12,85,45,85,86,6,53,35,82,1,30,76,6,12,45,77,6418,86,50,21,14,Right,16,19750000,45,20,6,65,45,87,36,45,12768,hjvhc8bh4vf2i11473gv71gl58\n
Tevin Coleman,SF,HB,83,26,Indiana,82,37,77,41,68,82,69,10,29,62,69,92,82,73,5,69,44,35,82,20,210,4/16/1993,54,4,5400000,77,15,92,25,69,26,23,94,35,84,84,10,10,75,5,1,55,33,10,17,44,39,7054,90,86,75,16,Right,13,3100000,58,10,5,29,34,93,82,40,20705,6ol4jaoaudgelj931pbc4nguv4\n
Marquise Goodwin,SF,WR,83,28,Texas,87,34,83,20,42,82,79,6,44,85,86,96,78,69,10,84,51,25,86,25,179,11/19/1990,87,6,17650000,38,15,75,24,83,11,22,96,34,95,71,10,18,46,10,1,77,15,10,20,20,40,5825,90,76,74,21,Right,18,4370000,32,10,6,37,29,92,76,19,13698,ov5q1ef4ksn16g571t1dst9ai0\n
Mike McGlinchey,SF,RT,83,24,Notre Dame,84,11,10,86,89,10,17,6,27,10,28,79,10,80,10,15,90,32,94,13,312,1/12/1995,8,1,6930000,22,6,10,20,15,69,12,70,91,71,95,6,11,10,10,1,14,38,6,12,80,83,8987,86,33,11,15,Right,15,11400000,79,10,6,32,87,74,11,77,17855,0a7rg6bnbavtqn8dbvs669ja4c\n
Matt Breida,SF,HB,82,24,Ga. Southern,78,27,59,43,73,86,60,18,33,58,67,92,77,70,22,62,35,38,83,16,190,2/28/1995,50,2,1680000,74,25,90,18,64,22,20,94,25,95,88,24,12,67,18,1,51,31,20,15,27,41,9149,87,90,81,19,Right,14,0,46,14,17,31,24,89,84,24,20347,8l8iqcf4vdpuoe3226kshduft4\n
Jerick McKinnon,SF,HB,82,27,Ga. Southern,75,57,82,51,74,81,62,15,22,60,73,93,78,69,10,60,52,32,85,50,205,5/3/1992,52,5,22050000,59,48,91,28,67,28,48,92,39,94,87,45,45,53,10,1,69,12,46,22,43,49,6521,91,85,83,28,Right,28,8200000,61,30,40,35,45,96,88,39,13502,v7jkqf65eishn5olms2nh6c13g\n
Jason Verrett,SF,CB,82,28,TCU,85,22,66,14,63,72,68,6,72,11,77,92,56,70,40,74,35,55,71,84,188,6/18/1991,10,5,900000,23,6,75,80,15,34,19,91,35,92,83,6,80,30,30,1,15,65,6,25,35,54,6625,95,59,69,30,Right,12,600000,35,82,6,43,35,92,79,35,12734,58ek581cslftp10m73v8arfdac\n
Dante Pettis,SF,WR,80,23,Washington,77,42,88,22,50,89,79,23,32,85,86,92,78,73,10,86,45,30,88,24,200,10/23/1995,82,1,3460000,34,37,88,15,83,18,20,91,38,94,82,24,15,54,10,1,82,17,34,14,27,39,9018,91,75,75,20,Right,20,2920000,28,20,30,20,25,95,86,23,12907,c0na1uuif3c012lemhqf2eponc\n
Jaquiski Tartt,SF,SS,80,27,Samford,78,21,35,18,65,45,44,6,80,10,66,91,49,73,59,62,35,73,92,80,215,2/18/1992,10,4,9070000,57,6,54,81,20,29,15,90,35,82,86,6,75,42,44,1,25,86,6,22,35,63,7344,87,62,30,19,Right,15,5280000,35,82,6,65,35,84,42,35,13494,58hdqcnla4uipksesmaghhdld8\n
Kwon Alexander,SF,MLB,78,25,LSU,88,27,15,23,79,39,30,6,84,5,68,90,55,73,55,35,45,80,84,72,227,8/3/1994,5,4,38980000,50,6,59,87,15,56,12,87,45,86,84,6,65,41,64,1,15,86,6,20,45,83,6989,88,50,20,20,Right,13,14250000,45,57,6,66,45,84,35,45,12966,rfsht7k66ohp8s8hl55tm5m8ho\n
Arik Armstead,SF,DT,78,25,Oregon,80,35,10,16,87,20,10,6,80,3,38,81,25,79,66,15,45,85,82,39,292,11/15/1993,2,4,9050000,44,6,15,80,10,91,12,72,45,83,83,6,31,45,82,1,12,77,6,30,45,86,7003,73,44,16,30,Right,17,0,45,35,6,80,45,71,26,45,12927,9n42pok65o0bmo68nns4pugeac\n
Nick Bosa,SF,RE,78,21,Ohio State,74,25,10,18,84,30,27,6,82,10,45,91,32,76,79,23,45,82,84,37,266,10/23/1997,6,0,10430000,31,6,38,73,17,97,12,79,45,81,83,6,23,34,72,1,16,84,6,17,44,83,9390,83,38,21,17,Right,14,22320000,45,27,6,76,45,86,33,45,12872,pu9168sf1j4uhpguq6ppq7rp6o\n
Jimmy Garoppolo,SF,QB,78,27,E. Illinois,81,90,10,10,63,66,15,85,37,16,35,81,56,74,10,25,10,16,93,19,225,11/2/1991,14,5,126850000,42,89,63,22,17,10,76,74,10,78,90,83,17,39,10,1,20,12,83,10,10,10,6429,93,62,52,20,Right,84,10000000,10,10,82,16,10,75,47,10,13814,9hdt2iqtqv3e1e0o524fci7bu0\n
Kendrick Bourne,SF,WR,75,24,Eastern Wash.,84,28,67,22,65,77,80,6,32,77,82,91,73,73,11,79,59,27,88,24,203,8/4/1995,74,2,1680000,42,15,79,21,78,84,22,88,23,86,77,10,16,46,11,1,77,15,10,22,21,42,9146,86,74,75,23,Right,15,0,48,16,6,22,16,93,78,19,12973,uh2g70najcscv2b2v25cbcv2ac\n
Jordan Matthews,SF,WR,75,27,Vanderbilt,81,29,45,33,70,83,82,6,41,80,85,90,72,75,10,85,53,39,88,30,212,7/16/1992,79,5,1410000,66,15,76,18,81,81,22,89,30,86,79,10,12,77,10,1,75,12,10,15,36,53,6515,94,74,71,19,Right,22,300000,45,10,6,35,25,86,68,34,13470,i1n53trob95dj5nq7vbs4osh7g\n
Mike Person,SF,RG,75,31,Montana State,84,11,10,78,81,10,15,6,35,5,32,79,10,76,10,15,76,30,90,19,300,5/17/1988,5,8,7350000,10,6,10,26,15,68,12,67,73,70,70,6,12,10,10,1,15,25,6,18,75,81,4443,74,40,15,18,Right,11,900000,78,10,6,28,80,67,25,80,13011,4e3b46qh7lvu6nh9nrtm2f56b0\n
Laken Tomlinson,SF,LG,75,27,Duke,81,20,10,76,87,10,10,6,35,5,20,81,10,75,10,12,81,35,92,15,312,2/9/1992,5,4,12800000,15,6,10,20,10,75,12,66,78,81,84,6,12,10,10,1,12,20,6,20,78,78,7355,85,25,5,20,Right,14,5300000,76,10,6,20,83,61,10,71,13242,ej9rnn2fruu1r96i32d1g29f3s\n
Jimmie Ward,SF,CB,75,28,N. Illinois,76,28,35,11,54,62,55,6,72,13,69,91,60,71,59,61,35,70,76,64,193,7/18/1991,10,5,840000,61,6,64,78,15,20,10,90,35,89,83,6,72,47,51,1,15,77,6,19,35,54,6626,90,65,34,23,Right,16,3000000,35,82,6,48,35,87,49,35,12517,pp8959tsqhqvvoi1h6f8i4g3bc\n
Raheem Mostert,SF,HB,74,27,Purdue,78,30,85,31,67,79,59,15,51,48,62,94,76,70,10,47,50,41,86,20,195,4/9/1992,40,4,6550000,63,35,83,20,55,31,20,93,32,91,81,15,15,71,10,1,51,20,30,25,25,29,7768,89,77,76,25,Right,11,2060000,52,20,20,27,30,87,79,20,17693,0egnbb78n3jdi7jfekm3n28tge8uiiotbpobuj418761ltb1n5b0\n
Trent Taylor,SF,WR,74,25,LA. Tech,68,31,80,31,62,83,81,24,39,79,85,90,79,68,23,83,52,35,88,23,181,4/30/1994,76,2,2420000,59,28,86,23,81,15,24,88,26,80,84,28,15,61,15,1,65,48,23,15,19,53,8744,91,73,76,13,Right,20,200000,44,24,18,31,20,92,80,19,2654,6rghfq11ds48kmf820bvbqhgvo\n
Solomon Thomas,SF,RE,74,24,Stanford,71,18,10,14,87,18,25,6,83,18,32,87,23,74,73,25,45,79,96,43,280,8/26/1995,14,2,9530000,30,6,32,72,25,94,12,83,45,84,88,6,29,27,61,1,20,81,6,11,45,84,8750,84,40,10,16,Right,17,18630000,45,34,6,75,45,80,20,45,13178,bcfi0nfahg42a2knq5a8jrkqdk\n
Fred Warner,SF,ROLB,74,22,BYU,74,14,10,23,74,50,61,6,82,5,71,89,41,75,60,53,45,79,86,72,236,11/19/1996,5,1,2960000,46,6,52,71,15,54,12,84,45,91,78,6,66,34,52,1,20,80,6,10,45,78,9101,91,63,21,13,Left,10,1020000,45,54,6,74,45,85,41,45,13046,dsct5dd2momtuq2mmgpbmarlp0\n
Ronald Blair III,SF,RE,73,26,Appalach. St.,71,22,9,17,85,39,17,6,80,7,45,86,21,76,57,17,45,78,91,47,270,1/21/1993,3,3,2340000,42,6,28,72,14,98,12,77,44,81,88,6,34,31,76,1,17,81,6,19,46,77,7896,79,43,12,20,Right,15,280000,46,23,6,68,45,72,22,44,20724,4kbbv2caspfpvt1heas5tejdc4\n
Garrett Celek,SF,TE,73,31,Michigan St.,68,30,35,53,75,74,74,6,39,64,81,84,71,77,10,72,68,35,85,22,252,5/29/1988,61,7,7300000,67,15,76,21,68,88,18,79,61,83,76,10,15,63,10,1,68,25,10,15,58,68,5742,84,76,67,15,Right,10,2720000,59,25,6,50,67,77,66,55,20610,4ak5s5p9gphkv9sfpcealmb54c\n
