Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Bobby Wagner,SEA,MLB,99,29,Utah State,99,25,10,28,81,48,15,6,99,5,73,89,24,72,55,15,45,99,98,86,242,6/27/1990,5,7,31980000,41,6,42,99,15,54,12,88,45,92,74,6,75,53,66,1,12,98,6,20,45,90,6138,97,61,23,20,Right,10,12390000,45,42,6,92,45,85,38,45,13187,ua1khi3e7jedb5pa430pvo5860\n
Russell Wilson,SEA,QB,91,30,Wisconsin,93,89,10,33,59,93,35,95,47,21,68,90,79,71,10,42,45,26,98,14,215,11/29/1988,11,7,87500000,38,91,83,26,31,3,93,86,38,83,98,98,15,65,10,1,25,12,89,19,10,15,5566,97,65,83,10,Right,85,77790000,10,10,92,16,35,93,84,10,12671,2gfr3c8gfk4g394uif7q8v1rnc\n
Chris Carson,SEA,HB,87,24,Oklahoma St.,93,26,62,48,82,90,58,12,28,53,64,89,79,71,12,53,36,30,84,19,222,9/16/1994,45,2,2420000,87,20,82,18,59,32,19,88,25,92,78,14,14,90,11,1,39,36,18,20,35,46,8502,87,90,92,21,Right,17,40000,56,16,15,26,21,83,77,30,17792,j37s9fa0o3sjqu6v7f7lqj6b30\n
Tyler Lockett,SEA,WR,87,26,Kansas State,92,30,96,25,50,95,86,6,30,87,92,92,88,70,10,83,51,25,86,25,182,9/28/1992,88,4,23660000,38,15,96,15,84,16,27,93,34,85,76,10,10,38,10,1,77,12,10,25,17,45,7214,93,73,86,30,Right,23,9200000,30,10,6,25,29,97,93,15,13286,5b5vsrtipghufab8hr87s0mh5s\n
Michael Dickson,SEA,P,83,23,Texas,70,36,10,16,47,19,15,18,38,15,26,80,16,74,10,15,16,30,90,16,208,1/4/1996,15,1,2460000,12,29,24,17,15,4,15,75,16,25,72,22,11,10,10,1,15,17,24,90,17,16,8870,86,38,12,96,Right,20,280000,17,10,18,28,16,68,22,17,13368,7cj1bs14issks5r8o9348ecsk0\n
Duane Brown,SEA,LT,82,34,Virginia Tech,86,26,10,87,90,30,45,6,27,38,66,77,15,76,35,40,83,50,93,20,315,8/30/1985,30,11,36250000,40,6,15,20,48,76,12,65,81,64,84,6,15,55,50,1,25,30,6,25,83,86,546,89,35,20,25,Right,16,8000000,84,15,6,30,85,64,30,87,20746,1nq7mk086990he3ls008mdiubg\n
D.J. Fluker,SEA,RG,81,28,Alabama,87,30,10,80,91,15,10,6,24,5,25,77,10,77,10,12,80,39,92,20,342,3/13/1991,5,6,4630000,25,6,10,20,10,78,12,61,81,68,77,6,15,10,10,1,12,12,6,25,84,87,5799,85,25,7,25,Right,15,1000000,81,10,6,25,79,60,12,77,2071,ndqum8in6vi1gh0cmstqdhu4eo\n
Mychal Kendricks,SEA,ROLB,81,28,California,78,24,10,15,76,40,25,6,87,5,68,88,46,72,54,30,45,85,87,72,240,9/28/1990,5,7,3000000,48,6,49,79,15,56,12,87,45,90,75,6,61,38,63,1,25,78,6,22,45,75,5297,90,55,26,14,Right,12,0,45,52,6,80,45,85,41,45,17769,a469ifi1e9kq1p5p836mtgvbh4\n
Jarran Reed,SEA,DT,81,25,Alabama,87,23,9,34,90,18,14,6,85,5,30,79,17,75,85,16,45,88,91,26,306,12/16/1993,3,3,3130000,29,6,16,81,13,90,12,65,46,79,87,6,18,25,68,1,15,78,6,17,44,84,8191,80,33,10,17,Right,15,1760000,44,13,6,71,45,68,15,45,13620,l8aanv0de0lt0stj0h4all22tt6lr23h9ltp6qa9t0vu6675dkc0\n
K.J. Wright,SEA,ROLB,81,30,Mississippi St.,87,20,10,28,69,31,29,6,85,5,61,84,19,76,50,37,45,88,92,76,246,7/23/1989,5,8,6980000,41,6,38,85,15,50,12,80,45,74,75,6,67,35,59,1,25,87,6,23,45,88,4512,94,55,20,27,Right,14,6500000,45,60,6,78,45,79,35,45,13352,nitmmnfli8hpu0r51n0f2tjkfc\n
