Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Mike Evans,TB,WR,91,26,Texas AM,95,35,50,39,79,90,97,10,25,88,88,91,75,77,10,96,55,39,91,27,231,8/21/1993,86,5,85790000,76,25,83,15,84,13,22,89,38,95,88,15,40,79,10,1,95,15,20,24,25,59,6407,92,76,76,25,Right,20,10000000,45,20,15,35,35,86,70,23,17582,so7k40aqqf5goa22n7sbv3orqd6lr23h9ltp6qa9t0vu6675dkc0\n
Lavonte David,TB,MLB,90,29,Nebraska,92,15,10,28,77,35,15,6,92,5,77,90,25,73,61,15,45,91,97,79,233,1/23/1990,5,7,50990000,26,6,35,88,15,54,12,86,45,88,89,6,72,39,55,1,25,86,6,12,45,88,5133,97,60,10,14,Right,14,370000,45,55,6,87,45,87,25,45,13070,77c3ptinch22bbmuov3ru4gp18\n
Demar Dotson,TB,RT,88,33,Southern Miss,91,22,10,88,86,10,10,6,35,5,25,67,10,81,40,12,74,55,84,12,315,10/11/1985,5,10,9430000,20,6,10,30,10,69,12,57,75,50,80,6,10,10,60,1,12,39,6,15,93,84,980,83,35,5,15,Right,13,220000,91,10,6,50,70,58,10,90,2817,2sp6fp63ko9iq53nsgbsfk2blo\n
Ali Marpet,TB,LG,88,26,Hobart,89,30,10,83,88,10,15,6,25,5,45,83,10,76,10,15,88,37,90,15,307,4/17/1993,5,4,52010000,20,6,10,15,15,74,12,73,90,80,82,6,12,30,10,1,15,20,6,25,89,87,7223,82,45,6,25,Right,12,2330000,88,10,6,20,87,75,12,83,20545,sc6epvn1jbp2q24h07t0jgluhs\n
Ndamukong Suh,TB,RE,85,32,Nebraska,85,28,10,40,98,30,30,6,86,7,45,82,33,76,68,25,45,84,93,48,313,1/6/1987,3,9,500000,25,6,30,88,15,93,12,71,45,80,98,6,31,26,82,1,20,90,6,52,45,93,2225,94,45,19,66,Right,15,8750000,45,25,6,88,45,78,24,45,13151,rm7m0101vsgqgspjuhautkvtn8\n
O.J. Howard,TB,TE,84,24,Alabama,86,30,35,58,75,82,82,6,41,74,87,90,63,78,20,82,61,36,91,20,250,11/19/1994,70,2,4890000,77,18,74,20,78,80,13,87,61,74,96,10,15,79,13,1,71,30,15,17,63,73,8594,89,72,74,24,Right,16,6240000,64,18,9,34,56,85,68,59,13575,44319bf7aadpuiq9r94kunnoto\n
Chris Godwin,TB,WR,81,23,Penn State,86,33,48,23,72,82,84,6,32,84,89,92,71,73,10,85,54,27,97,25,205,2/27/1996,81,2,2500000,78,20,79,20,82,12,22,91,23,87,87,15,15,62,10,1,81,33,15,21,20,43,8567,93,66,77,25,Right,24,760000,57,18,10,28,16,87,78,20,12640,d5u1rupgl6oanfa8vvipsvg7ns\n
Vita Vea,TB,DT,80,24,Washington,71,24,10,42,97,55,24,10,83,17,26,81,43,76,56,18,52,81,92,29,347,2/5/1995,16,1,5960000,68,20,59,74,18,50,18,69,52,70,97,13,23,53,80,1,15,89,16,16,45,91,9093,82,29,46,15,Right,12,8880000,45,22,13,80,48,73,42,45,17930,afn2fqipnl2q1p1bi7hdfmca7l6lr23h9ltp6qa9t0vu6675dkc0\n
Cameron Brate,TB,TE,79,28,Harvard,87,20,8,49,72,69,81,6,40,73,85,86,66,77,10,87,60,40,91,13,245,7/3/1991,66,5,40800000,63,15,70,15,76,84,18,80,59,83,75,10,12,63,10,1,76,20,10,22,54,64,7026,84,76,58,24,Right,16,0,55,10,6,51,54,77,58,51,2173,da2ss75mlv65ckn016v4kjnvtk\n
Jason Pierre-Paul,TB,ROLB,78,30,USF,89,33,10,18,85,35,15,6,81,8,29,84,64,77,80,25,45,81,93,51,278,1/1/1989,4,9,39150000,25,6,26,85,15,90,12,78,45,85,70,6,39,10,58,1,20,88,6,21,45,78,2410,92,37,30,22,Right,14,750000,45,24,6,72,45,82,40,45,20670,tusfkdnj0dcopfkbra02apl1po\n
Peyton Barber,TB,HB,77,25,Auburn,85,31,55,42,75,82,60,10,38,49,64,91,76,71,12,59,57,33,88,19,225,6/27/1994,41,3,2030000,84,25,82,20,56,25,24,88,34,78,80,10,14,75,11,1,58,21,20,20,31,40,7886,86,90,84,21,Right,17,0,56,16,15,26,33,85,79,26,20671,g8omrdvqhk495353nn555m17uc\n
Shaquil Barrett,TB,LOLB,77,26,Colorado St.,78,15,10,24,72,15,20,6,84,5,58,87,10,74,80,20,45,81,88,61,250,11/17/1992,5,5,1000000,33,6,47,76,15,58,12,82,45,73,85,6,57,30,61,1,25,80,6,24,45,84,7656,88,47,25,27,Right,12,3000000,45,39,6,81,45,83,40,45,12778,bdrl31ea1ru4ksnvirinfntbm4\n
Ryan Jensen,TB,C,76,28,CSU-Pueblo,87,10,11,83,90,15,15,6,39,5,35,75,10,76,20,15,76,48,92,12,319,5/27/1991,5,6,33000000,32,6,10,15,15,66,12,61,77,65,85,6,12,10,20,1,15,31,6,10,76,84,6871,82,26,9,13,Right,11,9000000,78,10,6,36,76,64,15,79,12955,l70d9gjnk5bhpo8vjm363onhjc8h4tqkded6qv5dogtjsem1vdcg\n
Bradley Pinion,TB,P,76,25,Clemson,61,52,10,16,55,15,15,25,35,15,39,77,10,77,10,15,29,29,92,15,240,6/1/1994,15,4,7900000,15,51,10,20,15,8,16,66,16,70,55,24,15,10,10,1,15,15,42,82,15,22,7281,85,40,9,93,Right,30,3100000,25,10,32,19,16,62,19,13,20594,l2srvcdb69bm2tqbj1f26aaeoc\n
Jameis Winston,TB,QB,76,25,Florida State,76,90,10,32,75,81,15,83,50,14,49,81,71,76,10,20,39,45,96,13,231,1/6/1994,12,4,29580000,66,86,73,19,15,3,91,79,30,78,93,84,12,73,10,1,15,28,81,26,15,20,6980,96,60,73,30,Right,84,16680000,15,10,80,45,27,80,77,15,20776,b5ddvas8m6pjcprabc6m0ckrqc\n
Justin Evans,TB,FS,75,24,Texas AM,74,30,80,14,75,55,59,15,80,26,72,91,62,72,44,62,35,76,87,62,199,8/26/1995,21,2,3290000,64,15,68,77,36,21,10,87,35,95,88,15,64,46,35,1,27,88,10,25,35,59,8548,92,66,44,25,Right,16,1920000,35,61,10,62,35,90,59,35,17984,oogdrnppm513ddtrokoar2m86s\n
Carl Nassib,TB,LOLB,75,26,Penn State,85,22,9,17,79,29,39,6,85,7,47,87,24,79,66,42,44,78,89,35,275,4/12/1993,3,3,2820000,26,6,27,83,14,94,12,78,44,76,86,6,28,33,79,1,17,74,6,19,46,77,8159,78,33,28,20,Right,17,0,44,26,6,78,45,77,28,44,17564,l62gf9q0414090ppg5amnt89gs\n
Vernon Hargreaves III,TB,CB,74,24,Florida,70,27,76,19,63,73,55,6,72,16,75,91,71,70,41,61,14,63,84,75,205,6/3/1995,11,3,15610000,29,6,82,74,26,28,16,90,33,90,83,6,72,33,35,1,27,54,6,17,33,49,8036,91,70,71,18,Right,11,8520000,10,81,6,53,34,92,79,34,13634,ccjpkrksi5nca1rgfj0t34omek\n
Devin White,TB,MLB,74,21,LSU,68,23,10,23,77,54,41,6,85,19,59,91,48,72,65,46,45,84,93,66,237,2/17/1998,12,0,8610000,47,6,58,71,24,45,12,92,45,93,91,6,56,51,62,1,26,82,6,14,45,81,9672,85,62,34,18,Right,10,19260000,45,53,6,75,45,82,41,45,2681,nvg4u64s4v7m50j98egn6h3mq4\n
Sean Murphy-Bunting,TB,CB,72,22,Central Michigan,68,29,60,18,59,70,58,6,72,34,71,91,67,72,37,68,25,57,90,75,195,6/19/1997,28,0,3670000,37,6,72,64,42,26,10,92,35,94,83,6,72,38,28,1,40,56,6,26,35,49,9405,92,63,60,26,Right,10,3710000,25,77,6,47,35,90,72,35,10534,6pctqlokisq2c6q9la1a25qhf8\n
Andre Ellington,TB,HB,72,30,Clemson,74,25,76,41,54,79,72,15,35,66,73,90,81,69,10,66,33,29,76,15,199,2/3/1989,56,5,650000,47,33,86,20,72,32,21,88,22,82,82,15,15,61,10,1,63,20,29,15,26,39,5787,92,82,68,15,Right,14,0,35,20,20,26,23,92,72,20,13869,l3v6tf5o6qeq0cl8qs5vhfdavo\n
Breshad Perriman,TB,WR,72,25,UCF,69,36,60,33,68,76,74,10,35,72,81,92,82,74,20,86,33,29,76,20,215,9/10/1993,76,4,500000,64,20,85,15,70,19,24,95,27,87,74,10,15,64,15,1,76,15,20,21,18,53,7274,85,69,74,24,Right,20,3500000,33,20,15,40,21,86,78,17,12902,eistcj27rii00nvambtflh0pr8\n
