Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Delanie Walker,TEN,TE,92,35,Central Missouri,90,35,44,63,78,66,85,6,55,81,90,84,45,74,10,81,79,41,88,25,248,8/12/1984,77,13,18050000,77,15,62,40,85,82,29,85,72,87,75,10,10,84,10,1,82,25,10,25,58,79,3070,89,74,66,22,Right,16,5990000,59,25,6,49,79,82,64,56,13893,9qpuqtqodstu29371b0h7r6si8\n
Kevin Byard,TEN,FS,89,26,Mid Tenn St.,89,44,55,15,73,64,47,17,88,12,79,87,60,71,53,68,16,75,90,93,212,8/17/1993,10,3,3890000,50,31,72,85,22,31,10,89,34,88,86,18,78,48,47,1,22,79,26,19,34,60,7928,90,78,55,20,Left,26,900000,12,66,36,66,33,89,70,33,20365,om58pe1a8hlve7gtvh5ii4oqv4\n
Jurrell Casey,TEN,RE,86,29,USC,93,15,10,19,92,21,15,6,84,8,27,80,10,73,72,15,45,89,94,28,284,12/5/1989,4,8,65730000,24,6,10,92,15,99,12,71,45,65,76,6,22,29,90,1,15,86,6,14,45,89,4347,92,40,10,15,Right,17,12840000,45,12,6,83,45,70,20,45,17790,e673be4o50b600gkmkb9vuqq4s\n
Dion Lewis,TEN,HB,84,28,Pittsburgh,78,42,82,32,61,79,66,15,44,56,72,91,88,68,10,66,35,29,83,20,195,9/27/1990,48,8,17550000,61,35,92,28,63,33,25,90,20,79,77,41,11,74,10,1,70,12,30,16,48,30,4416,89,87,83,20,Right,16,2240000,59,10,20,20,20,94,89,44,13660,b750s4soag8bucacreqbveo4ok\n
Cameron Wake,TEN,LOLB,84,37,Penn State,92,24,10,18,85,10,22,6,86,3,50,86,30,75,73,25,45,79,92,43,263,1/30/1982,2,10,15660000,25,6,25,84,10,91,12,79,45,95,83,6,37,25,90,1,15,87,6,14,45,88,3065,85,45,25,15,Right,14,7240000,45,43,6,65,45,84,35,45,13690,032peknf8m8gr7o0kgpn360oek\n
Derrick Henry,TEN,HB,83,25,Alabama,81,31,36,49,85,81,55,15,41,49,62,88,72,75,12,57,41,44,90,19,247,1/4/1994,41,3,3280000,87,25,84,20,56,22,19,89,16,88,92,15,14,92,11,1,46,33,20,20,43,47,8045,89,97,84,21,Right,18,2120000,66,16,20,36,15,84,75,38,17912,karms0jdqpn7i0nsd2vkct17dg\n
Rodger Saffold III,TEN,LG,83,31,Indiana,92,24,10,81,87,15,15,6,21,5,40,77,22,77,15,15,89,32,84,15,325,6/6/1988,5,9,25000000,25,6,20,10,10,76,12,62,87,67,61,6,12,15,15,1,20,15,6,25,80,88,4860,92,25,10,25,Right,13,19000000,78,10,6,15,92,69,20,76,13670,lp1oi0cnq3hlllpedmqdu0m21c\n
Adoree' Jackson,TEN,CB,83,23,USC,80,10,87,18,57,84,70,6,73,54,74,94,74,71,34,74,35,70,88,83,185,9/18/1995,49,2,4940000,34,6,84,81,62,25,17,93,35,88,78,6,79,58,26,1,59,52,6,15,35,48,8599,93,67,72,15,Right,12,6340000,35,80,6,51,35,95,83,35,17814,44le2g95crnde73cch5he0gmek\n
Corey Davis,TEN,WR,82,24,W. Michigan,84,33,20,42,72,84,84,24,36,83,88,91,72,75,10,87,58,31,87,28,209,1/11/1995,83,2,8790000,61,26,86,26,83,84,22,90,37,92,87,27,20,80,10,1,85,27,20,18,30,62,8523,91,74,78,18,Right,24,16610000,57,17,18,37,35,91,74,25,13059,o6bpv8gjrv4duas310gf9k20u4\n
Logan Ryan,TEN,CB,82,28,Rutgers,83,36,60,18,60,62,54,6,85,30,73,91,69,71,48,61,35,71,94,79,195,2/9/1991,23,6,28000000,45,6,72,86,40,26,10,87,35,83,85,6,81,45,36,1,45,67,6,22,35,58,6271,93,66,50,26,Right,10,2010000,35,82,6,62,35,90,60,35,13486,hhsaqh017qsejvv4301ucurs84\n
Taylor Lewan,TEN,LT,81,28,Michigan,89,16,11,89,91,35,35,6,23,24,53,85,30,79,10,35,77,39,88,12,309,7/22/1991,16,5,66040000,40,6,30,10,34,77,12,75,75,76,89,6,12,40,10,1,40,25,6,23,80,91,6492,90,46,10,21,Right,16,23300000,82,10,6,25,79,74,20,83,12910,dfbjfn66pfnkjf63qtd0e5k4hs\n
Kenny Vaccaro,TEN,SS,81,28,Texas,80,35,54,21,69,70,65,6,87,15,69,89,66,72,67,67,35,76,92,75,214,2/15/1991,11,5,16750000,65,6,72,82,25,24,17,85,35,90,90,6,72,65,52,1,39,89,6,18,35,66,6280,96,66,42,19,Right,11,7160000,35,77,6,64,35,88,57,35,12795,266efbnn4b0ec0lsbks3s2r7dg\n
Malcolm Butler,TEN,CB,79,29,West Alabama,79,21,42,17,63,60,45,6,64,10,68,89,65,71,42,60,35,68,90,77,190,3/2/1990,10,5,50850000,10,6,66,82,20,21,10,90,35,82,72,6,79,28,37,1,12,72,6,21,35,57,7035,88,55,48,29,Right,13,10400000,35,85,6,43,35,92,58,35,17570,cl5rn2djain6gau9i99faituls\n
Marcus Mariota,TEN,QB,79,25,Oregon,79,88,10,28,60,87,26,83,35,29,62,90,78,76,10,31,28,28,82,24,230,10/30/1993,19,4,20920000,40,88,74,31,39,8,74,88,20,89,97,87,10,64,10,1,23,25,85,36,15,43,6979,97,66,75,40,Right,88,0,20,10,87,25,20,89,79,15,12738,j0qagp7h03tv0g0c5dduoum8sg\n
Wesley Woodyard,TEN,MLB,79,33,Kentucky,83,25,10,27,66,25,15,6,89,5,67,88,15,72,62,15,45,90,95,56,233,7/21/1986,5,11,7650000,25,6,30,88,15,59,12,83,45,79,86,6,46,35,50,1,12,83,6,20,45,87,3276,93,67,11,20,Right,12,100000,45,50,6,85,45,80,21,45,13709,k2mm3ma39r4r248asajl75blkc\n
Jack Conklin,TEN,RT,78,25,Michigan St.,89,22,9,81,87,12,15,5,29,5,24,81,12,78,14,15,77,34,92,14,308,8/17/1994,5,3,6140000,24,5,11,19,14,78,12,72,74,74,95,5,11,15,15,1,16,24,5,19,82,87,7954,88,29,7,18,Right,13,9760000,81,10,5,26,81,63,14,79,13664,437jqakem6d87ihnu2sifkeeg0\n
