Name,Team,Position,OVR,Age,College,AWR,THP,RET,LBK,STR,BCV,CIT,PAC,PUR,MRR,CTH,ACC,SPM,Height,FMV,SPC,RBK,TAK,INJ,ZCV,Weight,Birthday,DRR,YRS PRO,Salary,TRK,TAS,JKM,PRC,SRR,Jersey #,BSK,SPD,RBP,JMP,TGH,TOR,MCV,SFA,PMV,Version,RLS,POW,TAM,KAC,PBP,IBK,Portrait,STA,CAR,BTK,KPW,Handedness,TUP,Sign Bonus,PBK,PRS,TAD,BSH,RBF,AGI,ELU,PBF,Madden_Id,Encrypted_Id\n
Trent Williams,WAS,LT,95,31,Oklahoma,98,12,10,92,95,10,15,6,31,5,20,82,10,77,10,51,93,32,84,14,320,7/19/1988,5,9,59750000,10,6,10,19,15,71,12,76,91,67,98,6,10,10,10,1,15,60,6,10,96,94,3231,85,40,7,11,Right,14,20050000,93,10,6,32,95,75,15,92,13863,cfml5r8q2t02jp7u42d975s2r0\n
Jordan Reed,WAS,TE,88,29,Florida,87,59,10,45,66,91,87,35,42,80,94,87,78,74,10,88,59,45,80,17,246,7/3/1990,74,6,39320000,70,55,84,16,83,86,46,84,50,85,72,38,15,65,10,1,80,12,46,15,56,60,6035,90,76,78,25,Right,39,9140000,57,10,42,40,58,87,77,50,12735,5cmv7mn76vdqrjb5d26ullpq24\n
Ryan Kerrigan,WAS,LOLB,87,31,Purdue,95,37,10,28,86,10,15,6,87,5,62,86,10,76,82,15,45,85,99,55,259,8/16/1988,5,8,48540000,25,6,10,91,15,91,12,80,45,69,85,6,45,10,88,1,15,87,6,30,45,88,4410,99,45,10,35,Right,13,16000000,45,20,6,80,45,79,15,45,2733,84j2lqj3rs4b3lv0qc136geet4\n
Brandon Scherff,WAS,RG,87,27,Iowa,86,30,10,92,92,10,15,6,22,5,35,80,10,77,10,15,90,32,85,15,319,12/26/1991,5,4,12530000,25,6,10,18,15,75,12,71,87,81,94,6,10,30,10,1,15,25,6,25,86,89,7311,88,40,9,25,Right,13,0,85,10,6,26,92,73,15,83,13669,8k2vtoti6l5cljubcpk9ggf7mg\n
Landon Collins,WAS,SS,83,25,Alabama,81,30,35,25,75,76,54,6,87,10,72,90,52,72,60,60,35,79,87,77,218,1/10/1994,10,4,57800000,65,6,80,85,10,20,29,88,35,85,88,6,71,57,45,1,20,93,6,17,35,70,7057,89,66,59,18,Right,17,26200000,35,76,6,63,35,83,74,35,13250,gsf7qnlm36ahth1vfb41jtna30\n
Matthew Ioannidis,WAS,LE,83,25,Temple,87,23,9,18,94,19,14,6,81,6,31,81,17,75,82,16,45,85,87,29,305,1/11/1994,3,3,13250000,32,6,18,84,13,98,12,71,45,77,90,6,21,25,87,1,15,78,6,17,44,78,8064,83,41,10,17,Right,13,10530000,45,13,6,71,45,71,15,45,13049,ffdgldh5l902ijrh693voio5bo\n
Da'Ron Payne,WAS,DT,83,22,Alabama,82,26,10,34,95,37,23,6,82,7,44,86,23,75,56,20,45,83,95,29,319,5/27/1997,3,1,5860000,43,6,27,85,15,94,12,76,45,71,92,6,23,39,76,1,25,77,6,14,45,86,9016,79,46,32,17,Right,17,8560000,45,13,6,81,45,65,27,45,12816,shaomp2limj960ljne4spruudk\n
Adrian Peterson,WAS,HB,83,34,Oklahoma,92,35,45,31,79,85,55,15,40,56,62,90,77,73,10,44,43,42,80,12,220,3/21/1985,48,12,3280000,87,35,88,28,63,26,22,90,22,89,98,15,12,88,10,1,59,15,30,26,31,29,2391,89,85,88,25,Right,17,1500000,47,15,20,35,22,89,82,25,13329,50lftogvialvkqn8jl38ekep5s\n
Jonathan Allen,WAS,RE,82,24,Alabama,86,21,10,18,91,25,25,6,85,3,35,83,30,75,70,30,45,82,85,29,294,1/16/1995,2,2,5030000,28,6,28,88,10,93,12,72,45,74,82,6,24,34,86,1,12,80,6,8,45,88,8793,83,40,10,9,Right,17,6560000,45,16,6,81,45,72,17,45,13679,jflba1khcnlkubk4kpa87ntbt8\n
Vernon Davis,WAS,TE,81,35,Maryland,84,25,40,48,77,74,81,6,60,75,86,88,80,75,10,81,52,50,90,12,244,1/31/1984,72,13,11000000,80,15,82,15,78,85,15,86,43,88,84,10,12,77,10,1,82,25,10,11,58,63,915,84,73,55,15,Right,16,3990000,59,25,6,66,51,84,54,53,29351,g3kltc5vgq7am9dqdvuqbbde08\n
